gene_id	tpm_mean
EG10541	28.8166666667
EG10542	237.863333333
EG10543	1745.25333333
EG10544	24907.6133333
EG10545	316.296666667
EG10546	101.006666667
EG10547	504.516666667
EG10548	120.513333333
EG10549	16.95
EG10550	76.95
EG10551	16.12
EG10552	406.623333333
EG10553	82.7766666667
EG10554	18.19
EG10555	6.57
EG10556	2.42
EG10557	17.9
EG10558	4.15666666667
EG10559	10.7866666667
EG10560	36.4033333333
EG10561	17.5933333333
EG10562	192.11
EG10563	11.8
EG10564	31.34
EG10565	18.0866666667
EG10566	162.67
EG10567	370.066666667
EG10568	290.786666667
EG10569	259.493333333
EG10570	684.963333333
EG10571	82.52
EG10572	41.82
EG10573	12.0566666667
EG10574	77.6566666667
EG10575	25.5466666667
EG10576	571.26
EG10577	6.96666666667
EG10578	19.2133333333
EG10579	36.78
EG10580	98.6366666667
EG10581	11.6433333333
EG10582	41.1933333333
EG10583	45.57
EG10584	47.1633333333
EG10585	10.6166666667
EG10586	124.663333333
EG10587	64.92
EG10588	141.476666667
EG10589	257.046666667
EG10590	35.8166666667
EG10591	18.3666666667
EG10592	2.78
EG10593	5.66
EG10594	2.34
EG10595	352.476666667
EG10596	291.01
EG10597	351.55
EG10598	370.993333333
EG10599	1124.04
EG10600	727.65
EG10601	345.59
EG10602	361.523333333
EG10603	286.093333333
EG10604	79.91
EG10605	51.39
EG10606	40.6633333333
EG10607	43.45
EG10608	214.126666667
EG10609	60.9933333333
EG10610	67.18
EG10611	196.08
EG10612	68.4433333333
EG10613	70.1866666667
EG10614	44.7633333333
EG10615	32.9566666667
EG10616	60.93
EG10617	13.99
EG10618	115.27
EG10619	130.703333333
EG10620	103.956666667
EG10621	111.13
EG10622	145.96
EG10623	81.36
EG10624	16.7133333333
EG10625	40.3633333333
EG10626	27.26
EG10627	34.0466666667
EG10628	207.876666667
EG10629	30.1
EG10630	510.656666667
EG10631	250.793333333
EG10632	96.1133333333
EG10633	99.82
EG10634	142.983333333
EG10635	66.0066666667
EG10636	165.453333333
EG10637	8.10333333333
EG10638	9.69
EG10639	2.71666666667
EG10640	1.86333333333
EG10641	1.67
EG10642	4.72
EG10643	65.7066666667
EG10644	2.4
EG10645	1.12666666667
EG10646	26.5966666667
EG10647	1.29666666667
EG10648	2.14333333333
EG10649	217.75
EG10650	229.6
EG10651	67.5766666667
EG10652	29.9666666667
EG10653	116.543333333
EG10654	7.33666666667
EG10655	23.4833333333
EG10656	34.5566666667
EG10657	99.8533333333
EG10658	314.583333333
EG10659	423.883333333
EG10660	129.863333333
EG10661	156.933333333
EG10662	43.4433333333
EG10663	202.83
EG10664	17.9533333333
EG10665	382.736666667
EG10666	566.363333333
EG10667	316.563333333
EG10668	23.7533333333
EG10669	12241.71
EG10670	8225.82333333
EG10671	4230.52333333
EG10672	162.313333333
EG10673	4580.99333333
EG10674	919.373333333
EG10675	147.46
EG10676	149.126666667
EG10677	196.643333333
EG10678	243.526666667
EG10679	25.0866666667
EG10680	81.7533333333
EG10681	191.79
EG10682	9.18
EG10683	25.6766666667
EG10684	2133.07666667
EG10685	17.2066666667
EG10686	67.4233333333
EG10687	78.4166666667
EG10688	280.003333333
EG10689	91.4333333333
EG10690	120.63
EG10691	124.693333333
EG10693	126.396666667
EG10694	168.716666667
EG10695	461.9
EG10696	155.576666667
EG10697	250.896666667
EG10698	286.533333333
EG10699	829.12
EG10700	19.58
EG10701	1928.47
EG10702	554.826666667
EG10703	1083.64333333
EG10704	204.156666667
EG10705	50.2166666667
EG10706	90.8166666667
EG10707	296.99
EG10708	17.17
EG10709	256.426666667
EG10710	344.833333333
EG10711	74.2866666667
EG10712	6.08
EG10713	0.613333333333
EG10714	0.46
EG10715	0.856666666667
EG10716	0.653333333333
EG10717	1.65666666667
EG10718	0.63
EG10719	0.926666666667
EG10720	1.39666666667
EG10721	7.76333333333
EG10722	1.07333333333
EG10723	1.65333333333
EG10724	6.26666666667
EG10725	6.25666666667
EG10727	12.2533333333
EG10728	17.9866666667
EG10729	2.34333333333
EG10730	14.6433333333
EG10731	184.49
EG10732	83.32
EG10733	8.96333333333
EG10734	24.16
EG10735	88.0533333333
EG10736	12.6866666667
EG10737	1.26
EG10738	46.0
EG10739	78.3166666667
EG10740	93.68
EG10741	175.423333333
EG10742	278.996666667
EG10743	1037.19666667
EG10744	184.753333333
EG10745	156.216666667
EG10746	148.296666667
EG10747	20.3333333333
EG10748	14.9833333333
EG10749	52.6733333333
EG10750	31.4333333333
EG10751	141.436666667
EG10752	293.29
EG10753	4.15666666667
EG10754	18.47
EG10755	2104.62666667
EG10756	525.376666667
EG10757	107.45
EG10758	1212.33
EG10759	226.746666667
EG10760	184.563333333
EG10761	73.78
EG10762	388.3
EG10763	15.2333333333
EG10764	4943.04333333
EG10765	27.9433333333
EG10766	4485.89
EG10767	151.04
EG10768	152.396666667
EG10769	55.8533333333
EG10770	352.99
EG10771	61.6466666667
EG10772	25.54
EG10773	69.4633333333
EG10774	573.71
EG10775	150.92
EG10776	92.7166666667
EG10777	28.6633333333
EG10778	19.4133333333
EG10779	4.47666666667
EG10780	86.4833333333
EG10781	112.436666667
EG10782	18.3966666667
EG10783	97.2533333333
EG10784	17.5433333333
EG10785	38.46
EG10786	31.6166666667
EG10787	840.746666667
EG10788	1570.88666667
EG10789	1354.61666667
EG10790	1037.39333333
EG10791	384.1
EG10792	423.41
EG10793	86.6933333333
EG10794	245.806666667
EG10795	327.08
EG10796	137.323333333
EG10797	231.113333333
EG10798	152.383333333
EG10799	195.053333333
EG10800	124.673333333
EG10801	15.2466666667
EG10802	35.4566666667
EG10803	229.12
EG10804	566.206666667
EG10805	2494.87333333
EG10806	289.19
EG10807	96.1033333333
EG10808	13.13
EG10809	55.6033333333
EG10810	564.683333333
EG10811	3303.75666667
EG10812	32.12
EG10813	0.423333333333
EG10814	49.63
EG10815	60.4966666667
EG10816	39.1066666667
EG10817	229.92
EG10818	64.5266666667
EG10819	29.2933333333
EG10820	17.11
EG10821	415.826666667
EG10822	30.8266666667
EG10823	364.813333333
EG10824	39.7033333333
EG10825	51.9233333333
EG10826	24.9033333333
EG10827	2.98666666667
EG10828	37.3266666667
EG10829	42.39
EG10830	75.2366666667
EG10831	34.47
EG10832	49.8866666667
EG10833	28.6266666667
EG10834	338.103333333
EG10835	95.8533333333
EG10836	35.8033333333
EG10837	27.9066666667
EG10838	431.976666667
EG10839	32.7266666667
EG10840	152.57
EG10841	852.223333333
EG10842	5.23333333333
EG10843	4.11
EG10844	560.46
EG10845	735.026666667
EG10846	3.69666666667
EG10847	5.83333333333
EG10848	6.61666666667
EG10849	6.07666666667
EG10850	38.1733333333
EG10851	138.883333333
EG10852	36.39
EG10853	34.87
EG10854	201.71
EG10855	326.786666667
EG10856	224.243333333
EG10857	126.726666667
EG10858	45.9933333333
EG10859	312.6
EG10860	74.9433333333
EG10861	63.82
EG10862	344.116666667
EG10863	61.4966666667
EG10864	5460.46666667
EG10865	5092.22
EG10866	7061.65
EG10867	5133.11333333
EG10868	6201.13666667
EG10869	5905.57666667
EG10870	2522.78333333
EG10871	10129.6933333
EG10872	3909.77666667
EG10873	9232.25333333
EG10874	4783.13666667
EG10875	3774.72
EG10876	5717.21333333
EG10877	8450.50666667
EG10878	7455.62333333
EG10879	4616.24333333
EG10880	2827.67
EG10881	4988.03
EG10882	9518.57666667
EG10883	10264.1066667
EG10884	4300.25666667
EG10885	3195.91
EG10886	3188.91333333
EG10887	10826.3266667
EG10888	3876.91
EG10889	3367.51666667
EG10890	5822.64333333
EG10891	3515.54
EG10892	836.43
EG10893	7100.53333333
EG10894	835.846666667
EG10895	920.193333333
EG10896	295.333333333
EG10897	240.663333333
EG10898	295.716666667
EG10899	472.316666667
EG10900	4338.30333333
EG10901	4783.50333333
EG10902	6499.09666667
EG10903	5956.00666667
EG10904	4886.96
EG10905	5448.63
EG10906	3853.09
EG10907	4046.96
EG10908	4085.79333333
EG10909	8093.92
EG10910	5370.46666667
EG10911	3338.03
EG10912	5101.63
EG10913	9857.66666667
EG10914	4095.8
EG10915	2982.30666667
EG10916	8170.6
EG10917	7217.47
EG10918	9278.39
EG10919	2510.31333333
EG10920	2966.55333333
EG10921	225.23
EG10922	69.0266666667
EG10925	124.84
EG10926	72.1866666667
EG10927	26.1566666667
EG10928	30.4066666667
EG10929	10.9866666667
EG10930	40.86
EG10931	105.32
EG10932	176.666666667
EG10933	83.2233333333
EG10934	80.1
EG10935	76.3166666667
EG10936	261.933333333
EG10937	598.053333333
EG10938	222.03
EG10939	624.543333333
EG10940	184.526666667
EG10941	116.573333333
EG10942	83.3
EG10943	251.493333333
EG10944	578.376666667
EG10945	34.84
EG10946	445.883333333
EG10947	772.373333333
EG10948	178.783333333
EG10949	102.04
EG10950	43.0333333333
EG10951	42.4
EG10952	575.23
EG10953	2448.07666667
EG10954	154.996666667
EG10955	74.5533333333
EG10956	112.646666667
EG10957	14.0133333333
EG10958	45.8766666667
EG10959	210.513333333
EG10960	140.373333333
EG10961	22.4266666667
EG10962	467.823333333
EG10963	434.17
EG10964	2.43
EG10965	274.186666667
EG10966	198.153333333
