lambda_hom,lambda_sec,lambda_eff,lambda_kin,lambda_div,fraction_kinetic_target,obj_total,obj_homeo,obj_kin,obj_eff,obj_sec,obj_div,obj_hom_w,obj_kin_w,obj_eff_w,obj_sec_w,obj_div_w,Index,toya_pearson_r_squared,toya_r_squared
0.0025220107357819843,2.0483495551299148e-6,8.923918556267735e-6,0.000041511968268283135,0.0015853829706328508,0.5,0.0012416151728604785,0.024377640110766895,11.27022349429503,78.82770877785302,2.9151539129035133,0.0018052643670919642,0.00006148067007238363,0.00046784916007163433,0.0007034520531107515,5.9712542206311415e-6,2.8620353850778917e-6,4186,0.7480782058327592,0.5958039625928729
0.0025220107357819843,2.0483495551299148e-6,8.923918556267735e-6,0.000041511968268283135,0.0015853829706328508,0.1,0.0005700933039053692,0.02521218738279301,4.321697478253168,35.669620395347685,2.8954636428919103,0.001805254073108455,0.00006358540725195106,0.00017940216858236476,0.00031831278734106925,5.930921664812487e-6,2.862019065171736e-6,4186,0.7536509362345108,0.5527646112163205
0.007661641886500706,0.00006130056472846663,0.00001155145128274903,0.0001220587291539823,0.0029992033386123337,1.0,0.0043274084008315655,0.00821139680530071,18.61453640866131,148.19118136671813,4.489215170771306,0.001805254073108479,0.00006291278171017001,0.002272066657831733,0.0017118232120906705,0.0002751914251558808,5.414324043110464e-6,908,0.7733419368331179,0.5573114271147629
0.007661641886500706,0.00006130056472846663,0.00001155145128274903,0.0001220587291539823,0.0029992033386123337,0.5,0.0026155598460265266,0.00866781915784397,10.921124864231627,88.44819148175691,3.0833674830519104,0.0018052643670919642,0.00006640972632435063,0.00133301862186007,0.0010217049749487728,0.00018901216797647286,5.414354916860101e-6,908,0.7690986022296844,0.6824031809294975
0.007661641886500706,0.00006130056472846663,0.00001155145128274903,0.0001220587291539823,0.0029992033386123337,0.1,0.0012812978712766782,0.00928574838473227,4.328519493217174,41.372512769146596,3.2380340243649375,0.001805254073108455,0.00007114407877197104,0.0005283335884603277,0.0004779125656977091,0.00019849331430356012,5.414324043110392e-6,908,0.7722226382504865,0.6522729658777657
0.0034040896559645296,0.00007736988378652967,2.9149423456632266e-7,0.000052157656121835996,0.00018476322497888844,1.0,0.0013241222399113129,0.007932465287516989,21.11346065179503,136.30741291983685,2.0139699847412915,0.0018258395186620281,0.00002700282303153428,0.0011012286202182406,0.000039732824994783526,0.00015582062366899268,3.373479977618977e-7,7469,0.6602948079013077,0.5815423812184047
0.0034040896559645296,0.00007736988378652967,2.9149423456632266e-7,0.000052157656121835996,0.00018476322497888844,0.5,0.0008421509252374942,0.00793364636916687,12.176952453790832,82.38015512154132,2.012028006365238,0.00183515801411319,0.000027006843539361488,0.0006351212986967692,0.000024013340260608614,0.00015567037302772146,3.3906971303340544e-7,7469,0.7595916840838001,0.6506534106691166
0.0034040896559645296,0.00007736988378652967,2.9149423456632266e-7,0.000052157656121835996,0.00018476322497888844,0.1,0.00047070271649793334,0.008658778213923309,5.25437464595729,39.956702477920174,2.005735558760002,0.001845160124065335,0.00002947525735130736,0.0002740558659191341,0.00001164714840459563,0.0001551835270877715,3.409177351247572e-7,7469,0.7430192112609422,0.5892698252383799
0.0029022235796050595,1.6675316554412564e-6,9.527216122271343e-6,0.000044455282347055,0.007323832316274718,1.0,0.0022497368376963923,0.019103330624166706,20.334093374013925,133.5470994601228,2.874043597841826,0.0018040010459878211,0.00005544213658644805,0.0009039578622131692,0.0012723320790590565,4.792558678519525e-6,0.000013212201159198999,4386,0.6151417564369814,0.5310742719451965
0.0029022235796050595,1.6675316554412564e-6,9.527216122271343e-6,0.000044455282347055,0.007323832316274718,0.5,0.0013400602521459514,0.019375741252785503,11.386513341133758,79.7398286660696,2.834171724433246,0.0018040010459878099,0.000056232733136160565,0.0005061906655286098,0.000759698581254533,4.72607106744897e-6,0.000013212201159198915,4386,0.7543350424541206,0.6072938352288164
0.0029022235796050595,1.6675316554412564e-6,9.527216122271343e-6,0.000044455282347055,0.007323832316274718,0.1,0.0006225423642306088,0.019634745609437454,4.4706457092256695,36.62710180410516,2.787119076010746,0.0018040010459878055,0.000056984421687256296,0.00019874381727727708,0.00034895431482014446,4.6476092867321035e-6,0.000013212201159198883,4386,0.760175954262367,0.5638087069524595
0.012994450265808949,0.00002324777897674877,0.00004524672621695036,0.00019418445191966984,0.003321469458516766,1.0,0.010311277878811117,0.019517281235428577,20.36273393137874,133.30093982885958,2.843318953208578,0.001807402119601022,0.0002536163403375829,0.003954126328050845,0.006031431128898583,0.00006610085058459369,6.003230939513261e-6,930,0.6105949614421212,0.5299784628742772
0.012994450265808949,0.00002324777897674877,0.00004524672621695036,0.00019418445191966984,0.003321469458516766,0.5,0.006142258615135248,0.019790249604687102,11.392998526981298,79.58721385167163,2.8255567908420622,0.0018074021196010078,0.00025716341423605174,0.0022123431746834694,0.003601060875516466,0.00006568791975974781,6.003230939513214e-6,930,0.7530969615941647,0.6037626496725732
0.012994450265808949,0.00002324777897674877,0.00004524672621695036,0.00019418445191966984,0.003321469458516766,0.1,0.0028512808315606197,0.020001490794636992,4.476661949655604,36.49908621980536,2.7789552115604277,0.0018081181350985142,0.0002599083773729459,0.0008692981471235141,0.0016514641613563988,0.00006460453654464094,6.005609163120007e-6,930,0.7592831689015596,0.5624818208217846
0.009793854716169417,5.280533694517165e-7,0.00003069211123876256,0.00014522258807616372,0.000054653474922743195,1.0,0.00724017834633805,0.016923991675614092,20.28754830572669,134.44744680792547,3.036066978930494,0.0025206334498131455,0.00016575111568862503,0.0029462102706778203,0.004126475993196461,1.603205398105341e-6,1.377613770387904e-7,3364,0.6362438911404259,0.5596522307502432
