lambda_hom,lambda_sec,lambda_eff,lambda_kin,lambda_div,solve_failed,obj_homeo,obj_kin,obj_eff,obj_sec,obj_div,obj_hom_w,obj_kin_w,obj_eff_w,obj_sec_w,obj_div_w,toya_pearson_r_squared,toya_r_squared
0.0034439074276475185,8.388361261345076e-06,1.6621163559639553e-06,1.1951645320142578e-05,0.001892910122982746,0,0.0032687711794846795,23.14776673302982,139.8475300952923,1.995324108345452,0.0035374668400186115,1.1257345344307427e-05,0.00027665389794656787,0.00023244286711254683,1.6737499454272895e-05,6.6961067911870155e-06,0.6599561232142923,0.5776027186088686
0.21371239415259963,7.922561390683174e-05,1.6621163559639553e-06,1.1951645320142578e-05,0.001892910122982746,0,6.313117462647341e-05,25.466215995904882,138.18418261720106,1.4883919004133621,0.0035881008025036056,1.3491914475089483e-05,0.0003043631812291966,0.00022967819006355998,0.00011791876204420459,6.791952331341589e-06,0.6136262195509438,0.48830368772601873
0.21371239415259963,8.388361261345076e-06,3.8054321962315173e-07,1.1951645320142578e-05,0.001892910122982746,0,6.702675004231414e-05,22.78989864043558,146.56567281536593,3.45627738925522,0.003588100802503603,1.4324447223810812e-05,0.0002723767854324856,5.57745730193928e-05,2.8992503360491383e-05,6.791952331341585e-06,0.7163856096915809,0.5788010587962955
0.21371239415259963,8.388361261345076e-06,1.6621163559639553e-06,0.00011205288307484761,0.001892910122982746,0,0.00013018164937394223,10.928587323630309,286.9646111523081,23.910133127527228,0.0035777481335988338,2.7821431962439464e-05,0.0012245797175480088,0.0004769685737790878,0.000200566834480553,6.772355659571858e-06,0.6785752605355304,-46.20251350668323
0.21371239415259963,8.388361261345076e-06,1.6621163559639553e-06,1.1951645320142578e-05,0.0002382436285903841,0,7.718848074979655e-05,23.66335011605861,143.36729185314042,2.1824590627935323,0.0036182176575132586,1.649613502204087e-05,0.0002828159676734872,0.0002382931206993626,1.830725505680875e-05,8.620173037557584e-07,0.7002112107986187,0.6244408475172947
0.0034439074276475185,7.922561390683174e-05,3.8054321962315173e-07,0.00011205288307484761,0.0002382436285903841,0,0.007115833671273075,18.888396040575334,178.8016935627039,5.245359864225341,0.003603624406988835,2.4506272434401653e-05,0.0021164992330060025,6.804177214242351e-05,0.0004155668554055082,8.585405547978912e-07,0.7911149907394657,-0.4929436690852955
0.13373075541662424,6.983204456131878e-07,2.6972681437457187e-05,0.0002514910972853223,0.001323928215885725,0,0.00012124753598205315,17.254679675119164,181.34514688484563,10.146184170867086,0.0035936222259220366,1.6214524579284295e-05,0.0043393983248024666,0.004891364877153823,7.085287851473375e-06,4.757697862132249e-06,0.7189324057004765,-1.4582986763931807
0.006268083884096384,6.983204456131878e-07,2.6972681437457187e-05,0.0002514910972853223,0.001323928215885725,0,0.028860174435103927,15.851818925523812,178.12123723317393,10.696493245352727,0.003547919022979201,0.0001808979942688854,0.003986591335548221,0.004804407389136138,7.4695799295931695e-06,4.697190102199878e-06,0.644875591732479,-1.0105203168019767
0.13373075541662424,9.996501621086233e-07,2.6972681437457187e-05,0.0002514910972853223,0.001323928215885725,0,0.00012124751724023557,17.25467967511911,181.34514688484563,10.146184170867087,0.0035936222259220305,1.6214522072926876e-05,0.0043393983248024535,0.004891364877153823,1.0142634651191232e-05,4.757697862132242e-06,0.7189324057004737,-1.4582986763931944
0.13373075541662424,6.983204456131878e-07,2.536672086328305e-06,0.0002514910972853223,0.001323928215885725,0,9.648688206787558e-05,10.76254093454787,294.67091253143803,30.114347835394586,0.0035633485122925465,1.2903263626731737e-05,0.0027066832292076417,0.0007474834784713883,2.1029464799763285e-05,4.717617638458523e-06,0.6113381926460069,-40.37633410041
