,pubmedID,reactionID,enzymeID,substrateIDs,kcat (1/s),kM (uM),vmax,ph,temperature
98,['16784868'],RIBOKIN-RXN,['CPLX0-7647'],['2-DEOXYRIBOSE'],[26.7],[-1],[-1],[],[]
99,['None'],RXN0-5229,['G7945-MONOMER'],['CPD0-1083'],[-1],[19500.0],[-1],['8.0'],[]
100,['24861318'],RXN0-5229,['G7945-MONOMER'],['CPD0-1083'],[0.51],[-1],[-1],[],[]
101,"['None', 'None']",GPH-RXN,['GPH-MONOMER'],['CPD-67'],[-1],[210.0],[-1],['6.9'],[]
102,"['13129953', 'None']",GPH-RXN,['GPH-MONOMER'],['CPD-67'],[94.0],[-1],[-1],[],[]
103,['None'],GPH-RXN,['GPH-MONOMER'],[],[],[],[],['6.9'],[]
104,"['10480878', 'None']",1.1.1.271-RXN,['CPLX0-3881'],['NADPH'],[-1],[9.0],[-1],[],[]
105,['None'],1.1.1.271-RXN,['CPLX0-3881'],['GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE'],[-1],[29.0],[-1],['6'],[]
106,['17099215'],RXN0-2162,['CPLX0-7535'],['ARG'],[-1],[80.0],[-1],[],[]
107,['None'],RXN0-2162,['CPLX0-7535'],[],[],[],[],['2.5'],[]
108,['14563880'],RXN0-1981,['CPLX0-7955'],['ACET'],[-1],[5.4],[-1],[],[]
109,['None'],RXN0-1981,['CPLX0-7955'],['ACET'],[-1],[-1],[0.019600002],[],[]
110,['None'],RXN0-262,['EG11829-MONOMER'],['GTP'],[0.0048333337],[6.5],[-1],[],[]
111,"['21081498', 'None']",RXN0-262,['EG11829-MONOMER'],['GTP'],[0.0048],[-1],[-1],[],[]
112,['22398448'],RXN0-7103,['CPLX0-8127'],['CPD0-2558'],[-1],[35.0],[-1],[],[]
113,['None'],RXN-12070,['CPLX0-7950'],['CPD0-2184'],[-1],[2.9],[-1],[],[]
114,['9315862'],RXN-12070,['CPLX0-7950'],['CPD0-2184'],[1.1],[-1],[-1],[],[]
115,['8752345'],RXN-12073,['DHPDIOXYGEN-CPLX'],['CPD-10796'],[-1],[36.0],[-1],[],[]
116,['None'],MERCAPYSTRANS-RXN,['EG11600-MONOMER'],['3-MERCAPTO-PYRUVATE'],[-1],[5.0],[-1],[],[]
117,['11445076'],MERCAPYSTRANS-RXN,['EG11600-MONOMER'],['3-MERCAPTO-PYRUVATE'],[463.0],[-1],[-1],[],[]
118,"['18714089', 'None']",MALSYN-RXN,['MALATE-SYNTHASE'],['ACETYL-COA'],[-1],[22.0],[-1],[],[]
119,"['None', 'None']",MALSYN-RXN,['MALATE-SYNTHASE'],['GLYOX'],[-1],[55.0],[-1],[],[]
120,['10777548'],R621-RXN,['EG10456-MONOMER'],['NADPH'],[-1],[180.0],[-1],[],[]
121,['None'],R621-RXN,['EG10456-MONOMER'],"['OXYGEN-MOLECULE', 'NITRIC-OXIDE', 'NADH']","[-1, -1, -1]","[100.0, 0.28, 4.8]","[-1, -1, -1]",[],['37']
122,['21467222'],RXN0-6676,['CPLX0-7927'],['CPD-6602'],[-1],[29.0],[-1],[],[]
123,['None'],RXN0-6676,['CPLX0-7927'],[],[],[],[],[],['35']
124,['9772162'],RXN0-5285,['GLUCARDEHYDRA-MONOMER'],['D-GLUCARATE'],[-1],[60.0],[-1],[],[]
125,['None'],RXN0-5285,['GLUCARDEHYDRA-MONOMER'],['CPD0-1090'],[-1],[16.0],[-1],[],[]
126,['1100608'],TRANS-RXN-156,['CPLX-169'],['MANNITOL'],[-1],[33000.0],[-1],[],[]
127,['3281659'],ISOCIT-CLEAV-RXN,['ISOCIT-LYASE'],['THREO-DS-ISO-CITRATE'],[-1],[63.0],[-1],[],[]
128,"['None', 'None']",ISOCIT-CLEAV-RXN,['ISOCIT-LYASE'],"['GLYOX', 'SUC']","[-1, -1]","[130.0, 590.0]","[-1, -1]",[],[]
129,['None'],ISOCIT-CLEAV-RXN,['ISOCIT-LYASE'],[],[],[],[],['6.85'],[]
130,['9772162'],GLUCARDEHYDRA-RXN,['GLUCARDEHYDRA-MONOMER'],['D-GLUCARATE'],[-1],[60.0],[-1],[],[]
131,"['17237164', 'None']",GLCNACPTRANS-RXN,['CPLX0-8011'],['UDP-N-ACETYL-D-GLUCOSAMINE'],[-1],[0.19000001],[-1],[],[]
132,"['9134438', 'None']",GLCNACPTRANS-RXN,['CPLX0-8011'],['UDP-N-ACETYL-D-GLUCOSAMINE'],[-1],[5.6],[-1],[],[]
133,"['22811320', 'None']",GLCNACPTRANS-RXN,['CPLX0-8011'],['UDP-N-ACETYL-D-GLUCOSAMINE'],[-1],[0.08],[-1],[],[]
134,['None'],GLCNACPTRANS-RXN,['CPLX0-8011'],['UDP-N-ACETYL-D-GLUCOSAMINE'],[-1],[0.12],[-1],[],[]
135,['None'],RXN-17809,['CPLX-8331'],['CPD-19179'],[-1],[25.0],[-1],[],[]
136,['25941396'],RXN-17809,['CPLX-8331'],['CPD-19179'],[0.009333334],[-1],[-1],[],[]
137,['None'],RXN0-5225,['EG10041-MONOMER'],['CPD0-2583'],[-1],[1760.0],[-1],[],[]
138,['19309146'],RXN0-5225,['EG10041-MONOMER'],['CPD0-2583'],[0.4],[-1],[-1],[],[]
139,['None'],MHPCHYDROL-RXN,['CPLX0-7950'],['CPD-157'],[-1],[2.1],[-1],['6.5:9.5'],[]
140,['9315862'],MHPCHYDROL-RXN,['CPLX0-7950'],['CPD-157'],[36.0],[-1],[-1],[],[]
141,['4571773'],ARGDECARBOX-RXN,['ARGDECARBOXBIO-CPLX'],['ARG'],[-1],[30.0],[-1],[],[]
142,['None'],ARGDECARBOX-RXN,['ARGDECARBOXBIO-CPLX'],[],[],[],[],['7.2:7.4'],[]
