Experiment,27Al,47Ti,48Ti,51V,52Cr,55Mn,56Fe,57Fe,59Co,60Ni,63Cu,66Zn,75As,77Se,95Mo,111Cd,115In,118Sn,121Sb,182W,202Hg,208Pb,209Bi,,,,,,
0to0_11,1.058698985202840,0.122018195967616,0.603492947353019,0.091644472464770,0.667854660223350,1.621412054055470,2.851973123448810,2.639636269474660,0.078374814528831,1.459447067247250,0.323882622133504,0.738171786745366,0.019733672547272,0.119778929296019,0.100441063061878,0.001456503101093,-14.258214986311300,0.024339349971848,0.006413218216253,32.661272919137100,2.130486537157060,0.007939261176335,7.169348545629960,,,,,,
0to0_12,0.972856893172410,0.095871325140164,0.659023028154572,0.079285011612132,0.503066110438413,1.120671210958770,2.417449335728390,2.138170129675390,0.043462991794828,0.627010441094519,0.204179346586965,0.828221677145163,0.009866836273636,0.179668393944028,0.059624268450953,0.000832289150927,-14.805847598200300,0.028790893011362,0.008915956962230,27.096748213621500,2.485569790997480,0.016292606632886,9.993641580056580,,,,,,
0to0_13,0.966725979720561,0.095871290277623,0.395563944365233,0.103148948324288,0.548381065781562,2.965581288257960,2.340297594330700,2.054234431083450,0.043375729987145,0.852158259062491,0.182035689594538,0.451803325970552,0.013566896176160,0.119778929296019,0.077023724548216,0.000624215614754,-13.671643586079500,0.022616184806551,0.005396488773722,36.774211516559900,2.181213180058700,0.005179065021385,7.603857572822520,,,,,,
0to0_14,1.134321509202710,0.082797942020458,0.408534647216815,0.113798408096455,0.662439610135993,2.987004121958020,2.594588919704990,2.297432523572600,0.046238416758654,1.080039378535790,0.251827885955814,0.472484999885724,0.017266946211779,0.119778929296019,0.084966996411680,0.000832287486339,-13.705622135652600,0.024913739508880,0.005083644709862,40.645194902141500,2.891376441268480,0.006678225183173,7.821106872310470,,,,,,
0to0_15,1.181329926229140,0.108944568809706,0.390701161776400,0.117063128129646,0.675858915307131,2.917473364598540,2.540191557153750,2.255464884126720,0.041979298949299,1.068165246691960,0.234861341993099,0.478532022318795,0.023433762050631,0.179668633503803,0.084795089887016,0.001248432894096,-13.578082277342200,0.036402938380022,0.011184077677174,32.419352546570300,1.775406529790140,0.005447852359719,6.083091620056990,,,,,,
0to0_16,1.635152067289530,0.130733656884352,0.426773412885946,0.115664050132398,0.758260855552725,3.014540020169860,2.653447969599060,2.449164360822850,0.046622447872019,2.489029775375470,0.315564066600008,0.474075941257986,0.011100179707572,0.149723901179799,0.095317406386451,0.001248432894096,-13.361158653105800,0.024698356070054,0.128195180101167,36.532244691309900,1.775405312360450,0.005799323181103,8.038363123963710,,,,,,
0to0_17,0.991251440313184,0.087155724772847,0.432448166524458,0.088846047813178,0.697047901144897,1.040070074794010,2.595808946819880,2.271606312223600,0.032029719909491,1.026106863610370,0.356717156605847,0.479802964626952,0.007400119805048,0.119778929296019,0.080427985028566,0.001248431229508,-14.207970153935300,0.023118829072757,0.061553235913491,21.290264425616200,1.775405921075290,0.004817250442600,5.214071827552350,,,,,,
0to0_18,0.848183006518943,0.095871325140164,0.413397932391745,0.088690562640552,0.525664021424230,0.659851127175932,2.273756076882540,1.922949291930320,0.026094962804760,0.448648852824223,0.206225768448064,0.448939767196143,0.008633473105889,0.119778929296019,0.043084672136795,0.003121079738359,-14.409471246102200,0.020246852664204,0.009072385876877,18.145106029846300,1.826131549453810,0.003897197408155,6.952099246142020,,,,,,
0to0_19,0.950374582598542,0.065366845873446,0.371245893863239,0.101361005342872,0.548851800114557,1.742955468324000,2.257959259023690,1.914340577055460,0.033111950988501,0.617712948618047,0.257281429449639,0.425076042538744,0.016033612644748,0.029944732324005,0.063234816678713,0.000832287486339,-13.796384005859600,0.027785749807305,0.006804280178712,25.403177861291900,2.942101663838730,0.027779433333378,4.996819051992180,,,,,,
0to0_20,1.113882291408330,0.117660273764646,0.417451464507505,0.114575730104568,0.655377797575351,1.918548818920350,2.707632295270450,2.413652102832720,0.036131723425707,0.837138354724228,0.302232895753293,0.442257775780714,0.013566886309255,0.149723661620024,0.076542297201254,0.002080723709632,-13.722753309457300,0.022328996930820,0.006413231355681,27.580610249807300,2.029034671685180,0.004806945063961,7.169360711924440,,,,,,
