Proteins	Genes	Accession-1 of Gene	Common-Name
G6322-MONOMER	G6322	b0574	cusB
G378-MONOMER	G378	b1942	fliJ
G6423-MONOMER	G6423	b0820	ybiT
EG12339-MONOMER	EG12339	b0266	yagB
CPLX0-7849	EG10260		entB
PD00348	EG10441	b0912	ihfB
SUCB-LIPOATE	EG10980	b0727	sucB
PD01343	EG11540	b1004	wrbA
G6701-MONOMER	G6701	b1378	ydbK
NUOA-MONOMER	EG12082	b2288	nuoA
EG10253-MONOMER	EG10253	b3077	ebgC
EG10239-MONOMER	EG10239	b3066	dnaG
G6521-MONOMER	G6521	b1010	rutC
EG11661-MONOMER	EG11661	b1930	yedF
CREB-MONOMER	EG11218	b4398	creB
G7226-MONOMER	G7226	b2357	yfdN
G7573-MONOMER	G7573	b3023	ygiV
EG10861-MONOMER	EG10861	b0183	rnhB
G6330-MONOMER	G6330	b0601	ybdM
EG11174-MONOMER	EG11174	b3121	yhaC
MONOMER0-2820	G0-10591	b4596	yciZ
G6447-MONOMER	G6447	b0853	ybjN
G6747-MONOMER	G6747	b1436	yncJ
G6383-MONOMER	G6383	b0714	nei
TAUA-MONOMER	G6217	b0365	tauA
G7063-MONOMER	G7063	b1976	mtfA
MONOMER0-2823	G0-10595	b4604	yojO
NARU-MONOMER	EG12153	b1469	narU
EG10763-MONOMER	EG10763	b3935	priA
EG11268-MONOMER	EG11268	b3288	fmt
THIF-MONOMER	EG11587	b3992	thiF
G7153-MONOMER	G7153	b2226	yfaQ
GLYS-CPLX	EG10409 // EG10410		glyQ // glyS
RFBX-MONOMER	EG11980	b2037	rfbX
SAPB-MONOMER	G2001	b1293	sapB
G7808-MONOMER	G7808	b3838	tatB
G7439-MONOMER	G7439	b4463	ygcU
EG12875-MONOMER	EG12875	b0772	ybhC
MONOMER0-4479	G0-17012	b4766	argL
G7174-MONOMER	G7174	b2267	elaA
UDPMANNACADEHYDROG-MONOMER	EG11452	b3787	wecC
EG11951-MONOMER	EG11951	b4078	yjcO
EG10300-MONOMER	EG10300	b2610	ffh
G7221-MONOMER	G7221	b2352	yfdI
G7406-MONOMER	G7406	b2683	ygaH
G6825-MONOMER	G6825	b1552	cspI
YJFT-MONOMER	EG12494	b4194	ulaB
EG11110-MONOMER	EG11110	b0736	ybgC
G6930-MONOMER	G6930	b1725	yniA
KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER	EG10256	b1850	eda
EG12328-MONOMER	EG12328	b0141	yadN
G7828-MONOMER	G7828	b4126	yjdI
G6161-MONOMER	G6161	b0290	ecpD
EG12240-MONOMER	EG12240	b3513	mdtE
MONOMER0-4180	G6319	b0571	cusR
EG10856-MONOMER	EG10856	b0611	rna
G7407-MONOMER	G7407	b2689	yqaA
GLUC1PURIDYLTRANS-MONOMER	EG11319	b1236	galU
G7094-MONOMER	G7094	b2043	wcaM
MONOMER0-4416	G0-16734	b4739	ymgL
EG11250-MONOMER	EG11250	b4224	chpS
SECG	EG12095	b3175	secG
G7616-MONOMER	G7616	b3102	yqjG
G6616-MONOMER	G6616	b1179	ycgL
G6340-MONOMER	G6340	b0614	citX
NAPA-MONOMER	EG12067	b2206	napA
G7926-MONOMER	G7926	b4329	yjiG
EG11097-MONOMER	EG11097	b0410	yajD
G7710-MONOMER	G7710	b3332	gspK
HMP-KIN-MONOMER	G198	b0424	yajL
G6192-MONOMER	G6192	b0327	yahM
G6963-MONOMER	G6963	b1776	ydjL
G6792-MONOMER	G6792	b1502	ydeQ
MONOMER0-4249	G0-10528	G0-10528	insEF5
RELA-MONOMER	EG10835	b2784	relA
G7551-MONOMER	G7551	b2985	yghS
ALDDEHYDROGB-MONOMER	EG12292	b3588	aldB
PD00266	EG10636	b0676	nagC
EG10956-MONOMER	EG10956	b1272	sohB
NARQ-MONOMER	EG11460	b2469	narQ
FUMA-MONOMER	EG10356	b1612	fumA
FLAVONADPREDUCT-MONOMER	EG10628	b3924	fpr
EG10891-MONOMER	EG10891	b3636	rpmG
DEOXYRIBOSE-P-ALD-MONOMER	EG10221	b4381	deoC
G6659-MONOMER	G6659	b1321	ycjX
PSTC-MONOMER	EG10784	b3727	pstC
ENOLASE-MONOMER	EG10258	b2779	eno
EG11728-MONOMER	EG11728	b3718	yieK
PD03938	EG10591	b3828	metR
ARGDECARBOXDEG-MONOMER	EG11501	b4117	adiA
ACSERLYB-MONOMER	EG10193	b2421	cysM
FDOH-MONOMER	EG11857	b3893	fdoH
EG10136-MONOMER	EG10136	b3056	cca
G7948-MONOMER	G7948	b4366	bglJ
G6337-MONOMER	G6337	b0610	rnk
EG10881-MONOMER	EG10881	b1716	rplT
EG12256-MONOMER	EG12256	b3529	pdeK
G6862-MONOMER	G6862	b1606	folM
FUC4NACTRANS-MONOMER	EG11457	b3793	wzyE
G6896-MONOMER	G6896	b1668	ydhS
G7458-MONOMER	G7458	b2817	amiC
MONOMER0-2878	G0-10651	b4685	yrbN
EG11166-MONOMER	EG11166	b3039	ygiD
EG11659-MONOMER	EG11659	b1928	yedD
EG11714-MONOMER	EG11714	b3690	cbrA
EG11729-MONOMER	EG11729	b3719	yieL
EG11607-MONOMER	EG11607	b1251	yciI
G7265-MONOMER	G7265	b2430	yfeW
PANF-MONOMER	EG10685	b3258	panF
G7021-MONOMER	G7021	b1871	cmoB
EG11089-MONOMER	EG11089	b0122	yacC
MONOMER0-1605	G0-9613	b4455	hokA
G6265-MONOMER	G6265	b0489	qmcA
G7880-MONOMER	G7880	b4249	bdcA
G7161-MONOMER	G7161	b2248	yfaX
ACYLCOASYN-MONOMER	EG11530	b1805	fadD
G7927-MONOMER	G7927	b4330	yjiH
EG11061-MONOMER	EG11061	b4058	uvrA
EG10458-MONOMER	EG10458	b4349	hsdM
EG11299-MONOMER	EG11299	b3247	rng
G6138-MONOMER	G6138	b0264	insB2
NICONUCADENYLYLTRAN-MONOMER	G6350	b0639	nadD
EG10978-MONOMER	EG10978	b3228	sspB
EG11315-MONOMER	EG11315	b3253	yhdH
PD00268	EG10989	b3118	tdcA
EG11579-MONOMER	EG11579	b0798	ybiA
G6824-MONOMER	G6824	b1551	ynfN
YGJE-MONOMER	EG12393	b3063	ttdT
MONOMER0-4485	G0-17019	b4773	ynaN
ANGLYC3PDEHYDROGSUBUNITA-MONOMER	EG10391	b2241	glpA
MONOMER0-4341	G7057	b1969	hprR
G7854-MONOMER	G7854	b4191	ulaR
G6868-MONOMER	G6868	b1624	ydgJ
EG10598-MONOMER	EG10598	b1174	minE
GTP-CYCLOHYDRO-I-MONOMER	EG11375	b2153	folE
EG10572-MONOMER	EG10572	b2781	mazG
G7270-MONOMER	G7270	b2438	eutK
G6469-MONOMER	G6469	b0906	ycaP
NUPG-MONOMER	EG10664	b2964	nupG
GATB-MONOMER	EG12415	b2093	gatB
HISTDEHYD-MONOMER	EG10447	b2020	hisD
EG11003-MONOMER	EG11003	b0436	tig
MONOMER0-2748	G0-10525	G0-10525	insEF1
OX-THIOREDOXIN-MONOMER	EG11031	b3781	trxA
EG12264-MONOMER	EG12264	b3537	bcsF
G7484-MONOMER	G7484	b2865	actS
THREODEHYD-MONOMER	EG10993	b3616	tdh
GART-MONOMER	EG10799	b2500	purN
MONOMER0-4125	EG11597	b0784	moaD
PPK-MONOMER	EG11510	b2501	ppk
L-ASPARTATE-OXID-MONOMER	EG10631	b2574	nadB
MONOMER0-1261	G6626	b1199	dhaL
EG11995-MONOMER	EG11995	b2118	yehI
EG10975-MONOMER	EG10975	b2576	srmB
G7655-MONOMER	G7655	b3173	yhbX
IPPISOM-MONOMER	G7508	b2889	idi
G7187-MONOMER	G7187	b2293	hxpA
ASPKINIIHOMOSERDEHYDROGII-MONOMER	EG10590	b3940	metL
HYAC-MONOMER	EG10470	b0974	hyaC
ENTF-MONOMER	EG10264	b0586	entF
AGMATIN-MONOMER	EG10960	b2937	speB
ACONITATEDEHYDRB-MONOMER	EG12316	b0118	acnB
G7701-MONOMER	G7701	b3323	gspA
PSTS-MONOMER	EG10734	b3728	pstS
G7036-MONOMER	G7036	b1906	yecH
G6762-MONOMER	G6762	b1451	pqqU
G6359-MONOMER	G6359	b0655	gltI
NUOM-MONOMER	EG11773	b2277	nuoM
G6531-MONOMER	G6531	b1024	pgaA
EG11514-MONOMER	EG11514	b3214	gltF
TTDB-MONOMER	EG11169	b3062	ttdB
G6931-MONOMER	G6931	b1726	yniB
SECY	EG10766	b3300	secY
EG12860-MONOMER	EG12860	b1853	yebK
G6093-MONOMER	G6093	b0177	bamA
EG10159-MONOMER	EG10159	b0438	clpX
EG12374-MONOMER	EG12374	b3362	yhfG
G7026-MONOMER	G7026	b1877	yecT
MONOMER0-4418	G0-16736	b4741	ymiC
ADENYLOSUCCINATE-SYN-MONOMER	EG10790	b4177	purA
EG12712-MONOMER	EG12712	b2687	luxS
EG11957-MONOMER	EG11957	b4085	alsE
G6872-MONOMER	G6872	b1628	rsxB
AIRS-MONOMER	EG10798	b2499	purM
G7369-MONOMER	G7369	b2634	yfjR
MONOMER0-282	EG10729	b0241	phoE
G7220-MONOMER	G7220	b2351	yfdH
MONOMER0-4451	G7895	b4273	insD6
EG12295-MONOMER	EG12295	b3611	yibN
EG11854-MONOMER	EG11854	b3889	yiiE
G7716-MONOMER	G7716	b3347	fkpA
CDPDIGLYSYN-MONOMER	EG10139	b0175	cdsA
G7064-MONOMER	G7064	b1978	yeeJ
NACGLCTRANS-MONOMER	EG10623	b0090	murG
G6834-MONOMER	G6834	b1567	ydfW
G6471-MONOMER	G6471	b0916	ycaQ
PGK	EG10703	b2926	pgk
ATOD-MONOMER	EG11669	b2221	atoD
FLAVODOXIN2-MONOMER	EG12697	b2895	fldB
G7138-MONOMER	G7138	b2106	rcnA
EG11231-MONOMER	EG11231	b1717	rpmI
EG11494-MONOMER	EG11494	b1097	mltG
PRPPAMIDOTRANS-MONOMER	EG10794	b2312	purF
G7298-MONOMER	G7298	b2475	ypfJ
G6412-MONOMER	G6412	b0795	ybhG
G6101-MONOMER	G6101	b0217	yafT
EG12329-MONOMER	EG12329	b0148	hrpB
PGPPHOSPHAA-MONOMER	EG10704	b0418	pgpA
G6760-MONOMER	G6760	b1449	curA
EG11125-MONOMER	EG11125	b1257	yciE
G7929-MONOMER	G7929	b4332	yjiJ
G7804-MONOMER	G7804	b3830	ysgA
MONOMER0-4561	G0-17126	b4845	xtpA
MONOMER0-4424	G0-16741	b4747	yneP
GLUTRACE-MONOMER	EG11204	b3967	murI
EG11839-MONOMER	EG11839	b3873	yihM
B1433-MONOMER	G6744	b1433	ydcO
EG11646-MONOMER	EG11646	b2166	psuK
G6615-MONOMER	G6615	b1178	pliG
G7847-MONOMER	G7847	b4182	yjfJ
EG12303-MONOMER	EG12303	b1100	ycfH
G7938-MONOMER	G7938	b4342	yjiT
G6623-MONOMER	G6623	b1194	ycgR
EG10124-MONOMER	EG10124	b3551	bisC
G7455-MONOMER	G7455	b2811	csdE
EG11924-MONOMER	EG11924	b4027	yjbF
LIVG-MONOMER	EG10537	b3455	livG
G6587-MONOMER	G6587	b1143	ymfI
PGLYCEROLTRANSII-MONOMER	EG12591	b4359	opgB
3R-3-HYDROXYOCTANOYL-ACP	EG50003	b1094	acpP
YDCS-MONOMER	G6751	b1440	ydcS
G6958-MONOMER	G6958	b1771	ydjG
EG11941-MONOMER	EG11941	b4066	yjcF
G6998-MONOMER	G6998	b1820	yobD
G7639-MONOMER	G7639	b3144	yraJ
G7947-MONOMER	G7947	b4365	yjjQ
MGLB-MONOMER	EG10593	b2150	mglB
MONOMER0-185	G6395	b0761	modE
EG10765-MONOMER	EG10765	b0467	priC
EG12436-MONOMER	EG12436	b0176	rseP
EG11743-MONOMER	EG11743	b1495	yddB
G7744-MONOMER	G7744	b3401	hslO
PD02850	EG12112	b2624	alpA
G7239-MONOMER	G7239	b2376	ypdI
EG10880-MONOMER	EG10880	b2606	rplS
EG11581-MONOMER	EG11581	b0801	hcxB
DIHYDROOROT-MONOMER	EG10806	b1062	pyrC
EG10984-MONOMER	EG10984	b0958	sulA
MONOMER0-4432	G0-16748	b4754	yqfI
ASNS-MONOMER	EG10094	b0930	asnS
EG11119-MONOMER	EG11119	b1088	yceD
G6681-MONOMER	G6681	b1357	ydaS
FOCB-MONOMER	G7309	b2492	focB
G6821-MONOMER	G6821	b1547	stfQ
G7699-MONOMER	G7699	b3283	yrdD
G6560-MONOMER	G6560	b1068	yceM
G7492-MONOMER	G7492	b2873	hyuA
EG12868-MONOMER	EG12868	b1273	yciN
EG12396-MONOMER	EG12396	b2067	dgcE
EG12424-MONOMER	EG12424	b1212	prmC
G6468-MONOMER	G6468	b0905	ycaO
GLYS-MONOMER	EG10410	b3559	glyS
EG11161-MONOMER	EG11161	b2928	yggC
MONOMER0-4420	G0-8900	b4743	ynaL
PD01379	G6546	b1040	csgD
G7409-MONOMER	G7409	b2700	pncC
EG11592-MONOMER	EG11592	b0631	ybeD
YDDQ-MONOMER	G6779	b1485	ddpC
G7352-MONOMER	G7352	b2595	bamD
EG11111-MONOMER	EG11111	b0880	cspD
EG10113-MONOMER	EG10113	b3336	bfr
G7577-MONOMER	G7577	b3027	ygiZ
EG11004-MONOMER	EG11004	b1845	ptrB
EG12258-MONOMER	EG12258	b3531	bcsZ
EG12879-MONOMER	EG12879	b0528	ybcJ
EG12409-MONOMER	EG12409	b2468	aegA
G7759-MONOMER	G7759	b3442	yhhZ
EG11164-MONOMER	EG11164	b3037	ygiB
EG10684-MONOMER	EG10684	b0741	pal
POTE-MONOMER	EG10753	b0692	potE
EG11885-MONOMER	EG11885	b1048	opgG
MONOMER0-2671	G0-10449	b4528	rzoR
G7596-MONOMER	G7596	b3073	patA
DMSC-MONOMER	EG10234	b0896	dmsC
PROX-MONOMER	EG10773	b2679	proX
EG12119-MONOMER	EG12119	b1233	ychJ
URAA-MONOMER	EG12129	b2497	uraA
YDDO-MONOMER	G6777	b1483	ddpF
YCFV-MONOMER	G6574	b1117	lolD
EG10777-MONOMER	EG10777	b1305	pspB
G6484-MONOMER	G6484	b0942	ycbU
G7860-MONOMER	G7860	b4198	ulaF
EG10694-MONOMER	EG10694	b4260	pepA
EG10871-MONOMER	EG10871	b3985	rplJ
G7588-MONOMER	G7588	b3050	yqiJ
DISULFOXRED-MONOMER	EG11297	b3860	dsbA
NIKB-MONOMER	EG12076	b3477	nikB
MONOMER0-4369	G0-16675	b4689	rzoQ
EG11678-MONOMER	EG11678	b0135	yadC
G6745-MONOMER	G6745	b1434	sutR
EG12110-MONOMER	EG12110	b1414	ydcF
G6453-MONOMER	G6453	b0868	ybjS
EG11136-MONOMER	EG11136	b1862	yebB
G7427-MONOMER	G7427	b2757	casD
G6827-MONOMER	G6827	b1554	rrrQ
G7717-MONOMER	G7717	b3351	kefG
MALX-MONOMER	EG10563	b1621	malX
G7571-MONOMER	G7571	b3021	mqsA
G6088-MONOMER	G6088	b0034	caiF
SUCC-ACP	EG50003	b1094	acpP
EG12287-MONOMER	EG12287	b3583	sgbE
B0899-MONOMER	G7400	b2672	ygaM
G6488-MONOMER	G6488	b0948	rlmL
GDPMANDEHYDRA-MONOMER	EG11787	b2053	gmd
G6334-MONOMER	G6334	b0607	uspG
HISJ-MONOMER	EG12124	b2309	hisJ
EG11992-MONOMER	EG11992	b2115	yehF
EG10108-MONOMER	EG10108	b2480	bcp
PHND-MONOMER	EG10714	b4105	phnD
FRUB-MONOMER	G7990	b2169	fruB
G6178-MONOMER	G6178	b0308	ykgG
MONOMER0-2885	G0-10512	b4522	ymiA
YGFO-MONOMER	G7501	b2882	xanQ
EG11208-MONOMER	EG11208	b4017	arpA
EG10882-MONOMER	EG10882	b3315	rplV
G366-MONOMER	G366	b1081	flgJ
G7739-MONOMER	G7739	b3395	hofM
PHOSPHASERDECARB-BETA-MONOMER	EG10775	b4160	psd
MONOMER0-4538	EG10505	b3168	infB
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	EG11473	b3833	ubiE
EG10461-MONOMER	EG10461	b0473	htpG
EG12319-MONOMER	EG12319	b0126	can
EG12880-MONOMER	EG12880	b2604	dgcN
EG10666-MONOMER	EG10666	b0416	nusB
G7924-MONOMER	G7924	b4327	hypT
SUCCCOASYN-BETA	EG10981	b0728	sucC
EG11806-MONOMER	EG11806	b1846	yebE
EG12122-MONOMER	EG12122	b2944	yggI
EG11381-MONOMER	EG11381	b3049	glgS
G6402-MONOMER	G6402	b0780	ybhK
PHOSPHO-CPXR	EG10020	b3912	cpxR
G7728-MONOMER	G7728	b3376	yhfS
EG12689-MONOMER	EG12689	b1050	yceK
FADB-MONOMER	EG10279	b3846	fadB
HYAA-MONOMER	EG10468	b0972	hyaA
YIHN-MONOMER	EG11840	b3874	yihN
EG11489-MONOMER	EG11489	b1042	csgA
EG11929-MONOMER	EG11929	b4046	zur
EG11974-MONOMER	EG11974	b4315	fimI
G7325-MONOMER	G7325	b2530	iscS
G6264-MONOMER	G6264	b0488	ybbJ
MONOMER0-4519	EG10157	b2592	clpB
RCSC-MONOMER	EG10822	b2218	rcsC
EG11578-MONOMER	EG11578	b3406	greB
PD04132	EG10957	b4063	soxR
SECD	EG10938	b0408	secD
G7875-MONOMER	G7875	b4221	tamB
G6945-MONOMER	G6945	b1750	ydjX
EG10817-MONOMER	EG10817	b3748	rbsD
DIHYDROOROTOX-MONOMER	EG10807	b0945	pyrD
B1065-MONOMER	G6559	b1065	mdtH
MONOMER0-2872	G0-10645	b4673	ymjD
MONOMER0-1561	G0-9561	b4409	blr
G6321-MONOMER	G6321	b0573	cusF
G6320-MONOMER	G6320	b0572	cusC
G6845-MONOMER	G6845	b1587	ynfE
YEHW-MONOMER	EG12009	b2128	yehW
EG11899-MONOMER	EG11899	b1349	recT
G7256-MONOMER	G7256	b2408	yfeN
EUTB-MONOMER	EG50006	b2441	eutB
MONOMER0-2696	G0-10474	b4567	yjjZ
HOMOCYSMETB12-MONOMER	EG10587	b4019	metH
EG12354-MONOMER	EG12354	b0191	arfB
EG11847-MONOMER	EG11847	b3882	yihU
EG11056-MONOMER	EG11056	b1184	umuC
2-OCTAPRENYLPHENOL-HYDROX-MONOMER	EG11476	b3835	ubiB
G6162-MONOMER	G6162	b0291	ecpC
EG10437-MONOMER	EG10437	b4173	hflX
MONOMER0-2694	G0-10472	b4559	ghoT
G6112-MONOMER	G6112	b0228	rayT
MONOMER0-2662	G0-10440	b4514	ybfQ
ATPPHOSRIBOSTRANS-MONOMER	EG10449	b2019	hisG
EG11761-MONOMER	EG11761	b1461	pptA
O-SUCCHOMOSERLYASE-MONOMER	EG10582	b3939	metB
EG11891-MONOMER	EG11891	b2008	yeeA
EG10370-MONOMER	EG10370	b2515	ispG
H2PTEROATESYNTH-MONOMER	EG50011	b3177	folP
G7883-MONOMER	G7883	b4252	tabA
EG11120-MONOMER	EG11120	b1156	tfaE
1-PFK-MONOMER	EG10337	b2168	fruK
G7237-MONOMER	G7237	b2374	frc
G7603-MONOMER	G7603	b3084	rlmG
HYCC-MONOMER	EG10476	b2723	hycC
YJCQ-MONOMER	EG11953	b4081	mdtO
FRVA-MONOMER	EG11864	b3900	frvA
G6973-MONOMER	G6973	b1787	yeaK
CAIE-MONOMER	EG12608	b0035	caiE
G7687-MONOMER	G7687	b3242	aaeX
EG11804-MONOMER	EG11804	b2991	hybF
EG10271-MONOMER	EG10271	b3006	exbB
G6876-MONOMER	G6876	b1632	rsxE
G6840-MONOMER	G6840	b1582	ynfA
BRNQ-MONOMER	EG12168	b0401	brnQ
EG12121-MONOMER	EG12121	b1235	rssB
YJCV-MONOMER	EG11958	b4086	alsC
EG10967-MONOMER	EG10967	b3651	trmH
G6906-MONOMER	G6906	b1680	sufS
ISOCITDEH-SUBUNIT	EG10489	b1136	icd
EG10347-MONOMER	EG10347	b0095	ftsZ
EG11132-MONOMER	EG11132	b1703	ppsR
OPPC-MONOMER	EG10676	b1245	oppC
B1600-MONOMER	G6858	b1600	mdtJ
G7360-MONOMER	G7360	b2625	yfjI
UDP-NACMURALGLDAPLIG-MONOMER	EG10621	b0085	murE
G6281-MONOMER	G6281	b0512	allB
EG10764-MONOMER	EG10764	b4201	priB
G6787-MONOMER	G6787	b1497	ydeM
GLNH-MONOMER	EG10386	b0811	glnH
CHEW-MONOMER	EG10149	b1887	cheW
G6657-MONOMER	G6657	b1319	ompG
CARBOXYL-TRANSFERASE-ALPHA-MONOMER	EG11647	b0185	accA
G7105-MONOMER	G7105	b2060	wzc
MONOMER0-2678	G0-10456	b4538	yoeF
DHHB-METHYLTRANSFER-MONOMER	EG11143	b2232	ubiG
MONOMER0-4223	G26	G26	dgd
ARAE-MONOMER	EG10056	b2841	araE
DLACTDEHYDROGFAD-MONOMER	EG10231	b2133	dld
EG10462-MONOMER	EG10462	b1829	htpX
EG10723-MONOMER	EG10723	b4094	phnN
EG11759-MONOMER	EG11759	b1271	yciK
EG10711-MONOMER	EG10711	b4108	yjdM
EG11498-MONOMER	EG11498	b3262	yhdJ
GLUTATHIONE-REDUCT-NADPH-MONOMER	EG10412	b3500	gor
EG12269-MONOMER	EG12269	b3548	yhjY
PD04099	EG10491	b4018	iclR
G7767-MONOMER	G7767	b3472	dcrB
MHPDHYDROL-MONOMER	M013	b0350	mhpD
G7668-MONOMER	G7668	b3208	mtgA
G6558-MONOMER	G6558	b1061	dinI
EG11604-MONOMER	EG11604	b4473	smf
UGD-MONOMER	G7091	b2028	ugd
DUTP-PYROP-MONOMER	EG10251	b3640	dut
G6082-MONOMER	G6082	b0011	yaaW
PD00436	EG10133	b4133	cadC
PHOSPHO-UHPA	EG11051	b3669	uhpA
G6808-MONOMER	G6808	b1522	dgcF
MONOMER-162	G6477	b0935	ssuD
G7184-MONOMER	G7184	b2290	alaA
G7914-MONOMER	G7914	b4301	sgcE
G6421-MONOMER	G6421	b0818	ybiR
GALACTOACETYLTRAN-MONOMER	EG10524	b0342	lacA
EG11359-MONOMER	EG11359	b3335	gspO
NRDE-MONOMER	EG20257	b2675	nrdE
EG12108-MONOMER	EG12108	b2709	norR
EG10169-MONOMER	EG10169	b2313	cvpA
AMTB-MONOMER	EG11821	b0451	amtB
RIB5PISOMB-MONOMER	EG11827	b4090	rpiB
EXUT-MONOMER	EG12738	b3093	exuT
G6260-MONOMER	G6260	b0484	copA
EG11068-MONOMER	EG11068	b1960	vsr
G6576-MONOMER	G6576	b1119	nagK
G6875-MONOMER	G6875	b1631	rsxG
MONOMER0-4486	G0-17020	b4774	yncP
SFUB-MONOMER	EG11573	b0067	thiP
G6954-MONOMER	G6954	b1759	nudG
G7917-MONOMER	G7917	b4307	yjhQ
G7693-MONOMER	G7693	b3257	yhdT
G7873-MONOMER	G7873	b4218	paeA
DALADEHYDROGA-MONOMER	EG11407	b1189	dadA
MONOMER0-4427	G0-16744	b4750	ynfS
G6151-MONOMER	G6151	b0280	yagN
EG10237-MONOMER	EG10237	b4361	dnaC
G7055-MONOMER	G7055	b1967	hchA
G7899-MONOMER	G7899	b4277	yjgZ
ALDOSE1EPIM-MONOMER	EG11698	b0756	galM
YDHE-MONOMER	EG12400	b1663	mdtK
EG12429-MONOMER	EG12429	b0461	tomB
MONOMER0-4196	EG10374	b3447	ggt
G6820-MONOMER	G6820	b1546	tfaQ
EG10657-MONOMER	EG10657	b3661	nlpA
EG11800-MONOMER	EG11800	b2995	hybB
EG12694-MONOMER	EG12694	b3060	ttdR
G7579-MONOMER	G7579	b3032	cpdA
EG10376-MONOMER	EG10376	b3740	rsmG
EG12008-MONOMER	EG12008	b2127	mlrA
G6382-MONOMER	G6382	b0713	pxpA
PHOSPHO-DCUR-MONOMER	G7826	b4124	dcuR
EG11712-MONOMER	EG11712	b3688	yidQ
EG12179-MONOMER	EG12179	b0623	cspE
UDPMANACATRANS-MONOMER	EG11458	b3794	rffM
DPPF-MONOMER	EG12628	b3540	dppF
G6765-MONOMER	G6765	b1454	yncG
EG10952-MONOMER	EG10952	b2617	bamE
EG10852-MONOMER	EG10852	b0852	rimK
G7460-MONOMER	G7460	b2832	ygdQ
G7891-MONOMER	G7891	b4264	idnR
G7268-MONOMER	G7268	b2433	yfeZ
G7260-MONOMER	G7260	b2419	yfeK
G7840-MONOMER	G7840	b4159	mscM
EG11895-MONOMER	EG11895	b2013	tsuA
G7718-MONOMER	G7718	b3353	yheT
G6887-MONOMER	G6887	b1647	ydhF
EG12877-MONOMER	EG12877	b1154	ycfK
EG10826-MONOMER	EG10826	b2819	recD
YAGC-MONOMER	EG12340	b0262	afuC
XYLE-MONOMER	EG11076	b4031	xylE
PSTA-MONOMER	EG10782	b3726	pstA
G7589-MONOMER	G7589	b3051	yqiK
YEHZ-MONOMER	EG12012	b2131	osmF
G6628-MONOMER	G6628	b1201	dhaR
NICOTINAMID-MONOMER	EG11135	b1768	pncA
MONOMER0-4349	G0-16640	b4715	ytiA
G6897-MONOMER	G6897	b1669	ydhT
G7598-MONOMER	G7598	b3079	ygjJ
YHFC-MONOMER	EG11262	b3364	tsgA
YICE-MONOMER	EG11194	b3654	xanP
THZ-KIN-MONOMER	M007	b2104	thiM
EG10302-MONOMER	EG10302	b0150	fhuA
RCSB-MONOMER	EG10821	b2217	rcsB
EG11865-MONOMER	EG11865	b3901	rhaM
EG11835-MONOMER	EG11835	b3866	yihI
FECD-MONOMER	EG10289	b4288	fecD
NUOK-MONOMER	EG12091	b2279	nuoK
EG11733-MONOMER	EG11733	b3755	yieP
G7419-MONOMER	G7419	b2738	ygbL
G7464-MONOMER	G7464	b2844	yqeF
PHOSPHO-CREB	EG11218	b4398	creB
EG10866-MONOMER	EG10866	b3320	rplC
EG10722-MONOMER	EG10722	b4095	phnM
G7851-MONOMER	G7851	b4188	yjfN
EG10215-MONOMER	EG10215	b3162	deaD
YJIZ-MONOMER	EG12587	b4356	lgoT
EG10343-MONOMER	EG10343	b3465	rsmD
YADG-MONOMER	EG12320	b0127	yadG
MONOMER0-4152	EG11297	b3860	dsbA
MONOMER0-1	EG11140	b1914	uvrY
G7048-MONOMER	G7048	b1955	yedP
PURK-MONOMER	EG10796	b0522	purK
G6736-MONOMER	G6736	b1420	mokB
EG10976-MONOMER	EG10976	b4059	ssb
EG11285-MONOMER	EG11285	b2554	glrR
EG12278-MONOMER	EG12278	b3574	plaR
G7311-MONOMER	G7311	b2494	bepA
G6255-MONOMER	G6255	b0465	mscK
G7685-MONOMER	G7685	b3240	aaeB
EG11160-MONOMER	EG11160	b2924	mscS
TDK-MONOMER	EG10994	b1238	tdk
EG10599-MONOMER	EG10599	b4143	groL
G7495-MONOMER	G7495	b2876	yqeC
CYSN-MONOMER	EG10194	b2751	cysN
G6346-MONOMER	G6346	b0620	dpiA
DTDPDEHYDRHAMEPIM-MONOMER	EG11979	b2038	rfbC
EG10255-MONOMER	EG10255	b2209	eco
EG10015-MONOMER	EG10015	b2516	rodZ
PD00297	EG13161	b2364	dsdC
G7463-MONOMER	G7463	b2843	kduI
YGGA-MONOMER	EG11159	b2923	argO
EG11707-MONOMER	EG11707	b3680	yidL
EG11232-MONOMER	EG11232	b3299	rpmJ
LIVJ-MONOMER	EG10539	b3460	livJ
G7912-MONOMER	G7912	b4299	yjhI
HISP-MONOMER	EG10452	b2306	hisP
RED-GLUTAREDOXIN	EG10417	b0849	grxA
G6387-MONOMER	G6387	b0718	ybgQ
GLTP-MONOMER	EG10405	b4077	gltP
G7236-MONOMER	G7236	b2373	oxc
EG10529-MONOMER	EG10529	b2569	lepA
EG10743-MONOMER	EG10743	b3164	pnp
AROE-MONOMER	EG10077	b3281	aroE
ANSA-MONOMER	EG10045	b1767	ansA
AGAD-MONOMER	G7635	b3140	agaD
EG10955-MONOMER	EG10955	b3129	prlF
G7941-MONOMER	G7941	b4353	yjiX
YPHE-MONOMER	G7341	b2547	yphE
