Proteins	Genes	Accession-1 of Gene	Common-Name
EG10911-MONOMER	EG10911	b3342	rpsL
G7211-MONOMER	G7211	b2340	sixA
HYCBSMALL-MONOMER	EG10475	b2724	hycB
EG10528-MONOMER	EG10528	b4036	lamB
DCYSDESULF-MONOMER	G7038	b1919	dcyD
EG12279-MONOMER	EG12279	b3575	yiaK
TRANS-DELTA3-CIS-DELTA5-DODECENOYL-ACP	EG50003	b1094	acpP
EG11837-MONOMER	EG11837	b3871	bipA
G6651-MONOMER	G6651	b1313	ycjQ
GLYOXI-MONOMER	G6891	b1651	gloA
G6776-MONOMER	G6776	b1481	bdm
EG10041-MONOMER	EG10041	b0110	ampD
EG11280-MONOMER	EG11280	b0075	leuL
PHOSPHO-KDPE	EG10517	b0694	kdpE
MONOMER0-4382	G6260	b0484	copA
MONOMER0-146	G6479	b0937	ssuE
EG12224-MONOMER	EG12224	b3487	yhiI
CIS-DELTA5-DODECENOYL-ACP	EG50003	b1094	acpP
YEJE-MONOMER	EG12040	b2179	yejE
FECE-MONOMER	EG10290	b4287	fecE
EG11147-MONOMER	EG11147	b2471	yffB
G6307-MONOMER	G6307	b0551	quuD
G7656-MONOMER	G7656	b3183	obgE
EG12372-MONOMER	EG12372	b2798	ygdG
EG11235-MONOMER	EG11235	b0797	rhlE
PITA-MONOMER	EG12230	b3493	pitA
G6614-MONOMER	G6614	b1177	ycgJ
G6443-MONOMER	G6443	b0845	ybjJ
G7186-MONOMER	G7186	b2292	yfbS
MONOMER0-4484	G0-17018	b4772	ymiD
G6478-MONOMER	G6478	b0936	ssuA
EG10395-MONOMER	EG10395	b3425	glpE
PABASYN-COMPI-MONOMER	EG10683	b1812	pabB
GLVC-MONOMER	EG11710	b3683	glvC
EG12709-MONOMER	EG12709	b1958	yedI
EG11072-MONOMER	EG11072	b2509	xseA
G6937-MONOMER	G6937	b1741	cho
EG11244-MONOMER	EG11244	b2922	yggE
EG10335-MONOMER	EG10335	b0172	frr
MTLA-MONOMER	EG10615	b3599	mtlA
MONOMER0-4505	G0-17039	b4793	ysaE
G7318-MONOMER	G7318	b2510	yfgJ
SUPEROX-DISMUTFE-MONOMER	EG10954	b1656	sodB
LUMAZINESYN-MONOMER	EG11322	b0415	ribE
GLUTKIN-MONOMER	EG10768	b0242	proB
KDGT-MONOMER	EG11869	b3909	kdgT
MODA-MONOMER	EG12427	b0763	modA
G6598-MONOMER	G6598	b1155	tfaP
G6704-MONOMER	G6704	b1382	ynbE
FEPC-MONOMER	EG10295	b0588	fepC
CMPKI-MONOMER	EG11265	b0910	cmk
G6989-MONOMER	G6989	b1803	yeaX
G7486-MONOMER	G7486	b2867	xdhB
G6709-MONOMER	G6709	b1388	paaA
ALPHA-AMYL-CYTO-MONOMER	EG11387	b1927	amyA
EG12033-MONOMER	EG12033	b2165	psuG
O-SUCCINYLBENZOATE-COA-SYN-MONOMER	EG11532	b2261	menC
EG12025-MONOMER	EG12025	b2144	sanA
MONOMER0-2660	G0-10438	b4512	ybdD
EVGA-MONOMER	EG11609	b2369	evgA
G7681-MONOMER	G7681	b3233	zapG
G6568-MONOMER	G6568	b1108	ycfP
G7697-MONOMER	G7697	b3280	yrdB
GLYQ-MONOMER	EG10409	b3560	glyQ
G6880-MONOMER	G6880	b1640	anmK
EG12134-MONOMER	EG12134	b0813	rhtA
DMK-MONOMER	EG11880	b3930	menA
MONOMER0-4240	G7672	b3218	insH10
SERS-MONOMER	EG10947	b0893	serS
G7529-MONOMER	G7529	b2953	yggU
EG10211-MONOMER	EG10211	b1961	dcm
NUOC-MONOMER	EG12084	b2286	nuoC
G6491-MONOMER	G6491	b0951	pqiB
CARBODEHYDRAT-MONOMER	EG10176	b0339	cynT
EG11103-MONOMER	EG11103	b0535	fimZ
LACY-MONOMER	EG10526	b0343	lacY
OPPA-MONOMER	EG10674	b1243	oppA
G6436-MONOMER	G6436	b0836	bssR
EG11098-MONOMER	EG11098	b0422	xseB
EG10157-MONOMER	EG10157	b2592	clpB
G7381-MONOMER	G7381	b2646	ypjF
HYCELARGE-MONOMER	EG10478	b2721	hycE
FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN	G358	b1073	flgB
G6849-MONOMER	G6849	b1591	dmsD
YEIM-MONOMER	EG12032	b2164	psuT
EG10735-MONOMER	EG10735	b3724	phoU
EG12190-MONOMER	EG12190	b2437	eutR
G7574-MONOMER	G7574	b3024	ygiW
EG10862-MONOMER	EG10862	b3704	rnpA
MACA	G6461	b0878	macA
EG10908-MONOMER	EG10908	b3230	rpsI
EG11376-MONOMER	EG11376	b3017	ftsP
EG11663-MONOMER	EG11663	b3349	slyD
G6126-MONOMER	G6126	b0251	yafY
GLUCOKIN-MONOMER	EG12957	b2388	glk
G7564-MONOMER	G7564	b3011	yqhD
G6718-MONOMER	G6718	b1397	paaJ
KETOLREDUCTOISOM-MONOMER	EG10495	b3774	ilvC
G6975-MONOMER	G6975	b1789	yeaL
YEHY-MONOMER	EG12011	b2130	yehY
CYDC-MONOMER	EG10012	b0886	cydC
PHOSPHO-BAES	EG11617	b2078	baeS
G7432-MONOMER	G7432	b2766	ygcN
G7942-MONOMER	G7942	b4354	btsT
G7674-MONOMER	G7674	b3220	yhcG
EG11878-MONOMER	EG11878	b3928	zapB
MONOMER0-4492	G0-17026	b4780	yodE
G7273-MONOMER	G7273	b2443	yffL
PHOSPHO-ARCA	EG10061	b4401	arcA
MONOMER0-4306	G7990	b2169	fruB
GLUCARDEHYDRA-MONOMER	G7445	b2787	gudD
