# Generated from the following BioVelo query on EcoCyc, 10:53am, November 3, 2024: html-sort-ascending(html-table-headers([(t^?frame-id, [c: c<-t^components, c isa genes]) : t<-ECOLI^^Transcription-Units, !(classp t)], ("Frame ID", "Component genes")), 2)
TU0-13301	yneE
TU0-14698	mdtF,mdtE
TU261	mukB,mukE,mukF,cmoM
TU0-1192	rrfF,thrV,rrfD,rrlD,alaU,ileU,rrsD
TU0-45240	rapA
TU0-45236	pfkA
TU0-12925	yajR
TU0-14673	groL
TU0-14091	ptsA,fsaB,gldA
TU0-42533	cbpM,cbpA
TU0-12844	yafT
TU0-45198	rrfG,rrlG,gltW,rrsG
TU0-1183	rrfC,rrlC,gltU,rrsC
TU0-12873	yagN
TU-8397	greA
TU3	trpA,trpB,trpC
TU0-13790	yqfB
TU0-12998	citT
TU0-13762	ygeG
TU0-45195	cbpM,cbpA
TU0-13615	yfeO
TU00481	ptsH,ptsI,crr
TU0-8529	thiI
TU0-13379
TU0-12966	sfmA
TU0-1548	ycgR
TU0-13967	yhjD
TU0-8652	yqeK
TU0-45207	proX,proW,proV
TU783	zraR,zraS
TU0-198686	asflhD
TU00023	frdD,frdC,frdB,frdA
TU0-14688	yliM,ompX
TU0-8582	yhhA
TU0-13059	ybiR,mntR
TU0-13567	yfaY
TU0-45196	recF,dnaN
TU0-13745	ppdA,ppdB,ygdB,ppdC,recC
TU0-8605	yigE
TU0-4782	crr
TU0-13732	ygcW
TU00274	fliD,fliS,fliT
TU524	ilvX,ilvA,ilvD,ilvE,ilvM,ilvL
TU0-3882	proP
TU0-45289	hemF
TU0-1186	rrfE,rrlE,gltV,rrsE
TU0-13881	nlpI
TU0-13598	yfdF
TU0-45221	csrA
TU0-8843	ldrA
TU0-8612	yjfP
TU0-13747	mutH
TU0-13964	mdtF,mdtE
TU483	acpS,pdxJ,recO,era,rnc
TU0-5101	gndA,gnd
TU0-14610	yafZ
TU0-13682	yfjD
TU0-4623	zntA
TU0-14108	yjbD
TU0-13179	dauA
TU0-198693	mazE
TU0-14562	hflC,hflK,hflX,hfq,miaA,mutL
TU0-14413	eno
TU0-3901	sra
TU0-14402	cyaA
TU0-6361	dolP
TU0-8685	bhsA
TU00200	nhaR,nhaA
TU0-13943	yhhN
TU0-45212	clpB
TU0-14077	yiiM
TU0-13958	rlmJ
TU0-8632	rimO
TU00190	marR,marA,marB
TU0-1762	osmC
TU0-4642	znuA
TU0-6657	rplT
TU0-13851	ygjI
TU0-13167	ymgG,ymgD
TU0-13835	mdaB
TU0-14627	trg
TU0-8755	ygiD
TU0-7341	rpiA
TU0-13458
TU0-13277
TU0-13469	msrQ,msrP
TU0-8784	ddlA
TU0-14716	sibE
TU0-13395	yeaC
TU0-45164	micF
TU0-42529	agrA
TU0-13432	yobA,yebZ,yebY
TU0-42495	murA,ibaG
TU0-13802	tktA
TU0-13985	ysaA
TU0-6042	entS
TU-8439	bglA
TU0-14637	sbmC
TU0-14045	yigI
TU0-1194	recF,dnaN
TU0-14301	yadN
TU0-3481	sixA
TU0-8513	ybjX
TU0-8578	yhdH
TU0-1962	glcA,glcB,glcG,glcF,glcE,glcD
TU0-13727	queD
TU00348	tufA,fusA,rpsG,rpsL
TU0-13966	rcdB
TU0-14274	smg
TU0-14254	aroH
TU0-14001	yicC
TU0-13816	yghQ
TU0-7743	ydeO
TU00183	livJ
TU0-5001	ibpB
TU0-12801	djlA
TU00007	argR
TU0-13751	aas,lplT
TU0-13581	yfbS
TU0-13001	cspE
TU0-13926	hofQ
TU0-45156	rpmE
TU0-13618	pdeA
TU0-8789	dsrB
TU0-14527	topB,selD
TU00264	ompT,envY
TU0-14029	mnmG,rsmG
TU0-13825	yqhG
TU0-8502	yjfI,rlmB,rnr,nsrR
TU0-12908	hemB
TU0-13767	insC4,insD4,insCD4
TU0-36420	phoU
TU0-42602	accA
TU-8381	spy
TU0-8794	fadR
TU00215	fadA,fadB
TU0-42547	feaR
TU0-8805	grxD
TU0-1190	rrfH,rrlH,alaV,ileV,rrsH
TU0-42684	argH
TU441	fabF,acpP
TU0-13683	nadK
TU0-13067	deoR
TU0-13221	uspE
TU0-8626	yjiR
TU0-14503	aceK
TU0-5903	glnZ,glnA
TU0-13099	yccF,yccS
TU0-2581	fhuE
TU0-12905
TU0-6564	ssb
TU0-12903	yaiO
TU00436	rpoD
TU0-6650	hisI,hisF,hisA,hisH,hisB
TU0-12855
TU0-41739	mpaA
TU0-8331	punR
TU00404	htrE,yadV
TU0-13858	ygjR
TU0-13332	ynfP
TU0-42686	yihS,yihT,yihU
TU0-5961	cytR
TU0-12799	yaaU
TU0-14141	yjeI
TU0-13739	ppnN
TU0-13944	yhhQ
TU0-13489	tsuA,tsuB
TU00279	glgS
TU0-13239	uspF
TU0-14011	yicN
TU0-13833	ygiV
TU0-13960
TU0-8688	pliG
TU0-14233	yghO
TU0-45283	osmE
TU0-13532
TU0-42695	csgA
TU0-6629	ssuB,ssuC,ssuD,ssuA,ssuE
TU0-13716	csrA
TU-8382	ycaC
TU0-2421	mgtL,mgtA
TU0-13911	yhdN,zntR
TU0-13366	ldtE
TU0-1881	iscA,iscU,iscS,iscR
TU0-198714	dppF,dppD,dppC,dppB
TU0-42517	ilvL
TU0-8774	can
TU0-13031	abrB
TU0-8622
TU00374	xylF,xylG,xylH,xylR
TU0-8458	nth,rsxE,rsxG,rsxD,rsxC,rsxB,rsxA
TU0-14399	dapB
TU0-14196	nanS
TU0-6843	nanM,nanC
TU0-8757	ttdR
TU0-5182	dedA,truA,usg,pdxB
TU0-8267	cho
TU0-13832	mqsR,mqsA
TU0-8354	bcsZ,bcsB
TU00235	adiA
TU0-3463	sdsR,pphA
TU0-14176	lptG,lptF
TU861	yeiL
TU0-8549	yahO
TU00239	arsR,arsB,arsC
TU0-13876	yraR
TU00445	clpA
TU0-8825	mdtK
TU0-13989	yibA,rhsA
TU0-13190	yciC,yciB
TU0-13595	yfcV
TU0-45245	folK,pcnB
TU0-13182	purU
TU0-13902	tldD
TU00480	ptsH,ptsI,crr
TU0-13214	ycjF,ycjX
TU0-7561	evgL,evgS,evgA
TU-8387	qseC,qseB
TU68	xylR
TU0-13043	ybhI
TU00053	phoB,phoR
TU0-13937	yhhX
TU0-8512	slyX
TU0-6649	glnQ,glnP,glnH
TU0-14489	recJ,dsbC,xerD
TU0-12894	yahJ,yahI
TU0-8683	yceF
TU0-8084	aspS
TU0-8143	tktB,talA
TU0-7602	allS
TU00001	aceB,aceA,aceK
TU0-1241	gdx
TU0-8328	yegS
TU00028	glnG,glnL
TU0-14057	yihD
TU0-13086	ycaL
TU0-14003	yicG
TU0-7342	tktB
TU0-45150	mqsA
TU0-1501	flxA
TU0-4201	prmC,prfA,hemA
TU0-13708	kbp
TU0-14369	mepM
TU0-13183	ychJ
TU0-12945	priC,ybaM
TU0-45170	glk
TU0-14451	hcr,hcp
TU00484	pyrL,pyrI,pyrB
TU0-8044
TU0-45267	recF,dnaN
TU0-14272	rne
TU00285	hisL,hisG,hisD,hisC,hisB,hisH,hisA,hisF,hisI
TU0-8799	fimZ
TU0-13144	roxA
TU00128	fucP,fucI,fucK,fucU,fucR
TU0-13327	dicC,ydfX,ydfW
TU0-13103	rlmI
TU0-14662	kup
TU0-14017	yidE
TU0-8611	queG
TU0-8323	prs,ispE,lolB
TU302	tauD,tauC,tauB,tauA
TU0-13741	csdE,csdA
TU0-12786	yjtD
TU0-8791	emtA
TU0-8872	dgcC
TU0-5522	mutM,rpmG,rpmB,yicR
TU00029	glnZ,glnG,glnL,glnA
TU0-13771	actS
TU0-13564	rpnE
TU0-42551	feaB
TU0-12967	sfmD,sfmC
TU0-8699	ydbK
TU0-6623	ybbO,tesA
TU0-14262	mioC,asnC
TU0-13894	yhcG
TU5	paaK,paaJ,paaI,paaH,paaG,paaF,paaE,paaD,paaC,paaB,paaA
TU0-198728	ymiD
TU0-13756	kduI
TU0-4523	gntR
TU0-14192	yjhI,yjhH,yjhG
TU0-5741	pspH,pspG
TU262	mobB,mobA
TU00257	vsr,dcm
TU0-42558	ssnA
TU0-14422	shoB
TU0-12787	yaaX
TU0-13138	ldtC
TU-8430	lhr
TU0-2021	psiE
TU0-4682	idnR,idnT,idnO,idnD
TU0-14290	kdsD,yrbG
TU00465	ppiA
TU0-8759	aaeR
TU0-45201	csgG,csgF,csgE,csgD
TU0-14680	gpt
TU-8427	narV,narW
TU0-8727	yejK
TU00363	pcm,umpG
TU0-198700	yneG,glsB,sad
TU0-8665	ytjC
TU0-6861	ilvH,ilvI
TU0-14150	rsgA
TU0-13649	yfgJ
TU875	trpS,gph,rpe,dam
TU0-14330
TU0-12788	yaaA
TU0-12866	yagA,yagB
TU0-8707	ydgC
TU0-13914	bfd,bfr
TU00488	glmS,glmU
TU0-14474	valS,holC
TU00353	ruvB,ruvA
TU0-14295	selU
TU0-8082	fbaA,pgk,epd
TU0-42668	ymdB,ymdA
TU0-4	yggN
TU0-45175	pykA
TU00519	proK
TU0-13874	yraK,yraJ,yraI
TU00103	sdhX,sucA,sucB,sucC,sucD
TU0-8588	yhjB
TU0-8362	folK,pcnB
TU0-12859	yafY,ykfB,ykfF,yafX,ykfG,ykfH,yafW,ykfI
TU00486	rcsA
TU583	rnb
TU0-13689	alpA
TU0-8337	barA
TU0-14061	bipA
TU0-14772	rraB
TU0-14494	gluQ,dksA
TU0-13104	tusE
TU0-8490	pepT
TU0-13599	yfdC
TU0-42595	metG
TU0-13158	bluR
TU0-6423	rimL
TU0-14177	yjgR
TU0-14319	hsdS,hsdM,hsdR
TU0-13948	rhsB
TU0-13467	hprR,hprS
TU0-13017	ybeZ,ybeY
TU0-36443	cbpM,cbpA
TU0-14172	bdcR
TU0-44194	malY
TU0-8497	rdlB
TU0-1701	asr
TU0-13303	glsB,yneG
TU00312	otsA,otsB
TU0-13172	dsbB
TU0-42603	accC,accB
TU0-8783	dcp
TU0-14157	ulaR
TU00079	cysK
TU0-1021	pyrH
TU00447	clpA
TU0-1521	fliX,fliC
TU0-13681	ypjD
TU0-3963	fepC,fepG,fepD
TU0-45243	alkA
TU0-14443	ftsO,lpxC,ftsZ,ftsA,ftsQ,ddlB,murC,murG,ftsW,murD,mraY,murF,murE,ftsI,ftsL
TU0-13758	yqeG
TU-8438	ftnB
TU00236	tsaE,nnr,amiB,mutL,miaA,hfq,hflX,hflK,hflC
TU0-13792	ygfB,pepP,ubiH,ubiI
TU0-42462	ddpF,ddpD,ddpC,ddpB,ddpA,ddpX
TU0-13258	ydcJ
TU0-4924	idnR
TU0-13663	yphF,yphE,yphD
TU0-13962	yhiD
TU0-42455	yibQ,envC,gpmM
TU0-14506	glxK
TU0-8572	ygjH
TU0-8637	pqqU
TU0-4545	galM,galK,galT,galE
TU0-14293	alsK
TU0-1061	dsbA,srkA
TU0-8741	yfiE
TU0-14744	waaZ,waaY
TU0-45218	rpoH
TU0-8556	ybaK
TU0-13334	ynfA
TU0-45205	poxB
TU0-14663	kup
TU0-13591	folC,dedD
TU542	xthA
TU0-13844	yqiK,yqiJ
TU0-14073	fdhD
TU0-14490	clpX,clpP
TU0-14630	pykF
TU0-45282	rseD,rseC,rseB,rseA,rpoE
TU0-13507	insF5,insE5,insEF5
TU0-8580	yhgN
TU0-13560	yojI
TU355	putA
TU00298	menE,menC,menB,menH,menD,menF
TU0-8828	mak
TU541	poxB
TU0-14347	rodZ
TU0-14161	qorB
TU0-13083	pflA
TU0-14460	rpoD
TU0-14615	acrB
TU0-13312	ydfZ
TU0-13273	mcbR
TU0-4525	recX,recA
TU0-2405	lacI,mhpR
TU00513	serU
