gene,ica__wt_glc__1,ica__wt_glc__2,ica__wt_glc__3,ica__wt_glc__4,ica__arg_sbt__1,ica__arg_sbt__2,ica__cytd_rib__1,ica__cytd_rib__2,ica__gth__1,ica__gth__2,ica__leu_glcr__1,ica__leu_glcr__2,ica__met_glc__1,ica__met_glc__2,ica__no3_anaero__1,ica__no3_anaero__2,ica__phe_acgam__1,ica__phe_acgam__2,ica__thm_gal__1,ica__thm_gal__2,ica__tyr_glcn__1,ica__tyr_glcn__2,ica__ura_pyr__1,ica__ura_pyr__2,ica__wt_glc__5,ica__wt_glc__6,ica__bw_delpurR_cytd__1,ica__bw_delpurR_cytd__2,ica__ade_glc__1,ica__ade_glc__2
b0612,1.66930088176835,2.80907056656908,3.01611224203435,2.66453019368427,5.82434453358723,3.86392011658097,3.5214455576701,5.39884817520432,5.1418374317015,7.44266440030056,5.50985643001803,3.87889609653043,2.28650716546684,2.10836546578336,4.98280512324823,3.98464222439054,2.23646427263104,2.9968516966947,3.23685145052555,3.29432669305413,3.98409473654099,3.31335961290206,2.18866289334011,3.17800761654247,3.50799653703422,2.94198890259482,4.48044072551172,2.81532860964787,9.0829748244241,5.24867212686162
b0613,1.08072478172566,0.161257381662371,0.346285613995323,0.277239824840019,3.48457544494357,0.494811448495727,1.13991237985817,1.9609865892581,0.778180974942428,0.701340266709283,0,0.331152842739923,0.42294608553143,0.17549746632799,0.518452379656155,0,0.14892818906384,0.160937966849624,0.923763774354533,1.18579572612391,0.308493593500663,0.334302467830683,0.560557891388683,0.240484563958405,0,0.257775941525204,0.994522070132527,0.520764698628047,0.343661108413773,0.546115388199735
b0614,0,0.5132242165023,0,0.882354596235864,2.41090210830281,0.524935593340855,1.29568960769206,2.60046443421809,0,1.11605684394967,0,0.526970165662084,0,0,0.825023678295508,0.422242376761819,0.236992416593452,0.768311451144677,0.245000639370702,1.17936283791709,0.24545602376183,0,0,1.53075165485278,0,1.23061208974058,1.58260293257979,1.65740663577823,0,0.43452218952601
b0615,0.797107494064744,0.37002997617441,0.695280111542109,0.954254416659255,3.38956491328335,0.946184429978791,0.467090191038923,2.62487557362666,2.38087529925888,1.34111133138672,0.722238127793989,0.569911020099999,0.606571960996835,0.201353025252452,1.04096044937481,0.608865800128516,0.256304054190702,1.29253960338159,0.794894512482388,1.53055771690048,0.530914658958117,0.958885826893746,0.321571671722321,0.413871739798037,1.27626868485879,0.443630042781316,1.2836725546691,0.597487529064774,0.591437631168424,1.56643266497968
b0616,0.597197995553269,0,0.167434802371365,0,1.75810399897774,0.318999322107135,0.157476121550266,1.73831045641194,1.2542110951453,2.03465747704671,0.173926732815695,0.480353574084284,0.204501403993219,0.339423671139848,0.250680271482097,0.769780333019623,0,0.155632319590845,0.148885003925273,1.00336561441254,0.149161737516804,0.323281507352749,0,0,0,0.249277833562835,0,0,1.32932648529284,0
b0617,0,0,0.511294195160879,0,0,0,0.480883458425308,0.482569406752552,0,1.38071461902499,0.531118546517727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761217545443555,0,0,0,0
b0618,0.128172211309782,0,0.287482396524419,0,3.27018401067715,0.136928954300704,0.27038352945423,1.76365460543339,0.21534567860042,0,0,0,0,0.145696009781727,0,0.220283051272911,0.494553986325204,0.13360887813931,0.255632742588676,0.861379914259819,0,0,0,0.199647562531506,0.461744377965421,0,0.206410240970902,1.29699887205476,0.285303561702,0
b0619,16.9418955455375,16.32779560832,23.0384236202671,26.1607507005666,20.8818978995047,16.6129466241939,19.6826178911139,23.8232306526335,33.6899233328489,32.0982878691526,23.5503082740866,20.0128031226922,11.8832562826421,16.0019858454244,26.9345380852691,26.4445822034131,18.2374230559623,19.2815318355742,29.0558951033924,27.6590424792275,19.2975751500656,21.9753525841471,21.6929150257886,23.2024143154085,20.4919929666943,22.0010213224644,20.1660318558198,15.4598098484278,38.6225399913696,32.8590391405961
b0620,20.1204060745238,20.3912560037578,20.553726766174,24.6832876309178,16.8119769012705,22.3463234804522,20.8020876693012,24.4596176724666,46.8582092438451,35.8965555864106,32.4901257488557,29.0559913629868,27.0139757855558,19.7010058974647,33.1140552167479,34.9222925273125,25.750164302651,21.3891749490468,32.38139682146,27.3498046509224,19.9028124839138,26.9598764379583,31.8252222207768,24.5139103905987,24.4006853106654,25.6112870934719,23.4193906837659,23.5184057444924,34.5878276855153,38.0519109197235
b0621,1.56726799121406,2.35317188525334,1.86749559674478,3.5179674961675,21.6277213284482,13.7086911277547,2.68629058102328,6.84295248162163,5.43099627789668,4.44974358114037,3.1951356540331,3.67682319985207,1.87840510949791,2.1155858954607,31.0847151349717,20.8752734385807,2.2677457483982,3.36960242055737,3.12583368010378,2.63320175664141,2.34873276666691,2.22707628172712,2.66739876219561,3.6618846364827,8.64563914618745,8.34101244098858,2.9971898003994,4.29527624535318,4.79688468557365,4.6776141397353
b0622,4.35146938041039,3.53503726348826,5.69337913401563,8.24813144363899,11.6242374428258,5.16529151454614,11.4744611698992,10.7470439411298,26.4009203835747,14.6424539668842,8.44875410296883,5.44457698739661,5.29811466573179,7.14480788182278,35.7197084346731,39.470646375769,6.06312627363106,4.03204016591228,5.54477425650526,16.7108579197533,6.03813083364288,7.59021261480341,7.46080609890987,7.53118919157994,7.40269901328905,3.22907940985309,4.67177627250867,4.89259360988628,4.84305334277061,9.83396392986
b0623,3601.32326316088,4375.56237954472,5890.99117131987,8523.95521362153,7217.12801242283,7309.51418247981,7781.16384543729,8500.21081053704,5264.19145210343,6503.29672903129,6919.76985926331,8693.40559427144,5292.71925156686,5310.90266253453,3758.01804521947,3742.64036099187,2632.31632901539,2402.26230024752,2710.99129280083,2071.54579434376,3843.09914754552,3328.06820770815,9718.53296664656,12272.3262068419,4254.26322530757,3877.82977512626,4490.99771973305,3937.67218378735,5505.22293520013,5646.26370457577
b0624,23.6436115512226,27.6441225706921,36.4094588429368,36.1203886077281,18.6998334436723,20.3579567381099,20.0996795142339,25.7729666016779,87.1562691935519,74.8096284489902,54.6762401887886,51.0921528798739,26.5851825191184,35.7011988644368,62.8068025640599,69.7467635069295,41.8700965825195,37.8893956240257,29.2085307700671,18.63393283909,33.1410260446427,38.5880562867417,39.0788929996682,21.9871601333399,25.4259241892647,35.9413312755142,35.802794524771,28.5676634675957,47.9161774016918,54.9236047560877
b0627,11.2666499892794,8.99894851813424,26.7568981740776,19.0416426036462,8.45462207638482,9.91232039913391,6.99040344442643,5.61192910096627,21.1563998390852,50.1771898133471,6.17652007267445,7.81843784810356,31.7725352057757,24.8607142544625,41.1727060526936,36.4487858496446,5.75371345066152,2.76342265029598,3.30452081882922,4.45396443470931,11.9183866367086,11.4804359684293,9.62518915945446,22.711127601145,33.4257881414968,21.0244572795191,22.4131315317672,11.17738865348,16.2275098997333,12.8936511165206
b0628,201.897079329148,222.765316152907,234.29963963274,241.952671126151,491.791868111149,504.6292171877,301.425907365304,285.380668132707,769.307404914473,677.812367792996,1270.93317795825,1315.58428829721,305.990777081477,310.632330265757,298.418401775197,297.73065393244,324.186019495161,289.402080450335,320.569275049361,333.445267681089,484.835805231198,502.276493755784,572.105268013774,763.124419421099,239.916075765198,239.510370156738,264.27341379654,268.234210023431,319.935342542312,347.141889160924
b0629,5.26378442677449,4.60638887094185,3.82908490449279,5.87574246571935,3.35052280433454,1.36785573196724,3.45128295711734,4.21629228266314,4.06338128626133,3.66214673297413,3.48035587864705,3.81432593731849,2.53324775836626,2.9108689702988,4.53849412976487,3.66753980653328,4.11696773956584,4.15236806615155,3.12112856396226,3.0048436201255,3.69546252319119,4.77474938346651,3.87401265252912,3.10237678321209,6.40640105554118,6.17582569853054,5.49850945581125,5.7584033691227,6.65011233872935,7.0451744320636
b0630,124.875215392109,121.823305935168,113.978051859985,166.188675095392,49.3481290952046,51.2408164600863,41.8989344864999,47.6370303642481,105.790657785849,88.6255590529055,104.120711139573,105.144890161404,118.661701135101,124.414875662443,168.51718094578,179.02879772037,111.69382565186,113.65274025984,85.9689335262445,76.6802275151354,104.705508313507,105.229890340483,125.816041812154,103.015658315246,118.746579067437,122.064725778529,111.268923367549,112.608279466942,165.555933036159,147.986228988992
b0631,102.537769047825,109.241227003882,190.888311292214,255.018791332087,170.049568555212,142.406112472732,96.2565364857058,80.3141174166588,373.840098050329,533.336190744357,172.010257118254,169.350314143828,122.191518144476,110.728967434113,265.99541712472,272.269851373318,80.6122997710083,83.3719399589296,104.809424461357,111.733280306845,107.05309757857,96.5818752344042,263.39874956875,251.555928789697,125.594470806595,121.553515671658,133.753836149144,114.135900740819,162.052423046736,174.097464132504
b0632,360.769376905635,362.194980372214,300.963022010247,339.507935210517,221.032419563702,271.503136971802,86.7144275583548,92.946129957471,137.185671625465,113.463325588648,451.202938408717,430.27483296417,411.621032886697,387.431273892617,322.714167135682,339.56641433812,387.768242443616,395.453640950795,259.242791129932,270.230430809919,372.298105238047,376.403081998709,330.826202215441,304.093028509447,401.88890723889,396.647682883729,339.285344651477,338.887734962106,362.257905739643,364.695225933482
b0633,224.360164384462,216.635237720956,277.053906654166,233.00354012793,184.328064302607,190.951823573617,114.248203817188,116.100001125495,352.032890707289,333.880862382775,194.574548619687,187.68163314772,198.04741472958,182.774975940857,281.277063516939,287.911968959119,237.946256714182,234.78634620697,202.979433378966,215.999762772387,223.032377451617,208.629275887288,227.411650983556,199.977255754035,234.621214436834,226.010377795236,181.659948773749,204.330868173618,228.06486181852,232.35456186377
b0634,69.638700733715,67.7686317765309,81.2434542852941,75.118553617335,70.4911850996468,87.4255727431947,28.6863818188469,28.2705966099507,87.2903901515312,68.6986085308052,88.371642108025,91.2959255496277,77.6793259423075,74.4462142620779,80.2716933959547,84.2612332211965,77.8811542379089,76.5336600702483,54.6076514845845,61.7060845991049,70.0618304808508,68.3969645134375,71.5139026249189,65.1596595917459,84.577145712607,79.8226111207669,71.294912496215,76.9273238835111,118.905509539502,120.361086275403
b0635,118.371044630959,124.457142193987,130.427575768412,135.254573505766,85.6124894440018,100.14449816954,25.3774052526642,27.7334134203361,74.489462110096,82.3770764134834,151.120669946804,154.435903770272,138.276477443108,137.557551642054,118.914395518822,133.376004906817,138.563475790264,143.485965357722,75.6097979471687,78.2076834397328,119.331741485921,125.914154935534,111.593143233678,90.299868640104,129.37092351214,121.348396981576,109.339940889715,121.852919077823,213.268535256085,185.363558353112
b0636,82.2707089396518,82.6022886366053,115.330091484157,98.3166901223707,50.8844279306119,62.2048678108914,20.4718958015345,20.2370471044972,104.155679602813,84.2206478061126,89.4294917238911,83.2612861746093,83.3266914778339,82.9814885562793,86.5782310760555,77.1695209469921,111.4960890066,122.903075067934,58.9317955835557,72.5889025522758,81.9053779588542,73.0760959530952,68.8924453297307,57.3060871385743,73.5738963013986,72.0673378524195,77.4412494695946,56.6734119786258,100.592317618428,90.1730824353678
b0637,126.492713368481,120.998642240455,204.427921089653,180.492685964812,100.723560087724,98.7347901825956,37.2858039520112,44.1785484476537,245.440068418623,354.700824542626,146.861770380049,175.853578558442,160.427825546404,130.231223288908,165.904761489969,204.95300820627,129.413460841682,111.879634885807,75.5999778552215,74.0100091132507,119.993370161637,111.126751375441,137.626627127153,123.393459024175,135.787586510772,120.176921704164,125.515544023622,120.673750854499,172.541577189812,167.224298179781
b0638,18.8390150717966,22.6865197301188,29.3297701119693,31.8396144677607,18.0518753456755,17.2847675102586,9.81849488686974,9.14913808365117,27.9281915966287,27.1840860310156,32.2743325575617,27.8103561896432,20.0364670861871,23.93407534261,29.0265671611733,40.7577547722244,19.0278234379771,23.7967656039966,17.902632364326,18.5123411076766,19.9287867905812,28.7947313237522,28.5674201092699,18.9876882472868,22.3565630310175,27.3839629887786,24.6278059129066,26.9132555506306,30.0941734088929,25.4794455179648
b0639,90.8567556998422,102.622893586691,98.8125730262237,93.3388449165897,67.8018412358483,98.4184844784036,57.2767349097366,58.3721357984448,116.085721798566,117.100919181817,131.443167254213,142.98798640484,85.6679598438778,87.4266693844194,130.911241618932,134.362383684659,90.2926364302447,96.252417623159,86.6010580374669,88.8516922000775,79.7957301260192,77.0923327059622,96.2799588257638,94.1293235723971,82.2091701236103,93.8416677950541,71.4571067498021,76.9727479900616,98.2988352402196,85.9515976451217
b0640,116.791809353022,137.785300436084,131.125925237571,115.018295579321,90.9899661620013,92.7352337161401,75.3278566714741,84.3622885059341,189.595922336409,201.743390563189,149.539948710153,153.324086762488,106.829712136361,123.93892704317,152.373806837956,145.570205344569,122.175899845363,140.117298998913,111.614749167251,115.916410865433,108.011580733127,107.934713524578,117.234198311337,103.047519255129,114.425888979059,99.4770584023304,96.5832082049323,108.246462816471,101.587953596544,101.187304260822
b0641,276.385895660729,259.715662239622,399.600531168942,354.030025380612,321.758664547045,331.368069407704,191.726502703908,195.358663986467,513.305790263911,606.593166527425,364.598761536957,347.897929882244,297.179475946989,302.517896674059,405.762352983722,398.912580123308,482.414933933585,480.020260369594,335.576072998225,342.762085362608,293.359945517612,298.727639178512,319.835295011203,313.628170958584,311.047803702161,329.564109391468,290.850794095361,291.628231231706,412.912063845077,370.534138861556
b0642,605.860717638534,596.018266099033,546.075259803677,488.791836073206,506.719841018574,514.466033276532,358.979129513673,371.479464180279,937.800428584901,918.842602672963,534.111226872719,523.790500283632,526.528593568469,550.632808980726,558.20307062267,603.359028386293,753.323043771435,770.444427246339,555.364111855497,567.231626621508,516.998969343171,549.834410287032,512.190249181245,485.004503572087,529.889199380713,553.938950503542,510.493105024141,546.238637446385,386.102723319734,366.108655058296
b0643,42.3868680624869,37.8221858808105,71.7755636281215,78.6352957728053,153.982424800273,134.048919683388,768.330552138171,795.685164550483,597.548663789125,559.37199453904,53.6298049698644,43.651965633899,34.989176166691,37.0140110800851,123.485930427193,127.846093187109,47.9277990259994,38.6251120439097,131.286427324932,140.947991991546,50.7612185669273,48.6258135026448,87.1412722067862,83.9509750545704,93.5413972303916,96.5488071894401,42.0411602374204,32.1927268242793,55.6106157251379,68.0161892576034
b0644,2.22042972810408,2.3192072868296,3.11267967636245,5.23329107563181,3.67693354229512,1.48258111908832,3.95218417414712,6.61006715480258,3.73060542294497,3.57236989784504,2.42502543711363,1.78599285972094,2.09096941161606,2.99726009908477,3.02915997102472,5.72420921796002,2.27575659693059,2.89326681976852,5.67405464397541,4.26353519505225,2.77297612135428,4.05670410401278,5.29065875018532,3.89098620337194,4.4995315278755,5.32930036411658,4.69325021860293,3.74482479912303,4.6336329224329,7.60879866705249
b0645,0,0.200150205730446,0.214902214609227,0,2.0684791995495,0,0,3.24526224456441,1.93173274456794,1.45082142619692,0,1.23306559214866,0.262477119370704,0.435649563804319,0,0,0,0.998768764652107,0.76437435019463,0.551921847138067,0,0.622396696102259,0.347877957984514,0.596971555101259,0.690337151824184,0.959842715975372,0,0.646365211273175,0.426546932868999,0.677830101009545
b0646,0.950752582143938,1.29096182380512,1.27948778299182,2.56092770321081,2.70564290488818,0.710995689930879,1.30366866195916,2.71711227902802,2.55581715119883,0.719826725803789,1.66137152059779,1.3255383208344,1.69296823599705,1.08074017052926,0.638541769205621,2.77781706363741,1.74253276497369,1.98216110325639,1.89622608218332,2.28197218113418,1.04486283592947,1.64694847692653,1.20820035372788,1.33284656861481,1.02753472493355,2.06365064454047,2.14354651924995,3.52764330491217,2.11631753256907,2.69044949819884
b0647,0.48871418700852,0,0.274038975104212,0.438796845070533,2.1581042793207,0.522103207045851,0,1.29321657564983,1.2316533416355,1.1100349545039,0.284664256946552,0.524126801458871,0.334705535312642,1.1110630961772,0,1.25989227166881,0.235713680532696,1.01888784768107,0.487357386949633,1.17299936936717,0.244131620755921,1.05822363917626,1.77442785763324,1.14186915260825,0.880304029934076,0.40799069881687,0.393515927030856,0.824231897109139,1.63177216944669,0.43217764533792
b0648,0.958127954783982,0.800600822921783,2.14902214609227,3.44105847474212,3.57282770831278,0.81886991006345,1.21272161306693,4.46223558627607,5.79519823370383,3.19180713763322,1.78587674879868,1.64408745619821,0.787431358112112,1.74259825521727,2.5739807847527,0.98801142884042,1.10908439810589,0.599261258791264,1.91093587548657,2.57563528664431,2.29738529433498,2.28212121904162,3.13090162186063,2.98485777550629,1.38067430364837,4.15931843589328,0.925789233127599,1.93909563381953,2.985828530083,1.35566020201909
b0649,9.53749448507475,8.49681014457749,10.6960071273985,11.2498692860065,8.71691275015058,5.59401426516848,8.97494674850481,8.61052611112641,12.0967063230326,13.4508020869227,13.9428670601323,11.933353644778,5.25116819200757,6.80248954135745,16.0138629036257,15.9094999315756,7.66677807431192,9.45469019290012,13.4273165274382,12.2986521628956,7.47348554110348,9.2122992511635,10.5244454763133,9.75841011079667,7.24236364338056,13.1141070870909,9.93837608969324,8.51573932512209,15.610208640956,15.2145567201138
b0650,2.35646756917625,4.07387069462831,5.19428420992984,5.39888079951615,7.41568687367853,4.16683325049033,6.77090812096208,8.34279382272086,9.01051655196495,7.62861342736413,4.35440971032596,4.70585618630417,2.89384163784662,4.52598728951131,6.00313281707126,6.14473774603384,3.44886332568892,3.81168868854372,6.80668044261234,6.55308164436896,4.9521340009317,5.45440868565852,6.34315508676668,9.11309926579218,5.41555457649636,5.15551883050408,4.44917768217183,4.65947361930358,6.51147363310307,7.04201421625974
b0651,64.6688309699172,70.574628678874,54.6369959157615,36.7128254708106,179.850724278207,200.290380133895,180.314360779151,183.40212533474,8.77010789262757,8.12367096551201,106.078601141423,108.386290086958,64.5478017406558,59.0061065015687,22.641484925859,22.6771644885646,59.4441224224932,61.3659731014232,131.581293223605,131.272775529171,60.8427065943678,74.0959834782031,119.242688272777,152.452327632116,44.9227507954405,48.4189602011056,48.3356831097495,45.4849337627741,47.1222830405567,44.3653184095665
b0652,90.8242040967637,85.8856371109627,88.8625091430089,68.7951367278395,109.299092719574,108.80860646426,182.923569637921,172.092083073819,78.182033576059,77.5365268725091,92.5256725123386,84.9791944175517,67.57829064007,76.4753745979465,45.18451550896,49.7833635820348,82.0231731790392,89.4168687343879,101.008337876235,91.6830505714234,83.8321792737154,85.1804527385911,89.9051583712799,105.958755883296,81.1260101754103,74.5741898508678,70.1226978197982,69.970145477287,89.020990284019,73.0457501355465
b0653,51.8528644215963,45.9726665591303,45.0786006384444,47.278412733073,67.4503361146267,56.8984367796861,99.2099565766674,95.515904973824,19.5849886395767,18.8684048085101,62.0450171871374,59.2743993661697,40.7429720263413,46.6054809988176,28.3461537752832,25.5606546477029,56.02872343597,60.1279480880783,62.3312795279459,55.9569284960838,48.391509844394,57.0094504312443,49.6209825749982,58.2285701608161,49.9585559236552,43.9591871879076,40.7812896214107,38.6413569277853,29.5263863560236,28.7922373305304
b0654,44.4940676403957,45.1346806248532,39.4261572376346,35.5106104485113,52.466688522952,60.2487398923099,116.844310942721,117.060151833161,31.0713050552035,29.1122374860457,47.9939333477272,55.3766101444336,42.8874170827288,39.3379226410664,25.824797779099,25.8045860062553,60.0529840537748,64.3231313327822,70.116409395751,75.9420659102534,58.5389460443307,59.0751207304032,51.8553822977348,53.3344202762737,51.1216989890288,49.52633183805,39.5128175572869,41.9980587141541,31.3833917872201,30.1173068532792
b0655,313.827546663243,308.607643200716,269.570031817898,305.634057450007,384.878267109543,410.552127551883,1603.89429798946,1493.20868205786,218.734414993341,165.711547852804,330.808645815452,321.997012494499,234.154107572235,233.184062073076,217.339795374978,206.557722693599,352.12515559314,331.341208408909,552.810019574537,569.338317206656,292.953652483004,310.996810073344,464.560812494164,553.019360353754,331.050422545033,322.814794463871,214.467045101986,213.524971815491,213.3569008895,210.188410508874
b0656,239.027324443191,234.466332064218,195.920100429024,148.827131118441,460.998586241445,427.734847422632,292.941165167931,262.890350155223,113.012058286334,110.340527619016,250.003447538851,226.719337206304,222.657432375249,228.774221724848,114.95586555598,111.933218823626,214.351259937464,214.803177129588,329.796371465041,333.012907801143,221.20627064022,219.917167639344,281.292134810407,339.683265429341,217.078823035826,203.445483751483,188.705189653044,200.775765144927,142.595729070705,146.5820910331
b0657,96.338894828116,95.1879287184164,123.178739835479,108.678011337287,101.550484395498,130.630222402872,67.9294724323646,62.0045283460656,81.9683960272691,75.4775715601419,148.818037205575,150.059545310148,107.66998920243,118.435718704775,104.134863685222,107.3493664411,135.141693847644,138.958438805589,106.980642820487,109.008507108676,113.525642408244,114.044899025667,103.462970810597,109.111282161699,106.947793621095,116.662026107407,104.282742782468,94.0352255808359,110.95344357359,112.187704033031
b0658,406.198128674316,413.786441345643,469.909578191653,464.376706607031,627.829593210702,579.094331889499,388.710121531637,383.699709298168,515.93398638683,610.399812125979,744.424204412487,735.324887304,440.075401995453,439.445655685286,467.125594070195,487.696662652258,451.997053808754,450.626307178946,442.328887286762,438.151520802783,421.248001925156,454.484205015814,436.674597391784,438.64384466013,453.296554686736,429.45471858099,405.765004614071,412.966406012041,465.660801900663,502.699214837856
b0659,131.806945660358,146.142510664763,191.02561631742,168.022703225004,191.882619291414,137.717244655954,226.107505867695,209.729397264789,410.295504229773,506.201185251323,158.610796642373,150.988750301717,148.797663353275,134.350981472071,221.795917812816,213.087451389114,141.675481519665,135.585947679367,147.040607607989,151.574528317971,133.421834766897,123.257106049641,148.302821244153,146.198206558252,170.628823337286,179.926507926846,159.081120898384,142.6606577393,120.581816632347,158.315241321186
b0660,277.331699676833,297.976403980801,315.844383436809,325.684956612447,245.918030733529,237.357537827355,380.675098896865,353.44179914261,670.779055611282,660.02266481639,266.725491334135,247.646392683933,235.388573820909,249.293982495237,394.501461402852,406.720309351203,269.15697278793,249.271596408776,302.956692728172,304.437689685861,238.126264034984,243.931720096953,292.80273428506,252.651882779794,279.248996796996,307.173926173719,260.790029215942,259.922557065715,199.099172674882,230.374740918499
b0661,290.494317405706,283.812991725772,265.411167371899,269.634199350719,218.49620333719,229.015116414572,105.316849649409,105.181856655251,320.309330331141,268.194616436431,272.261199714712,265.461036180127,310.986977280094,288.081675442187,402.007829756945,397.572288499345,331.685844468184,329.135071166125,261.184598155275,263.436245467078,292.605957100461,287.378216806146,247.510288032237,227.35741216421,300.842976243964,307.176368804312,319.139761074785,304.336934956991,337.626554308107,345.102032689022
b0662,57.2538842975623,51.2406633319682,95.1476359949766,73.3778676585918,59.9216712027679,59.3157150720111,115.300082640928,123.401648295993,204.993717262092,229.148184337911,37.1142210824044,38.8717729421817,48.8562020296119,56.1591892249567,92.4492654564433,95.8203199581181,64.470595490066,66.661408325003,90.9374930517235,101.623801949124,51.3194949935683,56.4877440969977,75.0204579877191,76.5954573803966,73.8124084232744,75.3573032795176,54.4663488876318,51.784452274789,95.8396960286635,83.703666976408
