"genes_rank_std"	"std_rank_std"	"skew_rank_std"	"kurt_rank_std"	"genes_rank_skew"	"std_rank_skew"	"skew_rank_skew"	"kurt_rank_skew"	"genes_rank_kurt"	"std_rank_kurt"	"skew_rank_kurt"	"kurt_rank_kurt"
"pcnB"	0.6199937643029158	-0.5109135474495333	1.2823276380802957	"ybjS"	0.5423925174933956	-0.6612236874732879	1.5295526864185724	"yfeN"	0.7715050638776773	0.6914011046183307	0.22188862078327753
"yfjY"	0.6202660005401822	0.976659609715085	2.806159283490688	"fabF"	1.1227798445845558	-0.6602312187616947	0.2526361798897043	"sufS"	1.0106665573858093	0.6634257450247106	0.22234467988191753
"gloA"	0.6203621874684517	-0.4220845738610972	1.2231999237234232	"rfe"	0.7213723111236886	-0.660222354804917	0.6164873489199194	"setC"	1.2717577443729613	1.0049514485801438	0.22329787226274034
"smf_1"	0.6206172450353624	0.21815770315098362	-0.6819737421581151	"ilvI"	1.6994920587582147	-0.6600426450822268	0.3594491667865407	"fimC"	1.6948073838441533	-0.6933187737823544	0.22481334407180054
"rlmI"	0.6208986143261751	-0.07685528895553197	0.09062668477749503	"ycjX"	0.6279637899946807	-0.6594841460909608	8.904221168347027	"ymdE"	0.9363112848679598	0.7832913343624787	0.22490126557961432
"eutG"	0.620947257140573	-0.28721219474023163	2.5566288833805855	"yehX"	1.1291016945006214	-0.6590153845809357	-0.34100829196870075	"nadB"	0.8910598402408282	0.49148574617872265	0.22633152292574144
"yjcC"	0.6212045554711891	0.46433938965061616	2.3275086972263956	"rplT"	1.129722440712467	-0.658837321081282	0.8033808800867832	"ycjS"	0.8506994162390162	0.8116637672423442	0.22762642139656464
"agaV"	0.6212276521944116	-0.49143799789092873	2.0387174254101517	"lnt"	0.4578791116500254	-0.6583777518908962	1.530028071382672	"proP"	0.8261588160490947	0.3915574858886552	0.2302359863063259
"ydcK"	0.621258468637211	0.4969426331797483	0.26304033605277954	"yacC"	0.7835413251266192	-0.6581554697797264	0.7951085601386163	"lpxP"	1.0802134493597186	0.8138928581944087	0.23096011878108058
"ygaV"	0.621419232048924	-0.4315297134578079	3.736694790687447	"fimA"	2.171723521681557	-0.6580888197182095	-0.12188168844642178	"b3004"	1.16439245948486	0.76672106352089	0.2339694176369651
"apaH"	0.621571292205136	0.18386684341490347	0.43270902558406865	"fur"	0.621690596982849	-0.6556384914874018	3.868825820782412	"yccF"	0.5892918121274923	0.09702109613827195	0.23438233528711372
"yfiM"	0.6216202653692673	1.5479589885647784	8.351793198248723	"fruL"	1.5423043922802733	-0.6553562055988476	0.12246659241404023	"rlmG"	0.6185036451775686	0.2174121982783649	0.2366340712791133
"fur"	0.621690596982849	-0.6556384914874018	3.868825820782412	"ycfP"	0.6954121434920487	-0.6545571690669787	1.400154041447066	"atpB"	1.1615352788546731	-1.0692361413164213	0.23780339550361873
"hemB"	0.6226650915144941	0.6800834905793633	5.154318480084514	"yqaB"	0.7538630869417382	-0.6537371577794231	2.0598035004906743	"purE"	0.8259835735080139	0.5338693825446755	0.24006966876540003
"mltF"	0.6228182514735121	0.4724355817253408	-0.7920316456197947	"yafP"	0.8817462098569715	-0.6534386208478692	1.35071437855669	"blc"	0.9412626599908341	0.8425579612096886	0.24164291858166775
"yidB"	0.6228363794988834	-0.5179646538051863	3.363512916796502	"mprA"	0.8023216508693397	-0.6531321565726389	0.7642974996247771	"waaJ"	1.318997672160081	-0.8177910352489463	0.24456049105765576
"hofQ"	0.6229691428440665	0.8673745433533278	1.1095831777430991	"hcaT"	0.6073396758467602	-0.6521849804876708	0.5255906112269857	"allB"	0.8724949911078639	0.489322457031988	0.24581605214598756
"mdtA"	0.623050459168694	-0.11442067715260967	5.302087168104858	"glf"	1.4257843026330002	-0.6519398678563287	-0.3967816993260844	"deoD"	0.7833792401983448	-0.4443725481652829	0.24631289290684988
"mlaE"	0.6233109680736382	-0.3719486157153946	0.26670284345501205	"menC"	0.685529835606877	-0.6512915543894447	1.8155983962844395	"yidC"	0.8914563784916126	-0.7150796967481815	0.24782904792837268
"puuC"	0.6234597844369008	0.4520190862539591	3.6722949484117953	"ygiN"	0.5921677957080944	-0.6512478995109098	8.08849400732538	"dosP"	0.8517731344220839	0.8277191427957787	0.2480006550139522
"ccmD"	0.6235597834827522	0.5287462280532381	0.5658293796717682	"ycjN"	1.1414805448635403	-0.6507418596181752	-0.41657890999764957	"fryC"	0.8082095847649964	-0.5103744154452527	0.24846999264128833
"rfaE"	0.6235639320430874	-1.1774006324048736	1.4550498346430585	"rbfA"	0.9211630020248304	-0.6504489012264607	1.2876945717615982	"priC"	0.8272137030320664	-0.649749481825473	0.25014121474985007
"bisC"	0.6240564698998535	0.8132876735169187	0.512571180284219	"pqiB"	0.6818364965430374	-0.650148929873534	0.1971996480974667	"queD"	0.5226630350249097	-0.012848974612786062	0.2525045674335895
"ypfH"	0.6241148114303611	-0.3436109993402316	0.5856915817658339	"priC"	0.8272137030320664	-0.649749481825473	0.25014121474985007	"fabF"	1.1227798445845558	-0.6602312187616947	0.2526361798897043
"narV"	0.6241411282061624	0.2160136782377702	3.391883975524342	"ybaP"	0.5137289324298375	-0.649054295662216	1.6206512342388875	"mqo"	0.7015835989956458	0.6056386389343165	0.2529729874200872
"dacC"	0.6242572207854789	0.19017140774622782	0.4459444974453288	"ftsL"	0.6841630419452963	-0.6485687579238071	0.7907471812486757	"csiE"	1.2411168688938456	0.8392628129927815	0.2541045421450705
"endA"	0.6243488424176606	0.12466955737620494	-0.19827269414375825	"yafK"	0.8336602328665201	-0.6475309310977506	0.16978598986518367	"yigB"	0.9549437345919993	-0.9448558127414384	0.25733813558655205
"sfmH"	0.6244269439434061	-0.2412097948789544	1.134350810102588	"trkH"	0.42221103352621975	-0.6467448605875451	3.7529757558311463	"pncB"	0.7237576182964043	0.025609125524074385	0.2593601538716994
"dxr"	0.6244421954520537	-1.0729926887078256	2.1166672278605336	"ydiR"	0.5334227239995565	-0.6463526124561325	1.946031049736873	"frvR"	0.8885700784425766	-0.06750266958078224	0.26010444720295656
"lsrD"	0.6249514600957761	0.9852324048585861	3.694874956250911	"sdsR"	0.8322257079666284	-0.6453518207228834	1.9361352356500632	"galE"	1.3475839751143153	0.7497810357409406	0.26029273330688874
"ydhO"	0.6252182586302655	-0.21425480167739563	0.09496052633586638	"apbE"	0.6463357129557693	-0.6437173482010397	0.5752248576104755	"cspB"	1.7975891015833005	0.7021944276783953	0.2621384449338433
"ygjQ"	0.6256625791888833	0.6393143258418871	0.1765882228391833	"yaaA"	0.49095252290626357	-0.6436828562376418	4.3018718709785	"yadN"	1.489261714276518	1.182985028979714	0.2627629307233845
"setB"	0.6263560513862233	-0.8961742191276377	0.6966523613322728	"secA"	0.6837840767919179	-0.6436557129797866	0.9408102681592898	"ydcK"	0.621258468637211	0.4969426331797483	0.26304033605277954
