"gene"	"std"	"prob_plot_r"
"yhaH"	0.6179143810906395	0.9960993473162374
"yciK"	0.5308541828734115	0.998142539783613
"phoA"	0.6154191997009425	0.9956372386784992
"kefF"	0.5912612050149658	0.9971897883575824
"waaC"	0.5165335415066861	0.9995092690084003
"nhaB"	0.6019869555745855	0.9958917955187748
"ybjK"	0.3730553878772844	0.9982586245733506
"argE"	0.6274462751949014	0.9984104430724541
"rraB"	0.6560727775855784	0.9992220783908621
"yaaH"	0.4871019320339331	0.9975793671730978
"degQ"	0.35309025418516704	0.9973938597292576
"ychF"	0.6962025934826231	0.9996584723743877
"lafU"	0.38890870859490306	0.9950849160096901
"basR"	0.4288301165038977	0.9957737296897651
"pepA"	0.5719156080713214	0.9960171811638245
"yhhQ"	0.6436407020627042	0.9985334823204254
"ybaK"	0.39270012647881564	0.9950140699547856
"apaG"	0.543663477139975	0.9964244315427088
"uxaC"	0.5681762755127793	0.9957656337505695
"ptrA"	0.47116713682519545	0.9953146909445764
"cpxR"	0.5359618099544531	0.9981451291302166
"yjhH"	0.5805938903538396	0.9954002698979804
"ycaQ"	0.5240386163512639	0.9968852704568625
"rutR"	0.44150790026811587	0.9972211663317263
"yheS"	0.6870128614532351	0.997315772016925
"ypeA"	0.4598404925393031	0.9953027850349526
"rlmA"	0.4614102458905999	0.9983778389629919
"dcuR"	0.5129184710396815	0.9990224699378053
"gyrB"	0.6854264252970087	0.9994082899408683
"ytfP"	0.5903960378772567	0.9971228128386916
"yrfG"	0.5497759333018499	0.9994956567070054
"yccF"	0.5892918121274923	0.9996540475006984
"ubiG"	0.48177110744164225	0.9985152813167627
"fryB"	0.5708491117908411	0.9978333542105685
"xerD"	0.5945342906052687	0.9994086408750923
"sad"	0.6004657140087456	0.9977873783167615
"gsiC"	0.605879573002336	0.9991545985228572
"yebQ"	0.4890976229200316	0.9967823216018697
"pncA"	0.565862184456777	0.9977852686211426
"gmk"	0.6435739242018843	0.9976404098594072
"slt"	0.6433809685511598	0.9957928468844567
"yeaN"	0.3558439808079917	0.9963743706594352
"yfeZ"	0.43440315199423263	0.9958632757782353
"mdtK"	0.5480729711389856	0.99537343686541
"trmH"	0.6190426221147772	0.9995622455426452
"scpB"	0.5851101942296673	0.9967716106652043
"dnaJ"	0.6856795970522225	0.9997450371949704
"dnaB"	0.6079230396072995	0.9974890685190633
