"rank_range"	"range"	"rank_ci_95"	"ci_95"	"rank_iqr"	"iqr"	"rank_best_95"	"best_95"
"rbbA"	4.14378	"uvrD"	0.8891145918692303	"gfcE"	0.4728399999999997	"ybjH"	1.8056427499999987
"yfiF"	4.14621	"gntR"	0.8891600835083557	"mhpB"	0.47298499999999954	"ubiF"	1.8083120000000026
"modC"	4.14708	"rlmF"	0.8892539192941964	"asmA"	0.4731899999999989	"kdsC"	1.809834500000001
"wzyE"	4.147819999999999	"frlC"	0.8903527112158448	"exoX"	0.4740700000000011	"nadC"	1.8110769999999992
"yiiM"	4.15144	"visC"	0.8906203601639117	"yeaL"	0.4745449999999991	"mobA"	1.8120452499999988
"yjeM"	4.1534699999999996	"yihW"	0.8931458335363787	"amiA"	0.47488500000000045	"chbC"	1.8138087499999997
"yfaS_2"	4.15617	"mdlA"	0.8935774863890875	"ulaE"	0.47508250000000096	"rlmA"	1.8152552499999999
"yohD"	4.1562600000000005	"yibF"	0.893593234689349	"leuS"	0.47520000000000095	"nanR"	1.8181950000000011
"aroH"	4.157219999999999	"mukB"	0.8947124631243921	"abgB"	0.4753375000000002	"yfiH"	1.8182022499999988
"mdlB"	4.157439999999999	"lnt"	0.8974430588340498	"paaG"	0.4753400000000001	"ycjO"	1.8197529999999995
"gsiA"	4.1592899999999995	"ydcM"	0.8977837676690412	"yaeB"	0.47546	"trxA"	1.8224
"ispH"	4.1595200000000006	"yiiD"	0.8987037412107592	"sapA"	0.47550000000000026	"yejO"	1.8237464999999995
"yjeT"	4.16035	"yejF"	0.8997059098635374	"rcsC"	0.4763850000000005	"pldB"	1.8237524999999994
"torR"	4.1628300000000005	"ypeA"	0.901287365377034	"yfcH"	0.4766674999999996	"yoaE"	1.8251707499999998
"ccmC"	4.163970000000001	"amiD"	0.9041118176205966	"yihS"	0.4774800000000008	"galR"	1.8282974999999997
"mlaA"	4.16459	"rlmA"	0.9043640819455758	"yohD"	0.47753000000000156	"kbaZ"	1.829127249999999
"yjtD"	4.1684	"ycfD"	0.9043862063286351	"lepB"	0.47770000000000046	"yihA"	1.8303742500000002
"lepB"	4.16873	"mlaB"	0.9051805355333592	"yeiI"	0.47843000000000124	"hemF"	1.8304535000000008
"mtn"	4.17305	"ycaR"	0.9082218644621707	"dapE"	0.4788724999999996	"yqcC"	1.83500875
"lptF"	4.1771199999999995	"etk"	0.9086640683637682	"ecpC"	0.4790125000000005	"yihW"	1.8353567500000008
"aroD"	4.17741	"yohD"	0.9099204994478837	"yjjJ"	0.47922250000000055	"lpoA"	1.835396750000001
