"genes_rank_std"	"std_rank_std"	"r_rank_std"	"genes_rank_r, ""std_rank_r"	"r_rank_r"
"gudD"	0.4134786139314834	0.9745013652210246	"yceI"	0.9714556877882397	0.999430566280482
"exoX"	0.4141186043965592	0.9977871207973272	"cydA"	1.0522993100232225	0.9994279012965789
"yhiN"	0.41499239463396126	0.9959557760986472	"yfiB"	0.5535923784676852	0.9994243904770221
"radA"	0.4156202997478022	0.9958918424502844	"prmA"	0.47800714545018247	0.9994192149836765
"creB"	0.4166526919580624	0.9973552860225753	"dsbB"	0.6292966969539121	0.9994135940249061
"lpxL"	0.4169043283340513	0.9968028432446129	"parC"	0.3913918675601715	0.9994103145196875
"aas"	0.41716954041415766	0.9944505487911299	"xerD"	0.5945342906052687	0.9994086408750923
"tilS"	0.41718875767026387	0.9944651255342783	"gyrB"	0.6854264252970087	0.9994082899408683
"cof"	0.41757014188032815	0.9812921707758243	"yjcO"	0.5283600814972044	0.9994060182391772
"glpR"	0.4177160008741446	0.9987360138780762	"hda"	0.704050520704594	0.9993946607692832
"murJ"	0.4178875483876024	0.9976083400151254	"yliE"	0.536307679955423	0.9993936320699259
"uxaA"	0.4179855573189695	0.9965380071495272	"ubiA"	0.612906107672631	0.999391656492294
"ebgR"	0.41819559330770484	0.997232584104776	"dcrB"	0.7043291842305891	0.9993742183801964
"ppdC"	0.4186006905793982	0.9936356758069026	"yhhY"	0.6489360414410675	0.9993731329825551
"ybjH"	0.4188176379979137	0.9932394379777264	"ybiH"	0.7378519613829265	0.9993615462933221
"ytfB"	0.41937426659459254	0.9976099496184114	"bcsE"	0.646925277550203	0.9993538195914787
"yfiF"	0.41939788065049194	0.9978473317674466	"dmlR"	0.6682157566102284	0.9993489931635267
"aat"	0.419880088569336	0.9909597174039937	"plsB"	0.4988979708135465	0.9993419162216144
"ybjJ"	0.4205197941777824	0.9909772127981883	"ddlA"	0.4671695622117091	0.999338262651722
"csdE"	0.42118061034494036	0.9943822283343409	"ydgK"	0.8149498600809575	0.9993346631346416
"sapA"	0.4212047915787267	0.9965488513367895	"mdoH"	0.6598568004559925	0.9993331203833814
"yggF"	0.42121516507333784	0.9922920882261412	"yeaM"	0.5168394349229009	0.9993314370529094
"cca"	0.4213584932045167	0.9955405665541193	"gsk"	0.7929514164189319	0.9993169736100804
"trkH"	0.42221103352621975	0.9965423529787459	"yaiE"	0.6641563285919553	0.9993081975982705
"plsC"	0.4223601440682615	0.9950120683046969	"paaX"	0.6493463212918652	0.9993077135871977
"ybbO"	0.42287488567830467	0.9905242047008632	"epmA"	0.5807694133640482	0.9993072890319188
"ybbA"	0.42312385411241143	0.9903047132815841	"ybgE"	0.8934780159283952	0.9993071890739212
"rffM"	0.4231364939443581	0.9977775303896936	"yaaJ"	0.6005430166349377	0.999295595998288
"yegV"	0.4231385639977964	0.9819778703036466	"ydhF"	0.5865497315230133	0.9992858353235845
"speC"	0.4235230520583744	0.9966001032041972	"rsxE"	0.5267459876729077	0.999281461121134
"yejO"	0.42459671158581275	0.9911978595140729	"pstA"	0.5826447448196789	0.9992797526815312
"ygaP"	0.4250647720390786	0.9882227154075607	"yciH"	0.8144989650263404	0.9992702728300986
"yfeR"	0.42635682543275005	0.9840317345297962	"glyU"	1.3364468757856744	0.9992643001676098
"nanR"	0.4270604155010572	0.9961109247132656	"waaI"	1.3314034589479031	0.9992632822878734
"gsiD"	0.42836372671664885	0.9914404538941575	"queD"	0.5226630350249097	0.9992593231496021
"ascF"	0.42857896572709503	0.9932054231495081	"yedF"	1.0486506679506544	0.9992556660004194
"basR"	0.4288301165038977	0.9957737296897651	"ycfD"	0.4614215338411404	0.9992546163376925
"yfhH"	0.42886929735918966	0.9972453587132387	"fumA"	1.012742550814019	0.999253419543032
"torZ"	0.4299460589945486	0.9921718328124842	"manX"	1.0547989755362448	0.9992457154019597
"mdlB"	0.43132761527621327	0.9947520902093901	"frdA"	1.1394943514253713	0.9992418523409247
"gmhB"	0.4324385889133715	0.9973470484410215	"yhbE"	0.9441248550284932	0.9992417868215193
"yhhW"	0.43251935320174106	0.9937385327394657	"glgB"	0.674450644160578	0.9992350634385184
"ampE"	0.4328128459087343	0.986568533043905	"ucpA"	0.7679710165038623	0.9992301603625918
"ubiF"	0.43282910827556126	0.9945667645120615	"ydhI"	0.6848586557515133	0.9992243237502363
"mrcB"	0.432931414774239	0.9944327957217904	"rraB"	0.6560727775855784	0.9992220783908621
"deoR"	0.4337351183960864	0.9981358454259122	"trmA"	0.6781658083576879	0.9992176705131548
"mngR"	0.43425881351966183	0.9966956009390857	"bax"	0.7370881472273689	0.9992161961593926
"yfeZ"	0.43440315199423263	0.9958632757782353	"pth"	0.5871287581642207	0.9992123249678853
"yaeB"	0.43522242975032716	0.9962252064342944	"htrL"	1.3672134933140612	0.9992068836467963
"rtn"	0.43544894496058717	0.9918007506369981	"caiF"	0.7933553673890166	0.9991930534376772
"yphB"	0.43548876201259806	0.9947497884020702	"yqhD"	0.7170180296038777	0.9991924241945264
"torR"	0.43604516192607407	0.9837255851657193	"fucI"	0.7078890590811968	0.9991903863630628
"mutH"	0.4366870485719179	0.981862792876092	"rhtB"	0.578208251793374	0.999186210779557
"yjfP"	0.43967051666530577	0.9729251319676583	"pgm"	0.5723810040194977	0.9991827622736491
"pldB"	0.44033509957924477	0.9975965240619364	"yecA"	0.6819275625662226	0.99918027116104
"yoaE"	0.44058663059527914	0.9987953754119826	"yejB"	0.44866197875762714	0.9991785270895195
"yecE"	0.4413175136208877	0.9978989598169778	"speA"	0.598137969301582	0.9991752077108137
"rutR"	0.44150790026811587	0.9972211663317263	"pntA"	0.9906132329473665	0.9991751265699531
"pspF"	0.4417346899220512	0.9874310176306328	"tsaC"	0.552981204319732	0.9991743134276031
"folB"	0.4418727210508966	0.9986572692881771	"yegQ"	0.6367792793547079	0.9991648463828274
"ftsI"	0.44247161817419206	0.9966271383718002	"nuoN"	0.7087863997894448	0.9991642622226844
"ydhB"	0.44253192498337174	0.981069508458917	"cas1"	0.5431623587810613	0.9991606979603415
"fadR"	0.44285772362386217	0.995470431675745	"envZ"	0.4739991734318859	0.9991588664047855
"eutC"	0.4433613080980659	0.9982945956063664	"gsiC"	0.605879573002336	0.9991545985228572
"ydcO"	0.44363501245985226	0.9971728535736083	"rsd"	0.8545006722563573	0.9991503617157763
"lysR"	0.44442950144437765	0.9875846040422339	"hslU"	0.7156923343410111	0.9991435426615825
"ycbX"	0.44449912914805567	0.9940159101858933	"kch"	0.7089491261535865	0.999131734814443
"yfhG"	0.4453064823174593	0.9904954793987014	"yhaL"	0.5486828890616589	0.9991315502086167
"ypjD"	0.4454345376194728	0.9973621084403325	"mtfA"	1.0338423047569067	0.9991307773508961
"yddE"	0.4455126425254839	0.9980938642137411	"iscS"	0.9679325090882023	0.9991282588154905
"tldD"	0.4460526539006864	0.9948139059052057	"mutM"	0.5494443744835339	0.9991244524309921
"yejB"	0.44866197875762714	0.9991785270895195	"ydhQ"	0.661685493401227	0.9991224934510493
"yjjV"	0.44912519525861655	0.9839403743249572	"oppF"	1.0061080342539213	0.9991223560732299
"tesA"	0.44938726208283947	0.9922222247503019	"era"	0.7114716417250986	0.9991217196762064
"yjaB"	0.44944307614560974	0.9960705238739807	"agaR"	0.6118564540046124	0.9991214075269598
"btuF"	0.4495314003980118	0.9948521823471671	"yifN"	0.8666253844008575	0.9991210365350609
"amiA"	0.44990389796114777	0.9913459594343399	"ydcN"	0.5853162826070465	0.9991180755491664
"chbA"	0.4500221641728859	0.9972350539742655	"yibF"	0.45591491565783115	0.9991098696849511
"ulaE"	0.4507791482787674	0.9955500729436565	"sapB"	0.5264257655879835	0.9991070368185005
"nadC"	0.4509910109320292	0.9928640073572634	"barA"	0.5171771781046645	0.9991035171875073
"tamA"	0.4512182984775014	0.9960269871173404	"fdhE"	0.5992220920957204	0.9991017366800943
"mhpC"	0.4513503532332579	0.9897029489309161	"ybfE"	0.733147115933051	0.9990917658396723
"sxy"	0.45193944993696006	0.9984872212711108	"folM"	0.5988753893575984	0.9990915128358495
"nudK"	0.4521019046207524	0.9952124598336715	"sfsB"	0.5304744530007595	0.9990888048252882
"frlD"	0.45266602927281185	0.98166469237326	"obgE"	0.729768611501881	0.9990883931144136
"uvrD"	0.4536298938108318	0.9984743129073311	"def"	0.67091566664268	0.9990876782501211
"gntR"	0.45365310383079377	0.9971030720721658	"tppB"	0.8256560243854033	0.9990827925721337
"rlmF"	0.45370097923173286	0.9988604158575498	"corA"	0.635882672223698	0.9990809594604905
"frlC"	0.45426158735502287	0.9931505382150447	"ydfX"	0.5696499590911465	0.9990796546828431
"visC"	0.45439814294077124	0.9900692774752266	"hisM"	0.6614001724568713	0.9990745404559552
"yihW"	0.4556866497634585	0.9989157592899437	"dipZ"	0.6715237202557285	0.9990729949828376
"mdlA"	0.4559068808107589	0.9985298296787326	"asnS"	0.7182082019996356	0.9990695149760355
"yibF"	0.45591491565783115	0.9991098696849511	"recF"	0.7072446269153388	0.9990658994731672
"mukB"	0.4564859505736695	0.9989092838467735	"holB"	0.5791378631347336	0.999065248557075
"lnt"	0.4578791116500254	0.9912252987714439	"nudE"	0.756136641801699	0.999062680828282
