Accession Number,Gene Name
AAC74217.2,mnmA
AAT48141.1,flu
AAC74363.1,pyrF
AAC73142.1,dapB
AAC75082.1,hisC
AAC74259.1,minD
AAC76633.1,secB
AAC75567.1,hisS
AAC76956.1,nusG
AAC73979.1,serS
AAC74772.1,ppsA
AAC74728.1,sodB
AAT48207.1,ilvE
AAC74318.1,galU
AAC75102.1,rfbB
AAC73296.1,accA
AAC75175.1,metG
AAC77004.1,malE
AAC74555.1,osmC
AAC76921.1,metB
AAC76478.1,ugpB
AAC73854.1,pgl
AAC75564.2,der
AAC74567.1,pqqL
AAC75548.1,yfgD
AAC74919.1,purT
AAC73696.1,entB
AAC73428.1,yahK
AAC74343.1,trpB
AAC76767.1,asnA
AAC76858.1,dsbA
AAC75531.1,dapA
AAC74924.1,pykA
AAT48201.1,gyrB
AAC75232.2,yeiP
AAC76324.1,rpmJ
AAC75046.1,amn
AAC77284.1,iadA
AAC75379.1,usg
AAC76215.1,obgE
AAC73907.1,ybiT
AAC74684.1,fumA
AAC74957.1,cheW
AAC76432.2,yhgF
AAC74089.1,wrbA
AAC73917.1,gsiB
AAC73376.1,argF
AAC73184.2,leuB
AAC75578.1,fdx
AAC73768.1,asnB
AAC75047.1,yeeN
AAC75158.2,fbaB
AAC75359.1,yfcD
AAC76673.1,rpoZ
AAC76636.1,gpmM
AAC75085.2,hisA
AAC76413.1,damX
AAC76415.2,aroK
AAC74936.1,aspS
AAC73850.1,modA
AAC74305.1,narL
AAC73865.1,bioD
AAC76074.1,ygiC
AAC75951.1,rpiA
AAC76751.1,pstS
AAC74819.1,xthA
AAC73974.1,trxB
AAC73759.1,ybeX
AAT48218.1,hemC
AAC74830.1,ynjH
ABD18647.1,gnsA
AAC73274.1,yaeH
AAC73267.1,erpA
AAC73777.1,fur
AAC75860.1,ptrA
AAC74179.1,fabF
AAC75658.1,rpsP
AAC73237.1,can
AAC76132.2,yqjC
AAC75083.2,hisB
AAC74848.1,msrB
AAC73541.1,clpX
AAC74160.1,flgE
AAC73245.1,panB
AAC75946.1,pepP
AAC74497.1,aldA
AAC76941.3,argB
AAC74810.1,nadE
AAC73440.1,codA
AAC73631.1,folD
AAC74119.1,ycdY
AAC75568.1,ispG
AAC74676.1,ydgH
AAC77485.1,maoP
AAC76439.1,nfuA
AAC74835.1,ydjA
AAC74709.1,tyrS
AAC77176.1,msrA
AAC73459.1,frmA
AAT48208.1,ilvD
AAC76428.1,pck
AAC73509.1,tgt
AAC76839.2,tatA
AAC73712.1,rna
AAC74132.1,opgG
AAC75942.1,gcvH
AAC76055.1,parC
AAC73782.1,pgm
AAC77189.1,fbp
AAC77217.1,pepA
AAC73804.1,ybgI
AAC74675.1,pntA
AAC75974.1,speB
AAC74386.1,pspA
AAC74143.1,solA
AAC73761.2,ybeZ
AAC74346.1,trpE
