fba_id,base_id
HYDROXYLAMINE-REDUCTASE-RXN (reverse),HYDROXYLAMINE-REDUCTASE-RXN
ISOCIT-CLEAV-RXN (reverse),ISOCIT-CLEAV-RXN
LCARNCOALIG-RXN,LCARNCOALIG-RXN
MANNITOL-1-PHOSPHATASE-RXN,MANNITOL-1-PHOSPHATASE-RXN
MERCAPYSTRANS-RXN,MERCAPYSTRANS-RXN
MERCAPYSTRANS-RXN-3-MERCAPTO-PYRUVATE/Red-thioredoxins-1//PYRUVATE/HS/Ox-thioredoxins-1.70.,MERCAPYSTRANS-RXN
MERCAPYSTRANS-RXN-3-MERCAPTO-PYRUVATE/Reduced-CcmG-Proteins//PYRUVATE/HS/Oxidized-CcmG-Proteins.78.,MERCAPYSTRANS-RXN
MERCAPYSTRANS-RXN-3-MERCAPTO-PYRUVATE/Reduced-CcmH-Proteins//PYRUVATE/HS/Oxidized-CcmH-Proteins.78.,MERCAPYSTRANS-RXN
MHPCHYDROL-RXN,MHPCHYDROL-RXN
MHPHYDROXY-RXN,MHPHYDROXY-RXN
PALMITOYL-COA-HYDROLASE-RXN,PALMITOYL-COA-HYDROLASE-RXN
PHENPRODIOLDEHYDROG-RXN,PHENPRODIOLDEHYDROG-RXN
PRODISULFREDUCT-RXN,PRODISULFREDUCT-RXN
PRODISULFREDUCT-RXN-MONOMER0-4152/GLUTATHIONE//OXIDIZED-GLUTATHIONE/DISULFOXRED-MONOMER.68.,PRODISULFREDUCT-RXN
PROTOHEMEFERROCHELAT-RXN[CCO-CYTOSOL]-PROTOHEME/PROTON//PROTOPORPHYRIN_IX/FE+2.54.,PROTOHEMEFERROCHELAT-RXN
PSEUDOURIDINE-KINASE-RXN,PSEUDOURIDINE-KINASE-RXN
R4-RXN-BUTYL-HYDROPEROXIDE/NADH/PROTON//BUTANOL/NAD/WATER.51.,R4-RXN
R524-RXN,R524-RXN
R621-RXN-NITRIC-OXIDE/NADH/OXYGEN-MOLECULE//NITRATE/NAD/PROTON.54.,R621-RXN
R621-RXN-NITRIC-OXIDE/NADPH/OXYGEN-MOLECULE//NITRATE/NADP/PROTON.56.,R621-RXN
RIBOKIN-RXN,RIBOKIN-RXN
RIBOKIN-RXN-CPD-10330/ATP//CPD-15317/ADP/PROTON.36.,RIBOKIN-RXN
RIBOKIN-RXN-CPD-10330/ATP//CPD-15318/ADP/PROTON.36.,RIBOKIN-RXN
RIBOKIN-RXN-CPD-10330/ATP//CPD-16551/ADP/PROTON.36.,RIBOKIN-RXN
RIBOKIN-RXN-CPD0-1108/ATP//CPD-15317/ADP/PROTON.36.,RIBOKIN-RXN
RIBOKIN-RXN-CPD0-1108/ATP//CPD-15318/ADP/PROTON.36.,RIBOKIN-RXN
RIBOKIN-RXN-CPD0-1108/ATP//CPD-16551/ADP/PROTON.36.,RIBOKIN-RXN
RIBOKIN-RXN-D-Ribofuranose/ATP//CPD-15318/ADP/PROTON.41.,RIBOKIN-RXN
RIBOKIN-RXN-D-Ribofuranose/ATP//CPD-16551/ADP/PROTON.41.,RIBOKIN-RXN
RXN-10040,RXN-10040
RXN-11361,RXN-11361
RXN-11396,RXN-11396
RXN-11397,RXN-11397
RXN-11776,RXN-11776
RXN-12070,RXN-12070
RXN-12071,RXN-12071
RXN-12072,RXN-12072
RXN-12073,RXN-12073
RXN-12093,RXN-12093
RXN-12402,RXN-12402
RXN-12402-CPD0-1202/WATER//ALPHA-GLUCOSE/CPD-25028.41.,RXN-12402
RXN-12402-CPD0-1202/WATER//GLC/CPD-25028.31.,RXN-12402
RXN-12816,RXN-12816
RXN-12886,RXN-12886
RXN-12896,RXN-12896
RXN-13548,RXN-13548
RXN-14002,RXN-14002
RXN-14064,RXN-14064
RXN-14090[CCO-PERI-BAC]-CPD-3711/WATER//CYTIDINE/Pi.42.,RXN-14090
RXN-14090[CCO-PERI-BAC]-CPD-3711/WATER//CYTIDINE/Pi.42.__APHA-CPLX,RXN-14090
RXN-14091,RXN-14091
RXN-14107-Cytochromes-C-Oxidized/REDUCED-MENAQUINONE/PROTON//Cytochromes-C-Reduced/CPD-9728/PROTON.89.,RXN-14107
RXN-14107-Cytochromes-C550-Ox/REDUCED-MENAQUINONE/PROTON//Cytochromes-C550-Red/CPD-9728/PROTON.85.,RXN-14107
RXN-14107-Cytochromes-C552-Ox/REDUCED-MENAQUINONE/PROTON//Cytochromes-C552-Red/CPD-9728/PROTON.85.,RXN-14107
RXN-14107-Cytochromes-C554-Ox/REDUCED-MENAQUINONE/PROTON//Cytochromes-C554-Red/CPD-9728/PROTON.85.,RXN-14107
RXN-14107-Cytochromes-CL-Ox/REDUCED-MENAQUINONE/PROTON//Cytochromes-CL-Red/CPD-9728/PROTON.81.,RXN-14107
RXN-14107-Oxidized-NapC-proteins/REDUCED-MENAQUINONE/PROTON//Reduced-NapC-proteins/CPD-9728/PROTON.89.,RXN-14107
RXN-14107-Oxidized-cytochromes-c2/REDUCED-MENAQUINONE/PROTON//Reduced-cytochromes-c2/CPD-9728/PROTON.91.,RXN-14107
RXN-14107-Oxidized-cytochromes-c553/REDUCED-MENAQUINONE/PROTON//Reduced-cytochromes-c553/CPD-9728/PROTON.95.,RXN-14107
RXN-14107-an-oxidized-NrfB-protein/REDUCED-MENAQUINONE/PROTON//a-reduced-NrfB-protein/CPD-9728/PROTON.92.,RXN-14107
