,reactionID,stoichiometry,reversible,protein_complexes,protein_monomers,monomer_counts,genes
290,ABC-28-RXN,"{'ATP': -1, 'D-Ribopyranose': [-1, 1], 'WATER': -1, 'ADP': 1, 'Pi': 1, 'PROTON': 1}",False,['ABC-28-CPLX'],"['RBSA-MONOMER', 'RBSC-MONOMER', 'RBSB-MONOMER']","[1, 2, 1]","['EG10814', 'EG10816', 'EG10815']"
291,RIBOKIN-RXN,"{'D-Ribofuranose': -1, 'ATP': -1, 'CPD-15317': 1, 'ADP': 1, 'PROTON': 1}",False,['CPLX0-7647'],['RIBOKIN-MONOMER'],[2],['EG10818']
292,GLCNACPTRANS-RXN,"{'CPD-9646': -1, 'UDP-N-ACETYL-D-GLUCOSAMINE': -1, 'ACETYL-D-GLUCOSAMINYLDIPHOSPHO-UNDECAPRE': 1, 'UMP': 1}",False,['CPLX0-8011'],['GLCNACPTRANS-MONOMER'],[2],['EG10840']
293,TDPFUCACTRANS-RXN,"{'TDP-D-FUCOSAMINE': -1, 'ACETYL-COA': -1, 'PROTON': 1, 'TDP-FUC4NAC': 1, 'CO-A': 1}",False,['CPLX0-8614'],['TDPFUCACTRANS-MONOMER'],[2],['EG11455']
294,UDPMANACATRANS-RXN,"{'ACETYL-D-GLUCOSAMINYLDIPHOSPHO-UNDECAPRE': -1, 'UDP-MANNACA': -1, 'PROTON': 1, 'C55-PP-GLCNAC-MANNACA': 1, 'UDP': 1}",False,['UDPMANACATRANS-MONOMER'],[],[],['EG11458']
295,TRANS-RXN-242,"{'PROTON': [-1, 1], 'HOMO-SER': [-1, 1]}",True,"['EG12134-MONOMER', 'RHTB-MONOMER']",[],[],"['EG12134', 'EG11469']"
296,TRANS-RXN-242A,"{'CPD-15554': [-1, 1], 'PROTON': [-1, 1]}",True,['RHTB-MONOMER'],[],[],['EG11469']
297,TRANS-RXN0-0244,"{'PROTON': [-1, 1], 'THR': [-1, 1]}",True,"['RHTB-MONOMER', 'EG12134-MONOMER', 'RHTC-MONOMER']",[],[],"['EG11469', 'EG12134', 'EG11468']"
298,RXN0-5462,"{'GTP': -1, 'WATER': -1, 'PROTON': 1, 'GDP': 1, 'Pi': 1}",False,"['EG10270-MONOMER', 'EG10529-MONOMER', 'CPLX-722', 'EG10021-MONOMER', 'EG12104-MONOMER', 'EG10484-MONOMER', 'EG10942-MONOMER', 'G7319-MONOMER', 'EG10437-MONOMER', 'G7841-MONOMER', 'EG11445-MONOMER', 'G7656-MONOMER']",['APPA-MONOMER'],[2],"['EG10270', 'EG10529', 'EG10049', 'EG10021', 'EG12104', 'EG10484', 'EG10942', 'G7319', 'EG10437', 'G7841', 'EG11445', 'G7656']"
299,RXN0-6444,"{'URACIL': -1, 'OXYGEN-MOLECULE': -1, 'FMNH2': -1, 'NADH': -1, 'CPD0-2331': 1, 'FMN': 1, 'WATER': 1, 'NAD': 1, 'PROTON': 1}",False,['G6523-MONOMER'],[],[],['G6523']
300,RXN-12886,"{'THYMINE': -1, 'OXYGEN-MOLECULE': -1, 'FMNH2': -1, 'NADH': -1, 'CPD-22331': 1, 'WATER': 1, 'FMN': 1, 'NAD': 1, 'PROTON': 1}",False,['G6523-MONOMER'],[],[],['G6523']
301,RXN0-6460,"{'CPD0-2331': -1, 'WATER': -1, 'PROTON': 1, 'CARBAMATE': 1, 'CPD0-2339': 1}",False,['G6522-MONOMER'],[],[],['G6522']
302,RXN-12896,"{'CPD-22331': -1, 'WATER': -1, 'CPD-22332': 1, 'CARBAMATE': 1, 'PROTON': 1}",False,['G6522-MONOMER'],[],[],['G6522']
303,RXN0-6452,"{'PROTON': -1, 'CPD0-2339': -1, 'WATER': -1, 'MALONATE-S-ALD': 1, 'AMMONIUM': 1}",False,['CPLX0-8589'],['G6521-MONOMER'],[3],['G6521']
304,RXN0-5222,"{'CARBAMATE': -1, 'PROTON': -2, 'AMMONIUM': 1, 'CARBON-DIOXIDE': 1}",False,['CPLX0-8303'],['G6520-MONOMER'],[2],['G6520']
305,RXN-8974,"{'3-HYDROXY-PROPIONATE': -1, 'NADP': -1, 'MALONATE-S-ALD': 1, 'NADPH': 1, 'PROTON': 1}",False,"['CPLX0-1962', 'G6519-MONOMER']",['EG12345-MONOMER'],[4],"['EG12345', 'G6519']"
306,RXN-9510,"{'FMNH2': -1, 'NAD': -1, 'FMN': 1, 'NADH': 1, 'PROTON': 1}",False,['G6518-MONOMER'],[],[],['G6518']
307,2.7.9.3-RXN,"{'WATER': -1, 'SE-2': -1, 'ATP': -1, 'Pi': 1, 'SEPO3': 1, 'AMP': 1}",False,['CPLX0-7957'],['EG10943-MONOMER'],[2],['EG10943']
308,TRANS-RXN-27,"{'PROTON': [-1, 1], 'SHIKIMATE': [-1, 1]}",True,['SHIA-MONOMER'],[],[],['G7067']
309,SUPEROX-DISMUT-RXN,"{'PROTON': -2, 'SUPER-OXIDE': -2, 'HYDROGEN-PEROXIDE': 1, 'OXYGEN-MOLECULE': 1}",False,"['G6886-MONOMER', 'SUPEROX-DISMUTFE-CPLX', 'SUPEROX-DISMUTMN-CPLX']","['SUPEROX-DISMUTFE-MONOMER', 'SUPEROX-DISMUTMN-MONOMER']","[2, 2]","['G6886', 'EG10954', 'EG10953']"
310,ARGDECARBOX-RXN,"{'PROTON': -1, 'ARG': -1, 'CARBON-DIOXIDE': 1, 'AGMATHINE': 1}",False,"['ARGDECARBOXDEG-CPLX', 'ARGDECARBOXBIO-CPLX']","['ARGDECARBOXDEG-MONOMER', 'ARGDECARBOXBIO-MONOMER']","[10, 4]","['EG11501', 'EG10959']"
311,MERCAPYSTRANS-RXN,"{'3-MERCAPTO-PYRUVATE': -1, 'Red-Thioredoxin': -1, 'PYRUVATE': 1, 'HS': 1, 'Ox-Thioredoxin': 1}",False,['EG11600-MONOMER'],[],[],['EG11600']
312,RXN0-5408,"{'WATER': -1, 'D-MYO-INOSITOL-1-MONOPHOSPHATE': -1, 'Pi': 1, 'MYO-INOSITOL': 1}",False,['EG10983-MONOMER'],[],[],['EG10983']
313,RXN-7253,"{'CPD-6746': -1, 'WATER': -1, 'MYO-INOSITOL': 1, 'Pi': 1}",False,['EG10983-MONOMER'],[],[],['EG10983']
314,GLYCEROL-2-PHOSPHATASE-RXN,"{'WATER': -1, 'CPD-536': -1, 'Pi': 1, 'GLYCEROL': 1}",False,"['ALKAPHOSPHA-CPLX', 'EG10983-MONOMER']",['ALKAPHOSPHA-MONOMER'],[2],"['EG10727', 'EG10983']"
315,RXN0-2441,"{'S-ADENOSYLMETHIONINE': -1, 'CPD-225': -1, 'MONOMETHYL-ESTER-OF-TRANS-ACONITATE': 1, 'ADENOSYL-HOMO-CYS': 1}",False,['G6806-MONOMER'],[],[],['G6806']
316,ABC-64-RXN,"{'TAURINE': [-1, 1], 'ATP': -1, 'WATER': -1, 'ADP': 1, 'Pi': 1, 'PROTON': 1}",False,['ABC-64-CPLX'],"['TAUA-MONOMER', 'TAUC-MONOMER', 'TAUB-MONOMER']","[1, 2, 2]","['G6217', 'G6219', 'G6218']"
317,ACYL-COA-HYDROLASE-RXN,"{'ACYL-COA': -1, 'WATER': -1, 'CO-A': 1, 'Carboxylates': 1, 'PROTON': 1}",False,"['THIOESTERII-CPLX', 'EG11121-MONOMER']",['THIOESTERII-MONOMER'],[4],"['EG10995', 'EG11121']"
318,RXN-14251,"{'S-3-HYDROXYBUTANOYL-COA': -1, 'WATER': -1, 'CPD-1843': 1, 'CO-A': 1, 'PROTON': 1}",False,['THIOESTERII-CPLX'],['THIOESTERII-MONOMER'],[4],['EG10995']
319,RXN-14255,"{'CPD-650': -1, 'WATER': -1, 'CPD-335': 1, 'CO-A': 1, 'PROTON': 1}",False,['THIOESTERII-CPLX'],['THIOESTERII-MONOMER'],[4],['EG10995']
320,ABC-32-RXN,"{'ATP': -1, 'THIAMINE': [-1, 1], 'WATER': -1, 'ADP': 1, 'Pi': 1, 'PROTON': 1}",False,['ABC-32-CPLX'],"['SFUC-MONOMER', 'SFUB-MONOMER', 'SFUA-MONOMER']","[2, 2, 1]","['EG11572', 'EG11573', 'EG11574']"
321,THIKIN-RXN,"{'THIAMINE': -1, 'ATP': -1, 'PROTON': 1, 'THIAMINE-P': 1, 'ADP': 1}",False,['THIKIN-MONOMER'],[],[],['G6566']
322,THIAZOLSYN3-RXN,"{'ATP': -1, 'THZ': -1, 'PROTON': 1, 'ADP': 1, 'THZ-P': 1}",False,['CPLX0-8211'],['THZ-KIN-MONOMER'],[2],['M007']
323,RXN0-7298,"{'PRENOL': -1, 'ATP': -1, 'CPD-14332': 1, 'ADP': 1, 'PROTON': 1}",False,['CPLX0-8211'],['THZ-KIN-MONOMER'],[2],['M007']
324,No Reaction Found,[],,CPLX0-8553,[],[],['EG11012']
325,RXN0-5264,"{'TRIMETHYLAMINE-N-O': -1, 'PROTON': -1, 'Menaquinols': -1, 'Menaquinones': 1, 'WATER': 1, 'TRIMETHYLAMINE': 1}",False,['TMAOREDUCTI-CPLX'],"['EG11815-MONOMER', 'TORA-MONOMER']","[1, 1]","['EG11815', 'EG11814']"
326,RXN-19619,"{'TRIMETHYLAMINE': -1, 'an-oxidized-TorY-protein': -2, 'WATER': -1, 'TRIMETHYLAMINE-N-O': 1, 'A-REDUCED-TORY-PROTEIN': 1, 'PROTON': 1}",False,['G7022-MONOMER'],[],[],['G7022']
327,TREHALA-RXN,"{'TREHALOSE': -1, 'WATER': -1, 'GLC': 1, 'ALPHA-GLUCOSE': 1}",False,"['TREHALACYTO-MONOMER', 'TREHALAPERI-MONOMER']",[],[],"['EG12245', 'EG11017']"
328,TRANS-RXN-168,"{'PTSH-PHOSPHORYLATED': -1, 'TREHALOSE': -1, 'TREHALOSE-6P': 1, 'PTSH-MONOMER': 1}",False,['CPLX-168'],"['TREB-MONOMER', 'CRR-MONOMER']","[2, 1]","['EG12127', 'EG10165']"
329,No Reaction Found,[],,OX-THIOREDOXIN-MONOMER,[],[],['EG11031']
330,RXN-20161,"{'Ox-Thioredoxin': -1, 'a-reduced-DsbD-protein': -1, 'Red-Thioredoxin': 1, 'an-oxidized-DsbD-protein': 1}",False,['RED-THIOREDOXIN-MONOMER'],[],[],['EG11031']
331,TRANS-RXN-127,"{'TARTRATE': [-1, 1], 'SUC': [-1, 1]}",True,['YGJE-MONOMER'],[],[],['EG12393']
332,RXN-16937,"{'FMNH2': -1, 'CPD-14332': -1, 'CPD-18260': 1, 'Pi': 1}",False,['UBIX-MONOMER'],[],[],['EG11044']
333,TRANS-RXN-33,"{'Pi': [-1, 1], 'D-glucopyranose-6-phosphate': [-1, 1]}",True,['UHPT-MONOMER'],[],[],['EG11054']
334,TRANS-RXN0-502,"{'CPD-15979': [-1, 1], 'Pi': [-1, 1]}",True,['UHPT-MONOMER'],[],[],['EG11054']
335,TRANS-RXN0-501,"{'CPD-18719': [-1, 1], 'Pi': [-1, 1]}",True,['UHPT-MONOMER'],[],[],['EG11054']
336,TRANS-RXN0-534,"{'L-GLYCERALDEHYDE-3-PHOSPHATE': [-1, 1], 'Pi': [-1, 1]}",True,['UHPT-MONOMER'],[],[],['EG11054']
337,BETA-GLUCURONID-RXN,"{'WATER': -1, 'Beta-D-Glucuronides': -1, 'D-Glucopyranuronate': 1, 'Alcohols': 1}",False,['CPLX0-7662'],['BETA-GLUCURONID-MONOMER'],[4],['EG11055']
338,TRANS-RXN-98,"{'PROTON': [-1, 1], 'Glucuronides': [-1, 1]}",True,['UIDB-MONOMER'],[],[],['EG11658']
339,RXN0-2461,"{'PTSH-PHOSPHORYLATED': -1, 'ASCORBATE': -1, 'L-ASCORBATE-6-PHOSPHATE': 1, 'PTSH-MONOMER': 1}",False,['EIISGA'],"['YJFU-MONOMER', 'YJFT-MONOMER', 'SGAT-MONOMER']","[1, 1, 2]","['EG12495', 'EG12494', 'G7856']"
340,RXN0-5214,"{'L-ASCORBATE-6-PHOSPHATE': -1, 'WATER': -1, 'CPD-2343': 1}",False,['CPLX0-7848'],['G7855-MONOMER'],[6],['G7855']
341,RXN0-5294,"{'CPD-24196': -1, 'CPD-21359': -1, 'CPD0-1101': 1, 'UNDECAPRENYL-DIPHOSPHATE': 1, 'PROTON': 1}",False,['EG11424-MONOMER'],[],[],['EG11424']
342,RXN-22510,"{'CPD-24126': -1, 'CPD-21359': -1, 'CPD0-2294': 1, 'UNDECAPRENYL-DIPHOSPHATE': 1, 'PROTON': 1}",False,['EG11424-MONOMER'],[],[],['EG11424']
343,RXN-22216,"{'UDP-GLUCURONATE': -1, 'CPD0-2666': -1, 'CPD-24198': 1, 'UDP': 1, 'PROTON': 1}",False,['G7104-MONOMER'],[],[],['G7104']
344,RXN0-7345,"{'CPD0-2665': -1, 'ACETYL-COA': -1, 'CPD0-2666': 1, 'CO-A': 1}",False,['G7103-MONOMER'],[],[],['G7103']
345,RXN0-7344,"{'CPD0-2664': -1, 'CPD-14553': -1, 'CPD0-2665': 1, 'UDP': 1, 'PROTON': 1}",False,['G7102-MONOMER'],[],[],['G7102']
346,RXN0-7343,"{'CPD0-2661': -1, 'CPD-13118': -1, 'CPD0-2664': 1, 'GDP': 1, 'PROTON': 1}",False,['G7100-MONOMER'],[],[],['G7100']
347,RXN0-7342,"{'CPD0-2660': -1, 'ACETYL-COA': -1, 'CPD0-2661': 1, 'CO-A': 1}",False,['G7099-MONOMER'],[],[],['G7099']
348,RXN-22214,"{'PHOSPHO-ENOL-PYRUVATE': -1, 'CPD-24197': -1, 'CPD-24196': 1, 'Pi': 1}",False,['G7096-MONOMER'],[],[],['G7096']
349,UDPMANNACADEHYDROG-RXN,"{'UDP-MANNAC': -1, 'NAD': -2, 'WATER': -1, 'UDP-MANNACA': 1, 'NADH': 1, 'PROTON': 1}",False,['CPLX0-8013'],['UDPMANNACADEHYDROG-MONOMER'],[2],['EG11452']
350,RXN-22217,"{'CPD-24196': [-1, 1], 'PROTON': [-1, 1]}",False,['G7097-MONOMER'],[],[],['G7097']
351,TRANS-RXN0-279,"{'C55-PP-GLCNAC-MANNACA-FUC4NAC': [-1, 1], 'PROTON': [-1, 1]}",False,['EG11486-MONOMER'],[],[],['EG11486']
352,GLUTCYSLIG-RXN,"{'CYS': -1, 'GLT': -1, 'ATP': -1, 'PROTON': 1, 'L-GAMMA-GLUTAMYLCYSTEINE': 1, 'Pi': 1, 'ADP': 1}",False,"['GLUTCYSLIG-MONOMER', 'CPLX0-7827']",['G6326-MONOMER'],[2],"['EG10418', 'G6326']"
353,TRANS-RXN-366,"{'CPD-19953': [-1, 1], 'ATP': -1, 'WATER': -1, 'ADP': 1, 'Pi': 1, 'PROTON': 1}",False,['ABC-57-CPLX'],"['YBHS-MONOMER', 'YBHR-MONOMER', 'YBHF-MONOMER']","[1, 1, 1]","['G6410', 'G6409', 'G6411']"
354,ACYLPHOSPHATASE-RXN,"{'WATER': -1, 'Acyl-Phosphates': -1, 'Pi': 1, 'Carboxylates': 1, 'PROTON': 1}",False,['G6502-MONOMER'],[],[],['G6502']
355,RXN-21532,"{'CPD-23690': -1, 'DIHYDROXY-ACETONE-PHOSPHATE': 1, 'CPD-23427': 1}",True,['CPLX0-8547'],['G6960-MONOMER'],[4],['G6960']
356,4.3.1.15-RXN,"{'23-Diaminopropanoate': -1, 'WATER': -1, 'AMMONIUM': 1, 'PYRUVATE': 1}",False,['CPLX0-1401'],['G7490-MONOMER'],[2],['G7490']
357,TRANS-RXN0-235,"{'NA+': [-1, 1], 'CPD-334': [-1, 1]}",False,['TRANS-CPLX-203'],"['EG12283-MONOMER', 'EG12282-MONOMER', 'MONOMER0-422']","[1, 1, 1]","['EG12283', 'EG12282', 'EG12281']"
358,TRANS-RXN0-492,"{'CPD0-2485': [-1, 1], 'ATP': -1, 'WATER': -1, 'ADP': 1, 'Pi': 1, 'PROTON': 1}",False,['ABC-46-CPLX'],"['YJFF-MONOMER', 'YTFR-MONOMER', 'YTFT-MONOMER', 'YTFQ-MONOMER']","[1, 1, 1, 1]","['EG12439', 'EG12518', 'EG12520', 'EG12517']"
359,TRANS-RXN0-491,"{'CPD0-2486': [-1, 1], 'ATP': -1, 'WATER': -1, 'Pi': 1, 'ADP': 1, 'PROTON': 1}",False,['ABC-46-CPLX'],"['YJFF-MONOMER', 'YTFR-MONOMER', 'YTFT-MONOMER', 'YTFQ-MONOMER']","[1, 1, 1, 1]","['EG12439', 'EG12518', 'EG12520', 'EG12517']"
360,RXN0-2101,"{'SELENITE': -1, 'WATER': -1, 'Acceptor': -1, 'SELENATE': 1, 'Donor-H2': 1}",False,['CPLX0-1601'],"['G6845-MONOMER', 'G6846-MONOMER', 'G6847-MONOMER', 'G6848-MONOMER']","[1, 1, 1, 1]","['G6845', 'G6846', 'G6847', 'G6848']"
361,RXN0-5052,"{'Aminopeptidase-Substrates': -1, 'WATER': -1, 'Peptides-holder': 1, 'Amino-Acids-20': 1, 'PROTON': 1}",False,"['G7063-MONOMER', 'CPLX0-8290']",['G7248-MONOMER'],[2],"['G7063', 'G7248']"
362,RXN0-5186,"{'FRU1P': -1, 'WATER': -1, 'BETA-D-FRUCTOSE': 1, 'Pi': 1}",False,['G7408-MONOMER'],[],[],['G7408']
