,reactionID,stoichiometry,reversible,protein_complexes,protein_monomers,monomer_counts,genes
106,RXN-21426,"{'an-oxidized-DsbA-protein': -1, 'Apocytochromes-c': -1, 'a-reduced-DsbA-protein': 1, 'Apocytochromes-c-Disulfide': 1}",False,['DISULFOXRED-MONOMER'],[],[],['EG11297']
107,RXN0-7310,"{'an-oxidized-DsbA-protein': -1, 'Protein-Dithiols': -1, 'a-reduced-DsbA-protein': 1, 'Protein-Disulfides': 1}",False,['DISULFOXRED-MONOMER'],[],[],['EG11297']
108,No Reaction Found,[],,MONOMER0-4142,[],[],['EG11393']
109,RXN-19988,"{'DISULFOXRED-MONOMER': -1, 'UBIQUINONE-8': -1, 'MONOMER0-4152': 1, 'CPD-9956': 1}",False,['DSBBPROT-MONOMER'],[],[],['EG11393']
110,RXN-19998,"{'DISULFOXRED-MONOMER': -1, 'CPD-9728': -1, 'MONOMER0-4152': 1, 'REDUCED-MENAQUINONE': 1}",False,['DSBBPROT-MONOMER'],[],[],['EG11393']
111,RXN-19950,"{'Reduced-Disulfide-Carrier-Proteins': -1, 'ETR-Quinones': -1, 'Oxidized-Disulfide-Carrier-Proteins': 1, 'ETR-Quinols': 1}",False,['DSBBPROT-MONOMER'],[],[],['EG11393']
112,RXN-21410,"{'an-oxidized-DsbD-protein': -1, 'Reduced-CcmG-Proteins': -1, 'a-reduced-DsbD-protein': 1, 'Oxidized-CcmG-Proteins': 1}",False,['DSBD-MONOMER'],[],[],['EG12178']
113,RXN-20057,"{'an-oxidized-DsbD-protein': -1, 'Protein-Dithiols': -1, 'a-reduced-DsbD-protein': 1, 'Protein-Disulfides': 1}",False,['DSBD-MONOMER'],[],[],['EG12178']
114,RXN0-7311,"{'a-reduced-DsbD-protein': -1, 'Ox-thioredoxins-1': -1, 'an-oxidized-DsbD-protein': 1, 'Red-thioredoxins-1': 1}",False,['DSBD-MONOMER'],[],[],['EG12178']
115,RXN-19949,"{'Reduced-Disulfide-Isomerases': -1, 'an-oxidized-DsbD-protein': -1, 'Disulfide-Isomerase-with-Disulfide-Bond': 1, 'a-reduced-DsbD-protein': 1}",False,['DSBD-MONOMER'],[],[],['EG12178']
116,RXN-20019,"{'PROTEIN-S-HYDROXY-CYSTEINE': -1, 'PROT-CYS': 1}",True,['DSBG-CPLX'],['DSBG-MONOMER'],[2],['G6333']
117,5.3.4.1-RXN,"{'Proteins-with-incorrect-disulfides': -1, 'Proteins-with-correct-disulfides': 1}",False,"['DSBG-CPLX', 'DSBC-CPLX']","['DSBG-MONOMER', 'DSBC-MONOMER']","[2, 2]","['G6333', 'EG11070']"
118,TRANS-RXN0-495,"{'D-SERINE': [-1, 1]}",False,['DSDX-MONOMER'],[],[],['EG10250']
119,RXN0-7105,"{'CPLX0-7849': -1, 'WATER': -1, 'ENTB-CPLX': 1, '2-3-DIHYDROXYBENZOATE': 1}",False,['CPLX0-7766'],['EG11105-MONOMER'],[4],['EG11105']
120,RXN0-7046,"{'CPD-264': -1, 'WATER': -1, '3-HYDROXYBENZOATE': 1, 'CO-A': 1, 'PROTON': 1}",False,['CPLX0-7766'],['EG11105-MONOMER'],[4],['EG11105']
121,TRANS-RXN0-496,"{'ENTEROBACTIN': [-1, 1], 'PROTON': [-1, 1]}",True,['YBDA-MONOMER'],[],[],['EG11104']
122,ACETALD-DEHYDROG-RXN,"{'NAD': -1, 'CO-A': -1, 'ACETALD': -1, 'PROTON': 1, 'NADH': 1, 'ACETYL-COA': 1}",True,"['MHPF-MONOMER', 'ADHE-CPLX', 'G7285-MONOMER']",['ADHE-MONOMER'],[40],"['M014', 'EG10031', 'G7285']"
123,No Reaction Found,[],,CPLX0-8553,[],[],['EG10271']
124,RXN0-1721,"{'CPD0-2482': [-1, 1], 'PROTON': [-1, 1]}",False,['CPLX0-8541'],"['G6414-MONOMER', 'CPLX0-1923']","[1, 1]","['G6414', 'EG11012', 'EG10271', 'EG10272']"
125,RXN0-1702,"{'CPD0-621': [-1, 1], 'PROTON': [-1, 1]}",False,['CPLX0-7952'],"['EG10306-MONOMER', 'CPLX0-1923']","[1, 1]","['EG10306', 'EG11012', 'EG10271', 'EG10272']"
126,RXN0-1684,"{'FERRIC-CITRATE-COMPLEX': [-1, 1], 'PROTON': [-1, 1]}",False,['CPLX0-1943'],"['EG10286-MONOMER', 'CPLX0-1923']","[1, 1]","['EG10286', 'EG11012', 'EG10271', 'EG10272']"
127,RXN0-1701,"{'CPD0-2241': [-1, 1], 'PROTON': [-1, 1]}",False,['CPLX0-1942'],"['CPLX0-1923', 'EG10302-MONOMER']","[1, 1]","['EG11012', 'EG10271', 'EG10272', 'EG10302']"
128,RXN0-1682,"{'FERRIC-ENTEROBACTIN-COMPLEX': [-1, 1], 'PROTON': [-1, 1]}",False,['CPLX0-1941'],"['CPLX0-1923', 'EG10293-MONOMER']","[1, 1]","['EG11012', 'EG10271', 'EG10272', 'EG10293']"
129,No Reaction Found,[],,CPLX0-8553,[],[],['EG10272']
130,DIENOYLCOAREDUCT-RXN,"{'T2-DECENOYL-COA': -1, 'NADP': -1, 'PROTON': 1, 'T2-C4-DECADIENYL-COA': 1, 'NADPH': 1}",False,['DIENOYLCOAREDUCT-MONOMER'],[],[],['G36']
131,1.1.1.271-RXN,"{'CPD-13118': -1, 'NADP': -1, 'PROTON': 1, 'NADPH': 1, 'GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE': 1}",False,['CPLX0-3881'],['FCL-MONOMER'],[2],['EG11788']
132,ABC-9-RXN,"{'ATP': -1, 'FERRIC-CITRATE-COMPLEX': [-1, 1], 'WATER': -1, 'ADP': 1, 'Pi': 1, 'PROTON': 1}",False,['ABC-9-CPLX'],"['FECE-MONOMER', 'FECC-MONOMER', 'FECD-MONOMER', 'FECB-MONOMER']","[2, 1, 1, 1]","['EG10290', 'EG10288', 'EG10289', 'EG10287']"
133,ABC-10-RXN,"{'ATP': -1, 'FERRIC-ENTEROBACTIN-COMPLEX': [-1, 1], 'WATER': -1, 'ADP': 1, 'Pi': 1, 'PROTON': 1}",False,['ABC-10-CPLX'],"['FEPC-MONOMER', 'FEPD-MONOMER', 'FEPG-MONOMER', 'FEPB-MONOMER']","[2, 1, 1, 1]","['EG10295', 'EG10296', 'EG10298', 'EG10294']"
