"gene"	"num_peaks"	"peaks"	"areas"	"standard_devs"
"yqgF"	1	"[9.81]"	"[1812]"	"[0.0291]"
"ccmE"	1	"[8.54]"	"[1812]"	"[0.0378]"
"setB"	1	"[8.46]"	"[1812]"	"[0.0501]"
"yghB"	1	"[9.45]"	"[1812]"	"[0.0389]"
"fruA"	1	"[9.9]"	"[1812]"	"[0.059]"
"rihB"	1	"[7.57]"	"[1812]"	"[0.0854]"
"lysP"	1	"[8.92]"	"[1812]"	"[0.0933]"
"yqhD"	1	"[10.09]"	"[1812]"	"[0.0651]"
"yeiG"	1	"[9.35]"	"[1812]"	"[0.0482]"
"folE"	1	"[10.48]"	"[1812]"	"[0.0882]"
"mglA"	1	"[7.73]"	"[1812]"	"[0.1062]"
"mglC"	1	"[8.88]"	"[1812]"	"[0.0734]"
"ftsP"	1	"[9.67]"	"[1812]"	"[0.038]"
"parC"	1	"[10.24]"	"[1812]"	"[0.0317]"
"pbpG"	1	"[9.42]"	"[1812]"	"[0.042]"
"osmF"	1	"[8.94]"	"[1812]"	"[0.0515]"
"parE"	1	"[9.56]"	"[1812]"	"[0.0464]"
"yehW"	1	"[8.97]"	"[1812]"	"[0.0439]"
"yqiA"	1	"[9.97]"	"[1812]"	"[0.0566]"
"cpdA"	1	"[10.39]"	"[1812]"	"[0.0397]"
"thiD"	1	"[8.66]"	"[1812]"	"[0.0663]"
"ygiB"	1	"[11.29]"	"[1812]"	"[0.0431]"
"ygiC"	1	"[10.49]"	"[1812]"	"[0.0503]"
"yqiC"	1	"[10.54]"	"[1812]"	"[0.0525]"
"udk"	1	"[9.32]"	"[1812]"	"[0.0583]"
"glnE"	1	"[9.75]"	"[1812]"	"[0.0338]"
"ccmD"	1	"[8.21]"	"[1812]"	"[0.0538]"
"ccmC"	1	"[8.8]"	"[1812]"	"[0.0433]"
"ccmB"	1	"[8.99]"	"[1812]"	"[0.0347]"
"ccmA"	1	"[9.14]"	"[1812]"	"[0.0445]"
"yggS"	1	"[10.3]"	"[1812]"	"[0.0731]"
"nuoJ"	1	"[10.94]"	"[1812]"	"[0.0632]"
"nuoK"	1	"[10.84]"	"[1812]"	"[0.0685]"
"nuoL"	1	"[10.94]"	"[1812]"	"[0.0834]"
"yggU"	1	"[10.61]"	"[1812]"	"[0.0495]"
"nuoN"	1	"[10.77]"	"[1812]"	"[0.0631]"
"yggN"	1	"[10.08]"	"[1812]"	"[0.0379]"
"menD"	1	"[9.38]"	"[1812]"	"[0.0326]"
"trmI"	1	"[10.09]"	"[1812]"	"[0.0685]"
"mutY"	1	"[10.43]"	"[1812]"	"[0.0427]"
"menE"	1	"[9.22]"	"[1812]"	"[0.0507]"
"yghD"	1	"[8.3]"	"[1812]"	"[0.0436]"
"yqgE"	1	"[10.02]"	"[1812]"	"[0.0301]"
"arnD"	1	"[7.43]"	"[1812]"	"[0.0578]"
"yghG"	1	"[6.76]"	"[1812]"	"[0.0783]"
"yghQ"	1	"[8.93]"	"[1812]"	"[0.055]"
"yghU"	1	"[9.82]"	"[1812]"	"[0.0574]"
"hybG"	1	"[8.88]"	"[1812]"	"[0.0461]"
"nrdA"	1	"[10.7]"	"[1812]"	"[0.0771]"
"ubiG"	1	"[9.97]"	"[1812]"	"[0.0345]"
"hybF"	1	"[8.58]"	"[1812]"	"[0.0421]"
"atoE"	1	"[7.61]"	"[1812]"	"[0.0546]"
"mqo"	1	"[9.33]"	"[1812]"	"[0.0655]"
"napG"	1	"[9.18]"	"[1812]"	"[0.0708]"
"napH"	1	"[9.23]"	"[1812]"	"[0.0663]"
"yghX_2"	1	"[7.62]"	"[1812]"	"[0.0791]"
"arnC"	1	"[8.16]"	"[1812]"	"[0.0968]"
"ppdC"	1	"[8.71]"	"[1812]"	"[0.0362]"
"recC"	1	"[8.85]"	"[1812]"	"[0.0593]"
"recD"	1	"[9.13]"	"[1812]"	"[0.0323]"
"dkgA"	1	"[9.53]"	"[1812]"	"[0.088]"
"clpB"	1	"[10.03]"	"[1812]"	"[0.0879]"
"rluD"	1	"[10.11]"	"[1812]"	"[0.0554]"
"hybO"	1	"[9.2]"	"[1812]"	"[0.0695]"
"hybA"	1	"[9.71]"	"[1812]"	"[0.0806]"
"hybB"	1	"[8.76]"	"[1812]"	"[0.0827]"
"hybC"	1	"[9.14]"	"[1812]"	"[0.0489]"
"yfiB"	1	"[9.44]"	"[1812]"	"[0.0426]"
"speC"	1	"[9.02]"	"[1812]"	"[0.0341]"
"rplS"	1	"[11.84]"	"[1812]"	"[0.0734]"
"mltC"	1	"[9.66]"	"[1812]"	"[0.0409]"
"gshB"	1	"[10.58]"	"[1812]"	"[0.0332]"
"ffh"	1	"[10.43]"	"[1812]"	"[0.0566]"
"metK"	1	"[10.14]"	"[1812]"	"[0.0924]"
"speA"	1	"[10.6]"	"[1812]"	"[0.0519]"
"tktA"	1	"[10.81]"	"[1812]"	"[0.0693]"
"yggF"	1	"[8.52]"	"[1812]"	"[0.0342]"
"epd"	1	"[10.83]"	"[1812]"	"[0.0558]"
"fbaA"	1	"[11.07]"	"[1812]"	"[0.0735]"
"argO"	1	"[7.89]"	"[1812]"	"[0.0756]"
"scpB"	1	"[8.74]"	"[1812]"	"[0.0524]"
"scpA"	1	"[8.91]"	"[1812]"	"[0.0543]"
"rpiA"	1	"[10.63]"	"[1812]"	"[0.0419]"
"smpB"	1	"[10.92]"	"[1812]"	"[0.0532]"
"ubiH"	1	"[9.98]"	"[1812]"	"[0.0391]"
"plsC"	1	"[10.05]"	"[1812]"	"[0.0334]"
"pka"	1	"[9.14]"	"[1812]"	"[0.0766]"
"tolC"	1	"[10.41]"	"[1812]"	"[0.0746]"
"zupT"	1	"[9.46]"	"[1812]"	"[0.0416]"
"yphE"	1	"[7.74]"	"[1812]"	"[0.0559]"
"ispB"	1	"[10.54]"	"[1812]"	"[0.0352]"
"yphF"	1	"[7.84]"	"[1812]"	"[0.0519]"
"yphG"	1	"[8.62]"	"[1812]"	"[0.0533]"
"yfhG"	1	"[9.95]"	"[1812]"	"[0.0393]"
"mtr"	1	"[8.73]"	"[1812]"	"[0.0877]"
"kbaY"	1	"[8.8]"	"[1812]"	"[0.0577]"
"glrK"	1	"[9.34]"	"[1812]"	"[0.0783]"
"tadA"	1	"[9.34]"	"[1812]"	"[0.0394]"
"pgpC"	1	"[9.42]"	"[1812]"	"[0.04]"
"garL"	1	"[8.69]"	"[1812]"	"[0.0903]"
"yfhL"	1	"[8.41]"	"[1812]"	"[0.0709]"
"yfjJ"	1	"[5.64]"	"[1812]"	"[0.0923]"
"recO"	1	"[9.53]"	"[1812]"	"[0.0447]"
"lepB"	1	"[10.1]"	"[1812]"	"[0.0323]"
"rseA"	1	"[11.72]"	"[1812]"	"[0.06]"
"exuT"	1	"[8.76]"	"[1812]"	"[0.0477]"
"uxaC"	1	"[9.28]"	"[1812]"	"[0.0512]"
"sstT"	1	"[8.99]"	"[1812]"	"[0.0653]"
"ttdB"	1	"[8.63]"	"[1812]"	"[0.0524]"
"yfiF"	1	"[9.98]"	"[1812]"	"[0.0342]"
"ygiH"	1	"[8.9]"	"[1812]"	"[0.0515]"
"folB"	1	"[9.38]"	"[1812]"	"[0.0389]"
"bacA"	1	"[9.09]"	"[1812]"	"[0.0341]"
"rfaE"	1	"[9.65]"	"[1812]"	"[0.0522]"
"ribB"	1	"[10.57]"	"[1812]"	"[0.0568]"
"rnc"	1	"[10.25]"	"[1812]"	"[0.0494]"
"gcvP"	1	"[10.05]"	"[1812]"	"[0.0913]"
"fldB"	1	"[9.62]"	"[1812]"	"[0.037]"
"dsbC"	1	"[10.2]"	"[1812]"	"[0.0344]"
"cas1"	1	"[8.19]"	"[1812]"	"[0.043]"
"casD"	1	"[7.61]"	"[1812]"	"[0.0663]"
"ygaH"	1	"[9.86]"	"[1812]"	"[0.0563]"
"proX"	1	"[9.06]"	"[1812]"	"[0.0925]"
"cas3"	1	"[7.59]"	"[1812]"	"[0.0575]"
"ygcN"	1	"[8.53]"	"[1812]"	"[0.0403]"
"ygcO"	1	"[8.95]"	"[1812]"	"[0.0538]"
"gabT"	1	"[8.84]"	"[1812]"	"[0.0927]"
"ygcW"	1	"[6.87]"	"[1812]"	"[0.0745]"
"kgtP"	1	"[11.28]"	"[1812]"	"[0.0698]"
"pssA"	1	"[10.35]"	"[1812]"	"[0.0475]"
"queE"	1	"[9.28]"	"[1812]"	"[0.0562]"
"iap"	1	"[8.22]"	"[1812]"	"[0.055]"
"eamB"	1	"[8.61]"	"[1812]"	"[0.0491]"
"barA"	1	"[9.13]"	"[1812]"	"[0.0392]"
"yqcA"	1	"[9.42]"	"[1812]"	"[0.0684]"
"ygdH"	1	"[10.11]"	"[1812]"	"[0.0609]"
