"gene"	"num_peaks"	"peaks"	"areas"	"standard_devs"
"glgB"	1	"[10.99]"	"[1943]"	"[0.059]"
"dusC"	1	"[8.91]"	"[1943]"	"[0.0395]"
"glgC"	1	"[10.62]"	"[1943]"	"[0.0641]"
"glgA"	1	"[10.25]"	"[1943]"	"[0.0677]"
"glgP"	1	"[8.89]"	"[1943]"	"[0.0544]"
"ugpE"	1	"[8.63]"	"[1943]"	"[0.0507]"
"glpE"	1	"[10.1]"	"[1943]"	"[0.0441]"
"yohK"	1	"[9.14]"	"[1943]"	"[0.0467]"
"gntT"	1	"[9.21]"	"[1943]"	"[0.0531]"
"yeiB"	1	"[7.88]"	"[1943]"	"[0.0561]"
"feoB"	1	"[8.46]"	"[1943]"	"[0.0827]"
"pck"	1	"[11.0]"	"[1943]"	"[0.0823]"
"nudE"	1	"[9.64]"	"[1943]"	"[0.0628]"
"yeiH"	1	"[8.69]"	"[1943]"	"[0.0312]"
"nfo"	1	"[9.82]"	"[1943]"	"[0.0417]"
"aroB"	1	"[10.89]"	"[1943]"	"[0.0576]"
"rpe"	1	"[10.44]"	"[1943]"	"[0.0397]"
"malP"	1	"[10.07]"	"[1943]"	"[0.0953]"
"ugpB"	1	"[8.73]"	"[1943]"	"[0.064]"
"yehS"	1	"[9.03]"	"[1943]"	"[0.0608]"
"livM"	1	"[8.65]"	"[1943]"	"[0.083]"
"yegQ"	1	"[9.05]"	"[1943]"	"[0.0525]"
"yegZ"	1	"[7.48]"	"[1943]"	"[0.0639]"
"xylA"	1	"[8.8]"	"[1943]"	"[0.0582]"
"xylB"	1	"[8.39]"	"[1943]"	"[0.0356]"
"b2084"	1	"[8.23]"	"[1943]"	"[0.05]"
"yegR"	1	"[6.61]"	"[1943]"	"[0.0894]"
"ghrB"	1	"[9.93]"	"[1943]"	"[0.0485]"
"bisC"	1	"[8.84]"	"[1943]"	"[0.0428]"
"eptB"	1	"[8.57]"	"[1943]"	"[0.0506]"
"yegU"	1	"[8.64]"	"[1943]"	"[0.0317]"
"yegX"	1	"[8.55]"	"[1943]"	"[0.0334]"
"rcnA"	1	"[7.81]"	"[1943]"	"[0.0437]"
"dctA"	1	"[9.39]"	"[1943]"	"[0.1018]"
"yehA"	1	"[6.62]"	"[1943]"	"[0.0867]"
"treF"	1	"[9.21]"	"[1943]"	"[0.0608]"
"arsC"	1	"[8.84]"	"[1943]"	"[0.0481]"
"yehD"	1	"[6.54]"	"[1943]"	"[0.0844]"
"dtpB"	1	"[9.78]"	"[1943]"	"[0.0573]"
"pitA"	1	"[9.8]"	"[1943]"	"[0.0665]"
"molR_2"	1	"[7.89]"	"[1943]"	"[0.0558]"
"yehQ"	1	"[8.6]"	"[1943]"	"[0.0757]"
"yehR"	1	"[6.96]"	"[1943]"	"[0.0659]"
"livH"	1	"[9.6]"	"[1943]"	"[0.076]"
"trpS"	1	"[9.8]"	"[1943]"	"[0.0769]"
"cysZ"	1	"[8.66]"	"[1943]"	"[0.0576]"
"ucpA"	1	"[10.3]"	"[1943]"	"[0.0657]"
"yfeW"	1	"[8.64]"	"[1943]"	"[0.0559]"
"recB"	1	"[9.25]"	"[1943]"	"[0.0381]"
