lambda_sec,lambda_eff,lambda_kin,lambda_div,obj_total,obj_homeo,obj_kin,obj_eff,obj_sec,obj_div,,,
4.73E-10,9.80973E-05,5.40E-08,3.12E-09,0.011212789,0.000132487,109.2541024,112.8919756,8.546353656,0.012307886,,,
0.00010301,1.00E-07,0.000331405,8.59E-08,0.011303054,6.95E-13,24.01413098,367.863696,32.11105852,0.011877034,,,
1.80E-09,3.04E-08,0.000330375,3.37E-09,0.007296548,8.85E-12,22.04554586,431.872731,52.31308063,0.01196734,,,
5.03E-06,3.38E-09,0.000324583,2.98E-08,0.007363066,6.98E-12,22.04554586,445.4610327,40.97213578,0.004287837,,,
0.000131887,6.75E-07,0.000315047,2.98158E-05,0.012041586,4.10E-12,24.24901843,364.3948889,31.51105217,0.004330578,,,
1.13E-06,3.95735E-05,8.03E-06,1.7848E-05,0.00548756,0.000132486,109.2539518,112.8920046,8.546423155,0.012212333,,,
1.73E-09,7.67232E-05,1.30E-10,4.08E-07,0.008793958,0.000132487,109.2815248,112.8919756,8.546353656,0.012256453,,,
9.91517E-05,2.62E-10,0.00263844,1.14702E-05,0.053904802,0.018910183,12.30630195,249514.4275,24.80873556,0.004189948,,,
1.07E-07,2.09E-09,0.000288124,1.32E-06,0.006357158,9.54E-12,22.04554586,434.3649473,40.97307951,0.003745998,,,
7.26E-09,6.10E-06,0.000285466,0.004731885,0.008916152,8.76E-12,22.18980376,420.7642154,49.38105506,0.003438542,,,
1.00E-06,8.46E-06,0.000282612,3.23E-10,0.009874295,3.87E-12,22.21146206,420.4240167,39.98249776,0.012030762,,,
1.05554E-05,1.27639E-05,0.000279599,2.28E-07,0.011734078,2.37E-12,24.01424352,366.173791,32.77165563,0.011994915,,,
0.000953329,1.37E-09,0.000279371,0.00105664,0.019425173,1.63E-12,42.55788153,252.2624788,7.900323845,0.003575528,,,
3.79E-09,6.52E-08,0.000264022,9.31255E-05,0.005849191,1.94E-12,22.04555138,431.8024181,52.14279078,0.003726696,,,
2.95E-10,2.94E-06,0.000253873,7.99572E-05,0.006863648,4.73E-12,22.07226321,428.2197166,51.35941162,0.003785981,,,
9.65E-07,4.43E-06,0.000248944,0.004898737,0.007446192,5.65E-12,22.18912225,421.3079779,40.09409765,0.003438542,,,
7.56E-07,8.34E-10,0.000247619,9.78E-10,0.005494046,5.87E-12,22.04554586,5037.759523,40.97213578,0.011863936,,,
4.00E-07,5.98E-06,0.00024547,1.30E-07,0.007979836,5.39E-12,22.19863846,420.8472981,40.03382119,0.01197837,,,
3.96E-09,2.96E-07,0.000239959,5.63E-08,0.005418157,4.56E-12,22.04554586,431.7864891,52.14082911,0.011928736,,,
5.70E-07,4.88E-07,0.000238835,3.34E-08,0.005499892,9.65E-12,22.04554586,432.3843632,41.4724988,0.011939766,,,
4.55E-07,1.39E-10,0.000231315,7.09E-08,0.005152894,8.39E-12,22.04554586,249635.0517,40.97213578,0.004278186,,,
1.30E-06,8.95885E-05,1.59E-10,0.003561041,0.010270901,0.000132481,109.2967935,112.9056584,8.546622376,0.003442678,,,
1.56E-09,9.92045E-05,4.14E-09,2.60E-07,0.01132917,0.000622462,108.6821949,107.9209118,8.193709083,0.012257831,,,
5.46E-10,8.30E-06,0.000223553,2.95E-08,0.008397123,3.51E-12,23.82689628,370.1340519,37.42003251,0.011986642,,,
1.17E-06,3.73E-10,0.008442637,6.12E-10,0.122207755,0.019530568,12.14736714,249511.3791,24.32990597,0.008454347,,,
2.68E-08,2.33E-06,0.00268046,2.21E-10,0.052600936,0.018850181,12.32793066,303.014269,25.47430081,0.011938387,,,
1.37E-06,7.2441E-05,1.08E-06,5.90135E-05,0.008440999,0.000132487,109.2541068,112.8920687,8.54635623,0.012071946,,,
0.000268592,2.39E-10,0.000217855,0.000473568,0.01098184,6.99E-12,35.40291045,249488.0891,11.94286882,0.00363959,,,
2.29E-06,3.39E-10,0.000212286,0.006870264,0.004881954,1.67E-11,22.04582161,249650.6797,40.97374751,0.003438542,,,
6.74136E-05,1.01E-06,0.000199731,0.002478809,0.007341818,3.19E-12,24.06151939,367.1711781,31.98319145,0.003438542,,,
1.22E-10,1.56E-10,0.000197483,2.88721E-05,0.004392656,1.05E-11,22.04554586,249664.1616,57.30828936,0.003744619,,,
0.000172008,3.23E-06,0.000189573,0.003134152,0.009673595,4.63E-12,35.37714726,278.1004336,11.96770095,0.003439921,,,
5.28E-09,1.23E-08,0.000189527,0.004955515,0.004200878,9.10E-12,22.04582161,434.574545,40.98265151,0.003438542,,,
2.12E-09,7.63E-07,0.000183048,4.45439E-05,0.004365058,9.43E-12,22.04554586,431.7987457,52.28511911,0.003747377,,,
2.67E-07,6.51E-07,0.000182848,5.44698E-05,0.004323616,1.48E-11,22.04554724,432.3939909,41.48185669,0.003740483,,,
4.74E-07,4.93E-06,0.000178536,6.70E-09,0.006059019,9.47E-13,22.19865184,420.8467541,40.03373865,0.011994915,,,
5.48E-09,1.18E-10,0.000163497,0.004701225,0.0036503,1.38E-11,22.04582161,249636.911,41.16269404,0.003438542,,,
7.39E-09,8.50E-09,0.002716051,1.30604E-05,0.05233629,0.018850181,12.32793066,303.9002271,25.49253296,0.003566764,,,
2.38E-07,3.54E-08,0.000155423,2.85E-10,0.003451468,6.14E-12,22.04554586,433.6141556,40.98099156,0.011992157,,,
4.41E-07,6.43E-06,0.008998154,4.94011E-05,0.130768623,0.019530568,12.14736714,298.9776928,24.91331944,0.003952807,,,
0.000779914,1.86E-08,0.000152462,0.001324535,0.012659307,4.40E-12,42.55843831,247.5798657,7.900307109,0.003479904,,,
