lambda_hom,lambda_sec,lambda_eff,lambda_kin,lambda_div,fraction_kinetic_target,obj_total,obj_homeo,obj_kin,obj_eff,obj_sec,obj_div,obj_hom_w,obj_kin_w,obj_eff_w,obj_sec_w,obj_div_w,toya_pearson_r_squared,toya_r_squared
0.003978548,1.01E-07,7.56E-07,0.00052953,8.26374E-05,1,0.005624513,0.014699961,10.11748085,272.3468389,25.80657933,0.001884177,5.84845E-05,0.005357509,0.000205761,2.60E-06,1.56E-07,0.690124755,-38.63655233
0.001052172,1.17E-07,8.58E-06,0.003127354,0.000113225,1,0.024601349,4.262127551,5.832850856,218.1828895,26.93836782,0.001903029,0.004484492,0.018241387,0.001872091,3.16E-06,2.15E-07,0.481139042,-2.745634555
0.22949495,1.17734E-05,2.89567E-05,0.000798182,0.000340054,1,0.016910095,9.36923E-05,10.96725649,271.7023656,22.62817431,0.002070529,2.15019E-05,0.008753866,0.007867614,0.00026641,7.04E-07,0.618753028,-35.62507998
0.098753517,1.73E-06,1.70E-07,0.002025403,0.002607979,1,0.021497759,0.004390925,10.35383328,280.8630967,23.64840273,0.001835245,0.000433619,0.020970688,4.77646E-05,4.09013E-05,4.79E-06,0.619243073,-37.96917989
0.130465636,3.29923E-05,3.41572E-05,0.001557524,0.000228074,1,0.026855236,0.004803267,10.47328882,268.5843294,22.47769181,0.002156092,0.000626661,0.016312401,0.009174091,0.000741591,4.92E-07,0.692644828,-38.74293884
0.219880691,3.30E-07,1.30E-07,6.03338E-05,0.000296953,1,0.000689378,8.83E-12,10.66341388,286.8576959,25.06358932,0.001827994,1.94E-12,0.000643365,3.71897E-05,8.28E-06,5.43E-07,0.623534901,-42.37344495
0.023809338,1.10E-07,4.9714E-05,0.006384764,0.00061319,1,0.07730123,0.35314858,8.353544798,312.8417062,33.85008959,0.002037174,0.008408234,0.053335416,0.015552607,3.72E-06,1.25E-06,0.627866431,-60.54711936
0.050842113,1.46E-06,8.44996E-05,0.000852979,0.00018864,1,0.028625729,0.007783259,16.70078388,165.3413284,8.829513441,0.002321449,0.000395717,0.014245417,0.013971269,1.28879E-05,4.38E-07,0.713192411,-0.99706104
0.002626582,1.61507E-05,1.00546E-05,4.0388E-05,0.001507423,1,0.002277143,0.019173865,22.15687481,129.301229,1.800451563,0.001828719,5.03617E-05,0.000894872,0.001300075,2.90786E-05,2.76E-06,0.501806573,0.40015697
0.002205922,8.2259E-05,8.96945E-05,8.28183E-05,1.03448E-05,1,0.008068895,0.073580806,77.3614369,15.24890283,1.60263487,0.006566566,0.000162314,0.006406939,0.001367743,0.000131831,6.79E-08,0.41018525,-0.077338729
0.101206612,4.47674E-05,2.92399E-05,0.000397332,0.000281228,1,0.012430603,0.000707631,17.63948657,169.360164,8.881415639,0.002112585,7.16169E-05,0.007008724,0.00495207,0.000397598,5.94E-07,0.736439557,-1.340893289
